id	locationID	countryCode	occurrenceStatus	establishmentMeans
78500	Equatorial Guinea	GQ	Present	Alien
78501	Equatorial Guinea	GQ	Present	Alien
78502	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78503	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78504	Equatorial Guinea	GQ	Present	Alien
78505	Equatorial Guinea	GQ	Present	Alien
78506	Equatorial Guinea	GQ	Present	Alien
78507	Equatorial Guinea	GQ	Present	Alien
78508	Equatorial Guinea	GQ	Present	Alien
78509	Equatorial Guinea	GQ	Present	Alien
78510	Equatorial Guinea	GQ	Present	Alien
78511	Equatorial Guinea	GQ	Present	Alien
78512	Equatorial Guinea	GQ	Present	Alien
78513	Equatorial Guinea	GQ	Present	Alien
78514	Equatorial Guinea	GQ	Present	Alien
78515	Equatorial Guinea	GQ	Present	Alien
78516	Equatorial Guinea	GQ	Present	Alien
78517	Equatorial Guinea	GQ	Present	Alien
78518	Equatorial Guinea	GQ	Present	Alien
78519	Equatorial Guinea	GQ	Present	Alien
78520	Equatorial Guinea	GQ	Present	Alien
78521	Equatorial Guinea	GQ	Present	Alien
78522	Equatorial Guinea	GQ	Present	Alien
78523	Equatorial Guinea	GQ	Present	Alien
78524	Equatorial Guinea	GQ	Present	Alien
78525	Equatorial Guinea	GQ	Present	Alien
78526	Equatorial Guinea	GQ	Present	Alien
78527	Equatorial Guinea	GQ	Present	Alien
78528	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78529	Equatorial Guinea	GQ	Present	Alien
78530	Equatorial Guinea	GQ	Present	Alien
78531	Equatorial Guinea	GQ	Present	Alien
78532	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78533	Equatorial Guinea	GQ	Present	Alien
78534	Equatorial Guinea	GQ	Present	Alien
78535	Equatorial Guinea	GQ	Present	Alien
78536	Equatorial Guinea	GQ	Present	Alien
78537	Equatorial Guinea	GQ	Present	Alien
78538	Equatorial Guinea	GQ	Present	Alien
78539	Equatorial Guinea	GQ	Present	Alien
78540	Equatorial Guinea	GQ	Present	Alien
78541	Equatorial Guinea	GQ	Present	Alien
78542	Equatorial Guinea	GQ	Present	Alien
78543	Equatorial Guinea	GQ	Present	Alien
78544	Equatorial Guinea	GQ	Present	Alien
78545	Equatorial Guinea	GQ	Present	Alien
78546	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78547	Equatorial Guinea	GQ	Present	Alien
78548	Equatorial Guinea	GQ	Present	Alien
78549	Equatorial Guinea	GQ	Present	Alien
78550	Equatorial Guinea	GQ	Present	Alien
78551	Equatorial Guinea	GQ	Present	Alien
78552	Equatorial Guinea	GQ	Present	Alien
78553	Equatorial Guinea	GQ	Present	Alien
78554	Equatorial Guinea	GQ	Present	Alien
78555	Equatorial Guinea	GQ	Present	Alien
78556	Equatorial Guinea	GQ	Present	Alien
78557	Equatorial Guinea	GQ	Present	Alien
78558	Equatorial Guinea	GQ	Present	Alien
78559	Equatorial Guinea	GQ	Present	Alien
78560	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78561	Equatorial Guinea	GQ	Present	Alien
78562	Equatorial Guinea	GQ	Present	Alien
78563	Equatorial Guinea	GQ	Present	Alien
78564	Equatorial Guinea	GQ	Present	Alien
78565	Equatorial Guinea	GQ	Present	Alien
78566	Equatorial Guinea	GQ	Present	Alien
78567	Equatorial Guinea	GQ	Present	Alien
78568	Equatorial Guinea	GQ	Present	Alien
78569	Equatorial Guinea	GQ	Present	Alien
78570	Equatorial Guinea	GQ	Present	Alien
78571	Equatorial Guinea	GQ	Present	Alien
78572	Equatorial Guinea	GQ	Present	Alien
78573	Equatorial Guinea	GQ	Present	Alien
78574	Equatorial Guinea	GQ	Present	Alien
78575	Equatorial Guinea	GQ	Present	Alien
78576	Equatorial Guinea	GQ	Present	Alien
78577	Equatorial Guinea	GQ	Present	Alien
78578	Equatorial Guinea	GQ	Present	Alien
78579	Equatorial Guinea	GQ	Present	Alien
78580	Equatorial Guinea	GQ	Present	Alien
78581	Equatorial Guinea	GQ	Present	Alien
78582	Equatorial Guinea	GQ	Present	Alien
78583	Equatorial Guinea	GQ	Present	Alien
78584	Equatorial Guinea	GQ	Present	Alien
78585	Equatorial Guinea	GQ	Present	Alien
78586	Equatorial Guinea	GQ	Present	Alien
78587	Equatorial Guinea	GQ	Present	Alien
78588	Equatorial Guinea	GQ	Present	Alien
78589	Equatorial Guinea	GQ	Present	Alien
78590	Equatorial Guinea	GQ	Present	Cryptogenic|Uncertain
78591	Equatorial Guinea	GQ	Present	Alien
