id	isInvasive	habitat
78500	Null	Terrestrial
78501	Null	Terrestrial
78502	Null	Marine
78503	Null	Terrestrial
78504	Null	Terrestrial
78505	Null	Terrestrial|Freshwater
78506	Null	Terrestrial
78507	Null	Terrestrial
78508	Null	Terrestrial
78509	Null	Terrestrial
78510	Null	Terrestrial
78511	Null	Terrestrial
78512	Null	Terrestrial
78513	Null	Terrestrial
78514	Null	Terrestrial
78515	Null	Terrestrial
78516	Null	Terrestrial
78517	Null	Terrestrial
78518	Null	Terrestrial
78519	Null	Terrestrial
78520	Null	Terrestrial
78521	Null	Terrestrial
78522	Null	Terrestrial
78523	Null	Terrestrial
78524	Null	Terrestrial
78525	Null	Terrestrial
78526	Null	Terrestrial
78527	Null	Terrestrial
78528	Null	Terrestrial
78529	Null	Terrestrial
78530	Null	Terrestrial
78531	Null	Terrestrial
78532	Null	Terrestrial
78533	Null	Terrestrial
78534	Null	Terrestrial
78535	Null	Terrestrial
78536	Null	Terrestrial
78537	Null	Freshwater
78538	Null	Terrestrial
78539	Null	Terrestrial
78540	Null	Terrestrial
78541	Null	Terrestrial
78542	Null	Terrestrial
78543	Invasive	Terrestrial
78544	Null	Terrestrial
78545	Null	Terrestrial
78546	Null	Terrestrial
78547	Null	Terrestrial
78548	Null	Terrestrial
78549	Null	Terrestrial
78550	Null	Terrestrial
78551	Null	Terrestrial
78552	Null	Terrestrial
78553	Null	Terrestrial
78554	Null	Terrestrial
78555	Null	Terrestrial
78556	Null	Terrestrial
78557	Null	Terrestrial
78558	Null	Terrestrial
78559	Null	Terrestrial
78560	Null	Terrestrial
78561	Null	Terrestrial
78562	Null	Terrestrial
78563	Null	Terrestrial
78564	Null	Terrestrial
78565	Null	Terrestrial
78566	Null	Terrestrial
78567	Null	Terrestrial
78568	Null	Terrestrial
78569	Null	Terrestrial
78570	Invasive	Terrestrial
78571	Null	Terrestrial
78572	Null	Terrestrial
78573	Null	Terrestrial
78574	Null	Terrestrial
78575	Null	Terrestrial
78576	Null	Terrestrial
78577	Null	Terrestrial
78578	Null	Terrestrial
78579	Null	Terrestrial
78580	Null	Terrestrial
78581	Null	Terrestrial
78582	Null	Terrestrial
78583	Null	Terrestrial
78584	Null	Terrestrial
78585	Invasive	Terrestrial
78586	Null	Terrestrial
78587	Null	Terrestrial
78588	Null	Terrestrial
78589	Null	Terrestrial
78590	Null	Terrestrial
78591	Null	Terrestrial
