id	countryCode	occurrenceStatus	establishmentMeans
6222	MN	present	alien
6223	MN	present	alien
6224	MN	present	alien
6225	MN	present	alien
6226	MN	present	alien
6227	MN	present	alien
6228	MN	present	alien
6229	MN	present	alien
6230	MN	present	alien
6231	MN	present	alien
6232	MN	present	alien
6233	MN	present	alien
6234	MN	present	alien
6235	MN	present	alien
6236	MN	present	alien
6237	MN	present	alien
6238	MN	present	alien
6239	MN	present	alien
6240	MN	present	alien
6241	MN	present	alien
6242	MN	present	alien
6243	MN	present	alien
6244	MN	present	alien
6245	MN	present	alien
6246	MN	present	alien
6247	MN	present	alien
6248	MN	present	alien
6249	MN	present	alien
6250	MN	present	alien
6251	MN	present	alien
6252	MN	present	alien
6253	MN	present	alien
6254	MN	present	alien
6255	MN	present	alien
6256	MN	present	alien
6257	MN	present	alien
6258	MN	present	alien
6259	MN	present	alien
6260	MN	present	alien
6261	MN	present	alien
6262	MN	present	alien
6263	MN	present	alien
6264	MN	present	alien
6265	MN	present	alien
6266	MN	present	alien
6267	MN	present	alien
6268	MN	present	alien
6269	MN	present	alien
6270	MN	present	alien
6271	MN	present	alien
6272	MN	present	alien
6273	MN	present	alien
6274	MN	present	alien
6275	MN	present	alien
6276	MN	present	alien
6277	MN	present	alien
6278	MN	present	alien
6279	MN	present	alien
6280	MN	present	alien
6281	MN	present	alien
6282	MN	present	alien
6283	MN	present	alien
6284	MN	present	alien
6285	MN	present	alien
6286	MN	present	alien
6287	MN	present	alien
6288	MN	present	alien
6289	MN	present	alien
6290	MN	present	alien
6291	MN	present	alien
6292	MN	present	alien
6293	MN	present	alien
6294	MN	present	alien
6295	MN	present	alien
6296	MN	present	alien
6297	MN	present	alien
6298	MN	present	alien
