id	isInvasive	habitat
6222	invasive	freshwater
6223	null	freshwater|brackish
6224	null	terrestrial
6225	null	terrestrial
6226	null	terrestrial
6227	null	terrestrial
6228	null	terrestrial
6229	null	terrestrial
6230	null	terrestrial
6231	null	freshwater|brackish|marine
6232	null	freshwater|brackish|marine
6233	null	terrestrial
6234	null	terrestrial
6235	null	freshwater
6236	null	freshwater
6237	null	terrestrial
6238	invasive	terrestrial
6239	null	terrestrial
6240	null	terrestrial
6241	null	freshwater|brackish
6242	null	terrestrial
6243	null	terrestrial
6244	null	terrestrial
6245	null	terrestrial
6246	null	freshwater
6247	null	terrestrial
6248	null	freshwater
6249	null	terrestrial
6250	null	terrestrial
6251	null	terrestrial
6252	null	terrestrial
6253	null	terrestrial
6254	invasive	terrestrial
6255	null	terrestrial
6256	null	terrestrial
6257	null	terrestrial
6258	null	terrestrial|freshwater
6259	null	terrestrial
6260	null	terrestrial|freshwater
6261	null	terrestrial
6262	null	terrestrial
6263	null	terrestrial
6264	null	terrestrial|freshwater
6265	null	terrestrial
6266	null	freshwater
6267	null	terrestrial
6268	null	freshwater
6269	null	terrestrial
6270	null	terrestrial
6271	null	terrestrial
6272	null	terrestrial
6273	null	terrestrial
6274	null	freshwater
6275	null	terrestrial
6276	null	terrestrial
6277	null	terrestrial
6278	null	terrestrial
6279	null	terrestrial
6280	null	terrestrial
6281	null	terrestrial
6282	null	terrestrial
6283	null	terrestrial
6284	null	terrestrial
6285	null	terrestrial
6286	null	freshwater
6287	null	terrestrial
6288	null	terrestrial
6289	null	terrestrial
6290	null	host
6291	null	terrestrial
6292	null	terrestrial
6293	null	host
6294	null	terrestrial
6295	null	host
6296	null	terrestrial
6297	null	terrestrial
6298	null	terrestrial
