id	isInvasive	habitat
49500	Null	Terrestrial
49501	Null	Terrestrial
49502	Null	Terrestrial
49503	Null	Terrestrial
49504	Null	Terrestrial
49505	Null	Terrestrial
49506	Null	Terrestrial
49507	Null	Terrestrial
49508	Null	Terrestrial
49509	Null	Terrestrial
49510	Null	Terrestrial
49511	Null	Terrestrial
49512	Null	Terrestrial
49513	Null	Terrestrial
49514	Null	Terrestrial
49515	Null	Terrestrial
49516	Null	Terrestrial
49517	Null	Terrestrial
49518	Null	Terrestrial
49519	Null	Terrestrial
49520	Null	Terrestrial
49521	Null	Terrestrial
49522	Null	Terrestrial
49523	Null	Terrestrial
49524	Null	Terrestrial
49525	Null	Terrestrial
49526	Null	Terrestrial
49527	Null	Terrestrial
49528	Null	Terrestrial
49529	Null	Terrestrial
49530	Null	Terrestrial
49531	Invasive	Host
49532	Null	Host
49533	Null	Host
49534	Null	Terrestrial
49535	Null	Terrestrial
49536	Null	Terrestrial
49537	Null	Terrestrial
49538	Null	Terrestrial
49539	Null	Terrestrial
49540	Null	Terrestrial
49541	Null	Terrestrial
49542	Null	Terrestrial
49543	Null	Terrestrial
49544	Null	Terrestrial
49545	Null	Terrestrial
49546	Null	Terrestrial
49547	Null	Terrestrial
49548	Null	Terrestrial
49549	Null	Terrestrial
49550	Null	Terrestrial
49551	Null	Terrestrial
49552	Null	Terrestrial
49553	Null	Terrestrial
49554	Null	Terrestrial
49555	Null	Terrestrial
49556	Null	Terrestrial
49557	Null	Terrestrial
49558	Null	Terrestrial
49559	Null	Terrestrial
49560	Null	Terrestrial
49561	Null	Terrestrial
49562	Null	Terrestrial
49563	Null	Terrestrial
49564	Null	Terrestrial
49565	Null	Terrestrial
49566	Null	Terrestrial
49567	Null	Terrestrial
49568	Null	Terrestrial
49569	Null	Terrestrial
49570	Null	Terrestrial
49571	Null	Terrestrial
49572	Null	Terrestrial
49573	Null	Terrestrial
49574	Null	Terrestrial
49575	Null	Terrestrial|Freshwater
49576	Null	Terrestrial|Freshwater
49577	Null	Terrestrial
49578	Null	Terrestrial
49579	Null	Terrestrial
49580	Null	Terrestrial
49581	Null	Terrestrial
49582	Null	Terrestrial
49583	Null	Terrestrial
49584	Null	Terrestrial
49585	Null	Terrestrial
49586	Null	Marine
49587	Null	Terrestrial
49588	Invasive	Terrestrial
49589	Null	Terrestrial
49590	Null	Terrestrial
49591	Null	Terrestrial
49592	Null	Terrestrial
49593	Null	Terrestrial
49594	Null	Terrestrial
49595	Null	Terrestrial
49596	Null	Terrestrial
49597	Null	Terrestrial
49598	Null	Terrestrial
49599	Null	Terrestrial
49600	Null	Terrestrial
49601	Null	Terrestrial
49602	Null	Terrestrial
49603	Null	Terrestrial
49604	Null	Terrestrial
49605	Null	Terrestrial
49606	Null	Terrestrial
49607	Null	Terrestrial
49608	Null	Terrestrial
49609	Null	Terrestrial
49610	Null	Terrestrial
49611	Null	Terrestrial
49612	Null	Terrestrial
49613	Null	Terrestrial
49614	Null	Terrestrial
49615	Null	Terrestrial
49616	Null	Terrestrial
49617	Null	Terrestrial
49618	Null	Terrestrial
49619	Null	Terrestrial
49620	Null	Terrestrial
49621	Null	Terrestrial
49622	Null	Terrestrial
49623	Null	Terrestrial
49624	Null	Terrestrial
49625	Null	Terrestrial
49626	Null	Terrestrial
49627	Null	Terrestrial
49628	Null	Terrestrial
49629	Null	Terrestrial
49630	Null	Marine
49631	Null	Terrestrial
49632	Null	Terrestrial
49633	Null	Terrestrial
49634	Null	Terrestrial
49635	Null	Terrestrial
49636	Null	Terrestrial
49637	Null	Terrestrial|Freshwater
49638	Null	Terrestrial
49639	Null	Terrestrial
