id	isInvasive	habitat
48500	Null	Terrestrial
48501	Null	Terrestrial
48502	Null	Terrestrial|Freshwater
48503	Null	Terrestrial|Freshwater
48504	Null	Terrestrial
48505	Null	Terrestrial
48506	Null	Terrestrial
48507	Null	Terrestrial
48508	Null	Terrestrial
48509	Null	Terrestrial
48510	Null	Terrestrial
48511	Null	Terrestrial|Freshwater
48512	Null	Terrestrial
48513	Null	Terrestrial
48514	Null	Terrestrial
48515	Null	Terrestrial
48516	Null	Terrestrial
48517	Null	Terrestrial
48518	Null	Terrestrial
48519	Invasive	Terrestrial
48520	Null	Terrestrial
48521	Null	Terrestrial
48522	Null	Terrestrial
48523	Null	Terrestrial
48524	Invasive	Terrestrial
48525	Null	Terrestrial
48526	Null	Terrestrial
48527	Invasive	Terrestrial
48528	Invasive	Terrestrial
48529	Null	Terrestrial
48530	Null	Terrestrial
48531	Null	Terrestrial
48532	Null	Terrestrial
48533	Invasive	Terrestrial
48534	Null	Terrestrial
48535	Null	Terrestrial
48536	Null	Terrestrial
48537	Null	Terrestrial
48538	Null	Terrestrial
48539	Null	Terrestrial
48540	Null	Terrestrial
48541	Null	Terrestrial
48542	Null	Terrestrial|Freshwater
48543	Null	Terrestrial
48544	Null	Terrestrial
48545	Null	Terrestrial
48546	Null	Terrestrial
48547	Null	Terrestrial
48548	Null	Terrestrial
48549	Null	Terrestrial
48550	Null	Freshwater
48551	Null	Terrestrial
48552	Null	Terrestrial
48553	Invasive	Terrestrial
48554	Null	Terrestrial
48555	Null	Terrestrial
48556	Invasive	Terrestrial
48557	Null	Host
48558	Null	Terrestrial
48559	Null	Terrestrial
48560	Null	Terrestrial
48561	Null	Terrestrial
48562	Null	Terrestrial
48563	Null	Terrestrial
48564	Null	Terrestrial
48565	Invasive	Terrestrial
48566	Null	Terrestrial
48567	Null	Terrestrial
48568	Null	Terrestrial
48569	Null	Terrestrial
48570	Null	Terrestrial
48571	Null	Terrestrial
48572	Null	Terrestrial
48573	Null	Terrestrial
48574	Null	Terrestrial
48575	Null	Brackish|Marine
48576	Null	Host
48577	Null	Terrestrial
48578	Null	Terrestrial
48579	Null	Terrestrial
48580	Null	Terrestrial
48581	Null	Terrestrial
48582	Invasive	Terrestrial
48583	Null	Terrestrial
48584	Invasive	Terrestrial
48585	Null	Terrestrial
48586	Null	Terrestrial|Freshwater
48587	Invasive	Terrestrial
48588	Null	Terrestrial
48589	Null	Terrestrial
48590	Null	Terrestrial
48591	Null	Terrestrial
48592	Null	Terrestrial
48593	Null	Terrestrial
48594	Null	Freshwater|Brackish
48595	Null	Freshwater|Brackish
48596	Null	Marine
48597	Null	Terrestrial
48598	Null	Terrestrial
48599	Null	Terrestrial
48600	Invasive	Terrestrial
48601	Invasive	Terrestrial
48602	Invasive	Terrestrial|Freshwater
48603	Null	Terrestrial
48604	Null	Terrestrial
48605	Null	Terrestrial
48606	Null	Terrestrial
48607	Null	Terrestrial
48608	Null	Terrestrial
48609	Null	Terrestrial
48610	Null	Terrestrial
48611	Null	Terrestrial
48612	Null	Terrestrial
48613	Null	Terrestrial
48614	Null	Terrestrial
48615	Null	Terrestrial
48616	Null	Terrestrial
48617	Null	Terrestrial
48618	Invasive	Terrestrial
48619	Null	Terrestrial
48620	Null	Freshwater|Brackish
48621	Null	Terrestrial
48622	Null	Terrestrial
48623	Null	Terrestrial
48624	Null	Terrestrial
48625	Null	Terrestrial
48626	Null	Terrestrial
48627	Null	Terrestrial|Freshwater
48628	Null	Terrestrial
48629	Null	Terrestrial
48630	Null	Terrestrial
48631	Null	Terrestrial
48632	Null	Terrestrial
48633	Null	Terrestrial
