id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus
15500	15500	Abelmoschus moschatus Medik.		Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	species	ACCEPTED
15501	15501	Abrus precatorius L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15502	15502	Acacia auriculiformis Benth.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15503	15503	Acacia mangium Willd.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15504	15504	Acalypha indica L.		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	species	ACCEPTED
15505	15505	Acalypha lanceolata Willd.		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	species	ACCEPTED
15506	15506	Achyranthes aspera L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	species	ACCEPTED
15507	15507	Acmella uliginosa Cass. (Sw.)		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	species	ACCEPTED
15508	15508	Acridotheres fuscus (Wagler, 1827)		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
15509	15509	Acridotheres tristis (Linnaeus, 1766)		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
15510	15510	Adenanthera pavonina L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15511	15511	Ageratum conyzoides L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	species	ACCEPTED
15512	15512	Aleurites moluccanus (L.) Willd.		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	species	ACCEPTED
15513	15513	Allamanda cathartica L.		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	species	ACCEPTED
15514	15514	Allopeas clavulinum Potiez & Michaud, 1839		Animalia	Mollusca	Gastropoda	Pulmonata	Subulinidae	species	ACCEPTED
15515	15515	Alocasia macrorrhizos G.Don (L.)		Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	species	ACCEPTED
15516	15516	Alpinia purpurata K.Schum. (Vieill.)		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	species	ACCEPTED
15517	15517	Alternanthera sessilis R. Br. ex DC. (L.)		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	species	ACCEPTED
15518	15518	Alysicarpus vaginalis DC. (L.)		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15519	15519	Amaranthus blitum L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	species	ACCEPTED
15520	15520	Amaranthus viridis L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	species	ACCEPTED
15521	15521	Anacardium occidentale L.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	species	ACCEPTED
15522	15522	Annona muricata L.		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	species	ACCEPTED
15523	15523	Antigonon leptopus Hook. & Arn.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	species	ACCEPTED
15524	15524	Artocarpus altilis Fosberg (Parkinson)		Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	species	ACCEPTED
15525	15525	Asclepias curassavica L.		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	species	ACCEPTED
15526	15526	Asparagus setaceus Jessop (Kunth)		Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	species	ACCEPTED
15527	15527	Asystasia gangetica (L.) T. Anderson		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	species	ACCEPTED
15528	15528	Axonopus compressus P.Beauv. (Sw.)		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15529	15529	Axonopus fissifolius (Raddi) Kuhlm.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15530	15530	Azadirachta indica A. Juss.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	species	ACCEPTED
15531	15531	Balanus amphitrite Darwin, 1855		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	species	ACCEPTED
15532	15532	Balanus reticulatus Utinomi, 1968		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	species	ACCEPTED
15533	15533	Bambusa sp. Schreb.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	genus	ACCEPTED
15534	15534	Bauhinia monandra Kurz		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15535	15535	Bauhinia purpurea L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15536	15536	Begonia x semperflorens-cultorum		Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Begoniaceae	species	ACCEPTED
15537	15537	Bemlos virgus Myers, 1985		Animalia	Arthropoda	Malacostraca	Amphipoda	Aoridae	species	ACCEPTED
15538	15538	Bidens pilosa L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	species	ACCEPTED
15539	15539	Bischofia javanica Blume		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	species	ACCEPTED
15540	15540	Bixa orellana L.		Plantae	Tracheophyta	Magnoliopsida	Malvales	Bixaceae	species	ACCEPTED
15541	15541	Bothriochloa bladhii S.T.Blake (Retz.)		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15543	15543	Brachiaria mutica (Forssk.) Stapf		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15544	15544	Brachiaria subquadripara (Trin.) Hitchc.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15545	15545	Bradybaena similaris  (Rang, 1831)		Animalia	Mollusca	Gastropoda	Stylommatophora	Bradybaenidae	species	ACCEPTED
15546	15546	Breynia disticha J.R.Forst. & G.Forst.		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	species	ACCEPTED
15547	15547	Bugula neritina  (Linnaeus, 1758)		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	species	ACCEPTED
15548	15548	Caesalpinia bonduc Roxb. (L.)		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15549	15549	Caesalpinia pulcherrima Sw. (L.)		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15550	15550	Caladium bicolor Vent. (Aiton)		Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	species	ACCEPTED
15551	15551	Calliandra houstoniana var. calothyrsus Barneby (Meissner)		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	variety	ACCEPTED
15552	15552	Calopogonium mucunoides Desv.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15553	15553	Calotropis gigantea (L.) W.T. Aiton		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	species	ACCEPTED
15554	15554	Cananga odorata Hook. f. & Thomson (Lam.)		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	species	ACCEPTED
15555	15555	Canis lupus familiaris Linnaeus, 1759		Animalia	Chordata	Mammalia	Carnivora	Canidae	subspecies	ACCEPTED
15556	15556	Canna indica L.		Plantae	Tracheophyta	Liliopsida	Zingiberales	Cannaceae	species	ACCEPTED
15557	15557	Capsicum frutescens L.		Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	species	ACCEPTED
15558	15558	Carica papaya L.		Plantae	Tracheophyta	Magnoliopsida	Brassicales	Caricaceae	species	ACCEPTED
15559	15559	Castilla elastica Sessé		Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	species	ACCEPTED
15560	15560	Casuarina equisetifolia L.		Plantae	Tracheophyta	Magnoliopsida	Fagales	Casuarinaceae	species	ACCEPTED
15561	15561	Casuarina glauca Sieber ex Spreng.		Plantae	Tracheophyta	Magnoliopsida	Fagales	Casuarinaceae	species	ACCEPTED
15562	15562	Catharanthus roseus G. Don (L.)		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	species	ACCEPTED
15563	15563	Caulerpa serrulata (Forsskål) J.Agardh, 1837		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	species	ACCEPTED
15564	15564	Cedrela odorata L.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	species	ACCEPTED
15565	15565	Ceiba pentandra Gaertn. (L.)		Plantae	Tracheophyta	Magnoliopsida	Malvales	Bombacaceae	species	ACCEPTED
15566	15566	Cenchrus echinatus L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15567	15567	Centella asiatica Urb. (L.)		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	species	ACCEPTED
15568	15568	Centotheca lappacea (L.) Desv.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15569	15569	Centrosema molle Benth.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	ACCEPTED
15570	15570	Cestrum diurnum L.		Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	species	ACCEPTED
15571	15571	Cestrum nocturnum L.		Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	species	ACCEPTED
15572	15572	Chama pacifica Broderip, 1835		Animalia	Mollusca	Bivalvia	Veneroida	Chamidae	species	ACCEPTED
15573	15573	Cheilocostus speciosus C.D.Specht (J.König)		Plantae	Tracheophyta	Liliopsida	Zingiberales	Costaceae	species	ACCEPTED
15574	15574	Chloris barbata Sw.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15575	15575	Chloris radiata Sw. (L.)		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	species	ACCEPTED
15576	15576	Christella harveyi (Mett.) Holttum		Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Thelypteridaceae	species	ACCEPTED
