id	countryCode	occurrenceStatus	establishmentMeans
17750	AI	Present	Alien
17751	AI	Present	Alien
17752	AI	Present	Alien
17753	AI	Present	Alien
17754	AI	Present	Alien
17755	AI	Present	Alien
17756	AI	Present	Alien
17757	AI	Present	Alien
17758	AI	Present	Alien
17759	AI	Present	Alien
17760	AI	Present	Alien
17761	AI	Present	Alien
17762	AI	Present	Alien
17763	AI	Present	Alien
17764	AI	Present	Alien
17765	AI	Present	Alien
17766	AI	Present	Alien
17767	AI	Present	Alien
17768	AI	Present	Alien
17769	AI	Present	Alien
17770	AI	Present	Alien
17771	AI	Present	Alien
17772	AI	Present	Alien
17773	AI	Present	Alien
17774	AI	Present	Alien
17775	AI	Present	Alien
17776	AI	Present	Alien
17777	AI	Present	Alien
17778	AI	Present	Alien
17779	AI	Present	Alien
17780	AI	Present	Alien
17781	AI	Present	Alien
17782	AI	Present	Alien
17783	AI	Present	Alien
17784	AI	Present	Alien
17785	AI	Present	Alien
17786	AI	Present	Alien
17787	AI	Present	Alien
17788	AI	Present	Alien
17789	AI	Present	Alien
17790	AI	Present	Alien
17791	AI	Present	Alien
17792	AI	Present	Alien
17793	AI	Present	Alien
17794	AI	Present	Alien
17795	AI	Present	Alien
17796	AI	Present	Alien
17797	AI	Present	Alien
17798	AI	Present	Alien
17799	AI	Present	Alien
17800	AI	Present	Alien
17801	AI	Present	Alien
17802	AI	Present	Alien
17803	AI	Present	Alien
17804	AI	Present	Alien
17805	AI	Present	Alien
17806	AI	Present	Alien
17807	AI	Present	Alien
17808	AI	Present	Alien
17809	AI	Present	Alien
17810	AI	Present	Alien
17811	AI	Present	Alien
17812	AI	Present	Alien
17813	AI	Present	Alien
17814	AI	Present	Alien
17815	AI	Present	Alien
17816	AI	Present	Alien
17817	AI	Present	Alien
17818	AI	Present	Alien
17819	AI	Present	Alien
17820	AI	Present	Alien
17821	AI	Present	Alien
17822	AI	Present	Alien
17823	AI	Present	Alien
17824	AI	Present	Alien
17825	AI	Present	Alien
17826	AI	Present	Alien
17827	AI	Present	Alien
17828	AI	Present	Alien
17829	AI	Present	Alien
17830	AI	Present	Alien
17831	AI	Present	Alien
17832	AI	Present	Alien
17833	AI	Present	Alien
17834	AI	Present	Alien
17835	AI	Present	Alien
17836	AI	Present	Alien
17837	AI	Present	Alien
17838	AI	Present	Alien
17839	AI	Present	Alien
17840	AI	Present	Alien
17841	AI	Present	Alien
17842	AI	Present	Alien
17843	AI	Present	Alien
17844	AI	Present	Alien
17845	AI	Present	Alien
17846	AI	Present	Alien
17847	AI	Present	Alien
17848	AI	Present	Alien
17849	AI	Present	Alien
17850	AI	Present	Alien
17851	AI	Present	Alien
17852	AI	Present	Alien
17853	AI	Present	Alien
17854	AI	Present	Alien
17855	AI	Present	Alien
17856	AI	Present	Alien
17857	AI	Present	Alien
17858	AI	Present	Alien
17859	AI	Present	Alien
17860	AI	Present	Alien
17861	AI	Present	Alien
17862	AI	Present	Alien
17863	AI	Present	Alien
17864	AI	Present	Alien
17865	AI	Present	Alien
17866	AI	Present	Alien
17867	AI	Present	Alien
17868	AI	Present	Alien
17869	AI	Present	Alien
17870	AI	Present	Alien
17871	AI	Present	Alien
17872	AI	Present	Alien
17873	AI	Present	Alien
17874	AI	Present	Alien
17875	AI	Present	Alien
17876	AI	Present	Alien
17877	AI	Present	Alien
17878	AI	Present	Alien
17879	AI	Present	Alien
17880	AI	Present	Alien
17881	AI	Present	Alien
17882	AI	Present	Alien
17883	AI	Present	Alien
17884	AI	Present	Alien
17885	AI	Present	Alien
17886	AI	Present	Alien
17887	AI	Present	Alien
17888	AI	Present	Alien
17889	AI	Present	Alien
17890	AI	Present	Alien
17891	AI	Present	Alien
17892	AI	Present	Alien
17893	AI	Present	Alien
17894	AI	Present	Alien
17895	AI	Present	Alien
17896	AI	Present	Alien
17897	AI	Present	Alien
17898	AI	Present	Alien
17899	AI	Present	Alien
17900	AI	Present	Alien
17901	AI	Present	Alien
17902	AI	Present	Alien
17903	AI	Present	Alien
17904	AI	Present	Alien
17905	AI	Present	Alien
17906	AI	Present	Alien
17907	AI	Present	Alien
17908	AI	Present	Alien
