id	isInvasive	habitat
17750	null	terrestrial
17751	null	terrestrial
17752	Invasive	terrestrial
17753	Invasive	terrestrial
17754	Invasive	terrestrial
17755	null	terrestrial
17756	null	terrestrial
17757	null	terrestrial
17758	Invasive	terrestrial|freshwater
17759	null	terrestrial
17760	null	terrestrial
17761	null	terrestrial
17762	null	terrestrial
17763	null	terrestrial
17764	null	terrestrial
17765	null	terrestrial
17766	null	terrestrial
17767	null	terrestrial
17768	null	terrestrial
17769	null	terrestrial
17770	null	terrestrial
17771	null	terrestrial
17772	null	terrestrial
17773	Invasive	terrestrial
17774	Invasive	terrestrial
17775	Invasive	terrestrial
17776	Invasive	terrestrial
17777	null	terrestrial
17778	null	terrestrial
17779	null	terrestrial
17780	Invasive	terrestrial
17781	Invasive	terrestrial
17782	Invasive	terrestrial
17783	null	terrestrial
17784	null	terrestrial
17785	Invasive	terrestrial
17786	null	terrestrial
17787	null	terrestrial
17788	null	terrestrial
17789	null	terrestrial
17790	Invasive	terrestrial
17791	null	terrestrial
17792	null	terrestrial
17793	null	terrestrial
17794	Invasive	terrestrial
17795	null	terrestrial
17796	null	terrestrial
17797	null	terrestrial
17798	Invasive	terrestrial
17799	null	terrestrial
17800	null	terrestrial
17801	Invasive	terrestrial
17802	null	terrestrial
17803	null	terrestrial
17804	null	terrestrial
17805	null	terrestrial
17806	null	terrestrial
17807	null	terrestrial
17808	null	terrestrial
17809	null	terrestrial
17810	Invasive	terrestrial
17811	null	terrestrial
17812	null	terrestrial
17813	null	terrestrial
17814	null	terrestrial
17815	null	terrestrial
17816	null	terrestrial
17817	null	terrestrial
17818	Invasive	terrestrial
17819	Invasive	terrestrial
17820	null	terrestrial
17821	null	terrestrial|freshwater
17822	null	terrestrial
17823	null	terrestrial
17824	Invasive	terrestrial
17825	Invasive	terrestrial
17826	null	terrestrial
17827	Invasive	terrestrial
17828	Invasive	terrestrial
17829	null	terrestrial
17830	null	terrestrial
17831	Invasive	terrestrial
17832	null	terrestrial|freshwater
17833	null	terrestrial
17834	null	terrestrial
17835	null	terrestrial
17836	null	terrestrial
17837	Invasive	terrestrial
17838	Invasive	terrestrial
17839	null	terrestrial
17840	null	terrestrial
17841	null	terrestrial
17842	null	terrestrial
17843	null	terrestrial
17844	Invasive	terrestrial
17845	Invasive	terrestrial
17846	null	terrestrial
17847	Invasive	terrestrial
17848	Invasive	terrestrial
17849	null	terrestrial
17850	null	terrestrial
17851	null	terrestrial
17852	null	terrestrial
17853	null	terrestrial
17854	null	terrestrial
17855	null	terrestrial
17856	null	terrestrial
17857	null	terrestrial|freshwater|brackish
17858	null	terrestrial
17859	null	terrestrial
17860	null	terrestrial
17861	null	terrestrial
17862	Invasive	terrestrial
17863	null	terrestrial
17864	null	terrestrial
17865	null	terrestrial
17866	Invasive	terrestrial
17867	Invasive	terrestrial
17868	Invasive	terrestrial
17869	null	terrestrial
17870	null	terrestrial
17871	Invasive	terrestrial
17872	null	terrestrial
17873	null	terrestrial
17874	null	terrestrial
17875	null	terrestrial
17876	null	terrestrial
17877	null	terrestrial
17878	null	terrestrial
17879	Invasive	terrestrial
17880	null	terrestrial
17881	null	terrestrial
17882	null	terrestrial
17883	null	terrestrial
17884	null	terrestrial
17885	Invasive	terrestrial
17886	Invasive	terrestrial
17887	null	terrestrial
17888	Invasive	terrestrial
17889	Invasive	host
17890	Invasive	terrestrial
17891	null	terrestrial
17892	null	terrestrial
17893	null	terrestrial
17894	null	terrestrial
17895	null	terrestrial
17896	Invasive	terrestrial
17897	null	terrestrial
17898	null	terrestrial
17899	null	terrestrial
17900	null	terrestrial
17901	null	terrestrial
17902	Invasive	terrestrial
17903	null	terrestrial
17904	null	terrestrial
17905	null	terrestrial
17906	null	terrestrial
17907	null	terrestrial
17908	Invasive	terrestrial
17909	Invasive	terrestrial|freshwater
17910	Invasive	terrestrial
17911	null	terrestrial
17912	Invasive	terrestrial
17913	Invasive	terrestrial
