id	locationID	countryCode	occurrenceStatus	establishmentMeans
63500	Argentina	AR	Present	Alien
63501	Argentina	AR	Present	Alien
63502	Argentina	AR	Present	Alien
63503	Argentina	AR	Present	Alien
63504	Argentina	AR	Present	Alien
63505	Argentina	AR	Present	Alien
63506	Argentina	AR	Present	Alien
63507	Argentina	AR	Present	Alien
63508	Argentina	AR	Present	Alien
63509	Argentina	AR	Present	Alien
63510	Argentina	AR	Present	Alien
63511	Argentina	AR	Present	Alien
63512	Argentina	AR	Present	Alien
63513	Argentina	AR	Present	Alien
63514	Argentina	AR	Present	Alien
63515	Argentina	AR	Present	Alien
63516	Argentina	AR	Present	Alien
63517	Argentina	AR	Present	Alien
63518	Argentina	AR	Present	Alien
63519	Argentina	AR	Present	Alien
63520	Argentina	AR	Present	Alien
63521	Argentina	AR	Present	Alien
63522	Argentina	AR	Present	Alien
63523	Argentina	AR	Present	Alien
63524	Argentina	AR	Present	Alien
63525	Argentina	AR	Present	Alien
63526	Argentina	AR	Present	Alien
63527	Argentina	AR	Present	Alien
63528	Argentina	AR	Present	Alien
63529	Argentina	AR	Present	Alien
63530	Argentina	AR	Present	Alien
63531	Argentina	AR	Present	Alien
63532	Argentina	AR	Present	Alien
63533	Argentina	AR	Present	Alien
63534	Argentina	AR	Present	Alien
63535	Argentina	AR	Present	Alien
63536	Argentina	AR	Present	Alien
63537	Argentina	AR	Present	Alien
63538	Argentina	AR	Present	Alien
63539	Argentina	AR	Present	Alien
63540	Argentina	AR	Present	Alien
63541	Argentina	AR	Present	Alien
63542	Argentina	AR	Present	Alien
63543	Argentina	AR	Present	Alien
63544	Argentina	AR	Present	Alien
63545	Argentina	AR	Present	Alien
63546	Argentina	AR	Present	Alien
63547	Argentina	AR	Present	Alien
63548	Argentina	AR	Present	Alien
63549	Argentina	AR	Present	Alien
63550	Argentina	AR	Present	Alien
63551	Argentina	AR	Present	Alien
63552	Argentina	AR	Present	Alien
63553	Argentina	AR	Present	Alien
63554	Argentina	AR	Present	Alien
63555	Argentina	AR	Present	Alien
63556	Argentina	AR	Present	Alien
63557	Argentina	AR	Present	Alien
63558	Argentina	AR	Present	Alien
63559	Argentina	AR	Present	Alien
63560	Argentina	AR	Present	Alien
63561	Argentina	AR	Present	Alien
63562	Argentina	AR	Present	Alien
63563	Argentina	AR	Present	Alien
63564	Argentina	AR	Present	Alien
63565	Argentina	AR	Present	Alien
63566	Argentina	AR	Present	Alien
63567	Argentina	AR	Present	Alien
63568	Argentina	AR	Present	Alien
63569	Argentina	AR	Present	Alien
63570	Argentina	AR	Present	Alien
63571	Argentina	AR	Present	Alien
63572	Argentina	AR	Present	Alien
63573	Argentina	AR	Present	Alien
63574	Argentina	AR	Present	Alien
63575	Argentina	AR	Present	Alien
63576	Argentina	AR	Present	Alien
63577	Argentina	AR	Present	Alien
63578	Argentina	AR	Present	Alien
63579	Argentina	AR	Present	Alien
63580	Argentina	AR	Present	Alien
63581	Argentina	AR	Present	Alien
63582	Argentina	AR	Present	Alien
63583	Argentina	AR	Present	Alien
63584	Argentina	AR	Present	Alien
63585	Argentina	AR	Present	Alien
63586	Argentina	AR	Present	Alien
63587	Argentina	AR	Present	Alien
63588	Argentina	AR	Present	Alien
63589	Argentina	AR	Present	Alien
63590	Argentina	AR	Present	Alien
63591	Argentina	AR	Present	Alien
63592	Argentina	AR	Present	Alien
63593	Argentina	AR	Present	Alien
63594	Argentina	AR	Present	Alien
63595	Argentina	AR	Present	Alien
63596	Argentina	AR	Present	Alien
63597	Argentina	AR	Present	Alien
63598	Argentina	AR	Present	Alien
63599	Argentina	AR	Present	Alien
63600	Argentina	AR	Present	Alien
63601	Argentina	AR	Present	Alien
63602	Argentina	AR	Present	Alien
63603	Argentina	AR	Present	Alien
63604	Argentina	AR	Present	Alien
63605	Argentina	AR	Present	Alien
63606	Argentina	AR	Present	Alien
63607	Argentina	AR	Present	Alien
63608	Argentina	AR	Present	Alien
63609	Argentina	AR	Present	Alien
63610	Argentina	AR	Present	Alien
63611	Argentina	AR	Present	Alien
63612	Argentina	AR	Present	Alien
63613	Argentina	AR	Present	Alien
63614	Argentina	AR	Present	Alien
63615	Argentina	AR	Present	Alien
63616	Argentina	AR	Present	Alien
63617	Argentina	AR	Present	Alien
63618	Argentina	AR	Present	Alien
63619	Argentina	AR	Present	Alien
63620	Argentina	AR	Present	Alien
63621	Argentina	AR	Present	Alien
63622	Argentina	AR	Present	Alien
63623	Argentina	AR	Present	Alien
63624	Argentina	AR	Present	Alien
63625	Argentina	AR	Present	Alien
63626	Argentina	AR	Present	Alien
63627	Argentina	AR	Present	Alien
63628	Argentina	AR	Present	Alien
63629	Argentina	AR	Present	Alien
63630	Argentina	AR	Present	Alien
63631	Argentina	AR	Present	Alien
63632	Argentina	AR	Present	Alien
63633	Argentina	AR	Present	Alien
63634	Argentina	AR	Present	Alien
63635	Argentina	AR	Present	Alien
63636	Argentina	AR	Present	Alien
63637	Argentina	AR	Present	Alien
63638	Argentina	AR	Present	Alien
63639	Argentina	AR	Present	Alien
63640	Argentina	AR	Present	Alien
63641	Argentina	AR	Present	Alien
63642	Argentina	AR	Present	Alien
63643	Argentina	AR	Present	Alien
63644	Argentina	AR	Present	Alien
63645	Argentina	AR	Present	Alien
63646	Argentina	AR	Present	Alien
63647	Argentina	AR	Present	Alien
63648	Argentina	AR	Present	Alien
63649	Argentina	AR	Present	Alien
63650	Argentina	AR	Present	Cryptogenic|Uncertain
63651	Argentina	AR	Present	Alien
63652	Argentina	AR	Present	Alien
63653	Argentina	AR	Present	Alien
63654	Argentina	AR	Present	Alien
63655	Argentina	AR	Present	Alien
63656	Argentina	AR	Present	Alien
63657	Argentina	AR	Present	Alien
63658	Argentina	AR	Present	Alien
63659	Argentina	AR	Present	Alien
63660	Argentina	AR	Present	Alien
63661	Argentina	AR	Present	Alien
63662	Argentina	AR	Present	Alien
63663	Argentina	AR	Present	Alien
63664	Argentina	AR	Present	Alien
63665	Argentina	AR	Present	Alien
63666	Argentina	AR	Present	Alien
63667	Argentina	AR	Present	Alien
63668	Argentina	AR	Present	Alien
63669	Argentina	AR	Present	Alien
63670	Argentina	AR	Present	Alien
63671	Argentina	AR	Present	Alien
63672	Argentina	AR	Present	Alien
63673	Argentina	AR	Present	Alien
63674	Argentina	AR	Present	Alien
63675	Argentina	AR	Present	Alien
63676	Argentina	AR	Present	Alien
63677	Argentina	AR	Present	Alien
63678	Argentina	AR	Present	Alien
63679	Argentina	AR	Present	Alien
63680	Argentina	AR	Present	Alien
63681	Argentina	AR	Present	Alien
63682	Argentina	AR	Present	Alien
63683	Argentina	AR	Present	Alien
63684	Argentina	AR	Present	Alien
63685	Argentina	AR	Present	Alien
63686	Argentina	AR	Present	Alien
63687	Argentina	AR	Present	Alien
63688	Argentina	AR	Present	Alien
63689	Argentina	AR	Present	Alien
63690	Argentina	AR	Present	Alien
63691	Argentina	AR	Present	Alien
63692	Argentina	AR	Present	Alien
63693	Argentina	AR	Present	Alien
63694	Argentina	AR	Present	Alien
63695	Argentina	AR	Present	Alien
63696	Argentina	AR	Present	Alien
63697	Argentina	AR	Present	Alien
63698	Argentina	AR	Present	Alien
63699	Argentina	AR	Present	Alien
63700	Argentina	AR	Present	Alien
63701	Argentina	AR	Present	Alien
63702	Argentina	AR	Present	Alien
63703	Argentina	AR	Present	Alien
63704	Argentina	AR	Present	Alien
63705	Argentina	AR	Present	Alien
63706	Argentina	AR	Present	Alien
63707	Argentina	AR	Present	Alien
63708	Argentina	AR	Present	Alien
63709	Argentina	AR	Present	Alien
63710	Argentina	AR	Present	Cryptogenic|Uncertain
63711	Argentina	AR	Present	Alien
63712	Argentina	AR	Present	Alien
63713	Argentina	AR	Present	Alien
63714	Argentina	AR	Present	Cryptogenic|Uncertain
63715	Argentina	AR	Present	Alien
63716	Argentina	AR	Present	Alien
63717	Argentina	AR	Present	Alien
63718	Argentina	AR	Present	Alien
63719	Argentina	AR	Present	Alien
63720	Argentina	AR	Present	Alien
63721	Argentina	AR	Present	Cryptogenic|Uncertain
63722	Argentina	AR	Present	Alien
63723	Argentina	AR	Present	Alien
63724	Argentina	AR	Present	Alien
63725	Argentina	AR	Present	Alien
63726	Argentina	AR	Present	Alien
63727	Argentina	AR	Present	Alien
63728	Argentina	AR	Present	Alien
63729	Argentina	AR	Present	Alien
63730	Argentina	AR	Present	Alien
63731	Argentina	AR	Present	Alien
63732	Argentina	AR	Present	Alien
63733	Argentina	AR	Present	Alien
63734	Argentina	AR	Present	Alien
63735	Argentina	AR	Present	Alien
63736	Argentina	AR	Present	Alien
63737	Argentina	AR	Present	Alien
63738	Argentina	AR	Present	Alien
63739	Argentina	AR	Present	Alien
63740	Argentina	AR	Present	Alien
63741	Argentina	AR	Present	Alien
63742	Argentina	AR	Present	Alien
63743	Argentina	AR	Present	Alien
63744	Argentina	AR	Present	Alien
63745	Argentina	AR	Present	Alien
63746	Argentina	AR	Present	Alien
63747	Argentina	AR	Present	Alien
63748	Argentina	AR	Present	Alien
63749	Argentina	AR	Present	Alien
63750	Argentina	AR	Present	Alien
63751	Argentina	AR	Present	Alien
63752	Argentina	AR	Present	Alien
63753	Argentina	AR	Present	Alien
63754	Argentina	AR	Present	Alien
63755	Argentina	AR	Present	Alien
63756	Argentina	AR	Present	Alien
63757	Argentina	AR	Present	Alien
63758	Argentina	AR	Present	Alien
63759	Argentina	AR	Present	Alien
63760	Argentina	AR	Present	Alien
63761	Argentina	AR	Present	Alien
63762	Argentina	AR	Present	Alien
63763	Argentina	AR	Present	Alien
63764	Argentina	AR	Present	Alien
63765	Argentina	AR	Present	Alien
63766	Argentina	AR	Present	Alien
63767	Argentina	AR	Present	Alien
63768	Argentina	AR	Present	Alien
63769	Argentina	AR	Present	Alien
63770	Argentina	AR	Present	Alien
63771	Argentina	AR	Present	Alien
63772	Argentina	AR	Present	Alien
63773	Argentina	AR	Present	Alien
63774	Argentina	AR	Present	Alien
63775	Argentina	AR	Present	Alien
63776	Argentina	AR	Present	Alien
63777	Argentina	AR	Present	Alien
63778	Argentina	AR	Present	Alien
63779	Argentina	AR	Present	Alien
63780	Argentina	AR	Present	Cryptogenic|Uncertain
63781	Argentina	AR	Present	Alien
63782	Argentina	AR	Present	Alien
63783	Argentina	AR	Present	Alien
63784	Argentina	AR	Present	Alien
63785	Argentina	AR	Present	Alien
63786	Argentina	AR	Present	Alien
63787	Argentina	AR	Present	Alien
63788	Argentina	AR	Present	Alien
63789	Argentina	AR	Present	Alien
63790	Argentina	AR	Present	Alien
63791	Argentina	AR	Present	Alien
63792	Argentina	AR	Present	Alien
63793	Argentina	AR	Present	Alien
63794	Argentina	AR	Present	Alien
63795	Argentina	AR	Present	Alien
63796	Argentina	AR	Present	Alien
63797	Argentina	AR	Present	Alien
63798	Argentina	AR	Present	Alien
63799	Argentina	AR	Present	Cryptogenic|Uncertain
63800	Argentina	AR	Present	Cryptogenic|Uncertain
63801	Argentina	AR	Present	Alien
63802	Argentina	AR	Present	Alien
63803	Argentina	AR	Present	Alien
63804	Argentina	AR	Present	Alien
63805	Argentina	AR	Present	Alien
63806	Argentina	AR	Present	Alien
63807	Argentina	AR	Present	Alien
63808	Argentina	AR	Present	Alien
63809	Argentina	AR	Present	Alien
63810	Argentina	AR	Present	Alien
63811	Argentina	AR	Present	Alien
63812	Argentina	AR	Present	Alien
63813	Argentina	AR	Present	Alien
63814	Argentina	AR	Present	Alien
63815	Argentina	AR	Present	Alien
63816	Argentina	AR	Present	Alien
63817	Argentina	AR	Present	Alien
63818	Argentina	AR	Present	Alien
63819	Argentina	AR	Present	Alien
63820	Argentina	AR	Present	Alien
63821	Argentina	AR	Present	Alien
63822	Argentina	AR	Present	Alien
63823	Argentina	AR	Present	Alien
63824	Argentina	AR	Present	Alien
63825	Argentina	AR	Present	Alien
63826	Argentina	AR	Present	Alien
63827	Argentina	AR	Present	Alien
63828	Argentina	AR	Present	Alien
63829	Argentina	AR	Present	Alien
63830	Argentina	AR	Present	Alien
63831	Argentina	AR	Present	Alien
63832	Argentina	AR	Present	Alien
63833	Argentina	AR	Present	Alien
63834	Argentina	AR	Present	Alien
63835	Argentina	AR	Present	Alien
63836	Argentina	AR	Present	Alien
63837	Argentina	AR	Present	Alien
63838	Argentina	AR	Present	Alien
63839	Argentina	AR	Present	Alien
63840	Argentina	AR	Present	Alien
63841	Argentina	AR	Present	Alien
63842	Argentina	AR	Present	Alien
63843	Argentina	AR	Present	Alien
63844	Argentina	AR	Present	Alien
63845	Argentina	AR	Present	Alien
63846	Argentina	AR	Present	Alien
63847	Argentina	AR	Present	Alien
63848	Argentina	AR	Present	Alien
63849	Argentina	AR	Present	Alien
63850	Argentina	AR	Present	Alien
63851	Argentina	AR	Present	Alien
63852	Argentina	AR	Present	Alien
63853	Argentina	AR	Present	Alien
63854	Argentina	AR	Present	Alien
63855	Argentina	AR	Present	Alien
63856	Argentina	AR	Present	Alien
63857	Argentina	AR	Present	Alien
63858	Argentina	AR	Present	Alien
