id	isInvasive	habitat
123250	Null	Terrestrial
123251	Null	Terrestrial
123252	Null	Terrestrial
123253	Null	Terrestrial
123254	Null	Terrestrial
123255	Null	Terrestrial
123256	Null	Terrestrial
123257	Invasive	Terrestrial
123258	Null	Terrestrial
123259	Null	Terrestrial
123260	Null	Terrestrial
123261	Null	Terrestrial
123262	Null	Terrestrial
123263	Null	Terrestrial
123264	Null	Terrestrial
123265	Null	Freshwater
123266	Null	Terrestrial
123267	Null	Terrestrial
123268	Null	Terrestrial
123269	Null	Terrestrial
123270	Null	Terrestrial
123271	Null	Terrestrial
123272	Null	Terrestrial
123273	Invasive	Terrestrial
123274	Null	Terrestrial
123275	Null	Terrestrial
123276	Null	Terrestrial
123277	Invasive	Terrestrial
123278	Null	Terrestrial
123279	Null	Terrestrial
123280	Null	Terrestrial|Freshwater
123281	Invasive	Terrestrial
123282	Invasive	Terrestrial
123283	Null	Terrestrial
123284	Null	Terrestrial
123285	Invasive	Terrestrial
123286	Null	Terrestrial
123287	Null	Terrestrial
123288	Null	Terrestrial
123289	Null	Terrestrial
123290	Invasive	Terrestrial
123291	Null	Terrestrial
123292	Null	Terrestrial
123293	Null	Terrestrial
123294	Null	Terrestrial
123295	Null	Terrestrial
123296	Null	Terrestrial
123297	Null	Terrestrial
123298	Null	Terrestrial
123299	Null	Terrestrial
123300	Null	Terrestrial
123301	Null	Terrestrial
123302	Null	Terrestrial
123303	Null	Terrestrial
123304	Null	Terrestrial
123305	Null	Terrestrial
123306	Null	Terrestrial
123307	Null	Terrestrial
123308	Null	Terrestrial
123309	Null	Terrestrial
123310	Null	Terrestrial
123311	Null	Terrestrial
123312	Null	Terrestrial
123313	Null	Terrestrial
123314	Null	Terrestrial
123315	Null	Terrestrial
123316	Null	Terrestrial
123317	Null	Terrestrial
123318	Null	Terrestrial
123319	Null	Terrestrial
123320	Null	Terrestrial
123321	Null	Terrestrial
123322	Null	Terrestrial
123323	Null	Terrestrial
123324	Null	Terrestrial
123325	Null	Terrestrial
123326	Null	Terrestrial
123327	Null	Terrestrial
123328	Invasive	Freshwater
123329	Null	Terrestrial
123330	Null	Terrestrial
123331	Null	Terrestrial
123332	Null	Terrestrial
123333	Null	Terrestrial
123334	Null	Terrestrial
123335	Null	Terrestrial
123336	Null	Terrestrial
123337	Null	Terrestrial
123338	Null	Terrestrial
123339	Null	Terrestrial
123340	Null	Terrestrial
123341	Invasive	Terrestrial
123342	Null	Terrestrial
123343	Null	Terrestrial
123344	Null	Terrestrial
123345	Null	Terrestrial
123346	Null	Terrestrial
123347	Null	Terrestrial
123348	Null	Terrestrial
123349	Invasive	Terrestrial
123350	Null	Terrestrial
123351	Null	Terrestrial
123352	Null	Terrestrial
123353	Null	Terrestrial
123354	Null	Terrestrial
123355	Null	Terrestrial
123356	Null	Terrestrial
123357	Null	Terrestrial
123358	Null	Terrestrial
123359	Null	Terrestrial
