id	countryCode	occurrenceStatus	establishmentMeans	eventDate
151000	AU	Present	Alien	2018
151001	AU	Present	Alien	2018
151002	AU	Present	Alien	2018
151003	AU	Present	Alien	2018
151004	AU	Present	Alien	2018
151005	AU	Present	Alien	2018
151006	AU	Present	Alien	2018
151007	AU	Present	Alien	2018
151008	AU	Present	Alien	2018
151009	AU	Present	Alien	2018
151010	AU	Present	Alien	2018
151011	AU	Present	Alien	2018
151012	AU	Present	Alien	2018
151013	AU	Present	Alien	2018
151014	AU	Present	Alien	2018
151015	AU	Present	Alien	2018
151016	AU	Present	Alien	2018
151017	AU	Present	Alien	2018
151018	AU	Present	Alien	2018
151019	AU	Present	Alien	2018
151020	AU	Present	Alien	2018
151021	AU	Present	Alien	2018
151022	AU	Present	Alien	2018
151023	AU	Present	Alien	2018
151024	AU	Present	Alien	2018
151025	AU	Present	Alien	2018
151026	AU	Present	Alien	2018
151027	AU	Present	Alien	2018
151028	AU	Present	Alien	2018
151029	AU	Present	Alien	2018
151030	AU	Present	Cryptogenic|Uncertain	2018
151031	AU	Present	Alien	2018
151032	AU	Present	Alien	2018
151033	AU	Present	Alien	2018
151034	AU	Present	Alien	2018
151035	AU	Present	Alien	2018
151036	AU	Present	Alien	2018
151037	AU	Present	Alien	2018
151038	AU	Present	Alien	2018
151039	AU	Present	Alien	2018
151040	AU	Present	Alien	2018
151041	AU	Present	Alien	2018
151042	AU	Present	Alien	2018
151043	AU	Present	Alien	2018
151044	AU	Present	Alien	2018
151045	AU	Present	Alien	2018
151046	AU	Present	Alien	2018
151047	AU	Present	Alien	2018
151048	AU	Present	Alien	2018
151049	AU	Present	Alien	2018
151050	AU	Present	Alien	2018
151051	AU	Present	Alien	2018
151052	AU	Present	Alien	2018
151053	AU	Present	Alien	2018
151054	AU	Present	Alien	2018
151055	AU	Present	Alien	2018
151056	AU	Present	Alien	2018
151057	AU	Present	Alien	2018
151058	AU	Present	Alien	2018
151059	AU	Present	Alien	2018
151060	AU	Present	Alien	2018
151061	AU	Present	Alien	2018
151062	AU	Present	Alien	2018
151063	AU	Present	Alien	2018
151064	AU	Present	Alien	2018
151065	AU	Present	Alien	2018
151066	AU	Present	Alien	2018
151067	AU	Present	Alien	2018
151068	AU	Present	Alien	2018
151069	AU	Present	Alien	2018
151070	AU	Present	Alien	2018
151071	AU	Present	Alien	2018
151072	AU	Present	Alien	2018
151073	AU	Present	Alien	2018
151074	AU	Present	Alien	2018
151075	AU	Present	Alien	2018
151076	AU	Present	Alien	2018
151078	AU	Present	Cryptogenic|Uncertain	2018
151079	AU	Present	Alien	2018
151080	AU	Present	Alien	2018
151081	AU	Present	Cryptogenic|Uncertain	2018
151082	AU	Present	Alien	2018
151083	AU	Present	Alien	2018
151084	AU	Present	Alien	2018
151085	AU	Present	Alien	2018
151086	AU	Present	Alien	2018
151087	AU	Present	Alien	2018
151088	AU	Present	Alien	2018
151089	AU	Present	Alien	2018
151090	AU	Present	Alien	2018
151091	AU	Present	Alien	2018
151092	AU	Present	Alien	2018
151093	AU	Present	Alien	2018
151094	AU	Present	Alien	2018
151095	AU	Present	Alien	2018
151096	AU	Present	Alien	2018
151097	AU	Present	Alien	2018
151098	AU	Present	Alien	2018
151099	AU	Present	Alien	2018
151100	AU	Present	Alien	2018
151101	AU	Present	Alien	2018
151102	AU	Present	Alien	2018
151103	AU	Present	Alien	2018
151104	AU	Present	Alien	2018
151105	AU	Present	Alien	2018
151106	AU	Present	Alien	2018
151107	AU	Present	Alien	2018
151108	AU	Present	Alien	2018
151109	AU	Present	Alien	2018
151110	AU	Present	Alien	2018
151111	AU	Present	Alien	2018
151112	AU	Present	Alien	2018
151113	AU	Present	Alien	2018
151114	AU	Present	Alien	2018
151115	AU	Present	Alien	2018
151116	AU	Present	Alien	2018
151117	AU	Present	Alien	2018
151118	AU	Present	Alien	2018
151119	AU	Present	Alien	2018
151120	AU	Present	Alien	2018
151121	AU	Present	Alien	2018
151122	AU	Present	Alien	2018
151123	AU	Present	Alien	2018
151124	AU	Present	Alien	2018
151125	AU	Present	Alien	2018
151126	AU	Present	Alien	2018
151127	AU	Present	Alien	2018
151128	AU	Present	Alien	2018
151129	AU	Present	Alien	2018
151130	AU	Present	Alien	2018
151131	AU	Present	Alien	2018
151132	AU	Present	Alien	2018
151133	AU	Present	Alien	2018
151134	AU	Present	Alien	2018
151135	AU	Present	Alien	2018
151136	AU	Present	Alien	2018
151137	AU	Present	Alien	2018
151138	AU	Present	Alien	2018
151139	AU	Present	Alien	2018
151140	AU	Present	Alien	2018
151141	AU	Present	Alien	2018
151142	AU	Present	Alien	2018
151143	AU	Present	Alien	2018
151144	AU	Present	Alien	2018
151145	AU	Present	Alien	2018
151146	AU	Present	Alien	2018
151147	AU	Present	Alien	2018
151148	AU	Present	Alien	2018
151149	AU	Present	Alien	2018
151150	AU	Present	Cryptogenic|Uncertain	2018
151151	AU	Present	Alien	2018
151152	AU	Present	Cryptogenic|Uncertain	2018
151153	AU	Present	Alien	2018
151154	AU	Present	Alien	2018
151155	AU	Present	Alien	2018
151156	AU	Present	Alien	2018
151157	AU	Present	Alien	2018
151158	AU	Present	Alien	2018
151159	AU	Present	Alien	2018
151160	AU	Present	Alien	2018
151161	AU	Present	Alien	2018
151162	AU	Present	Alien	2018
151163	AU	Present	Alien	2018
151164	AU	Present	Alien	2018
151165	AU	Present	Alien	2018
151166	AU	Present	Alien	2018
151167	AU	Present	Alien	2018
151168	AU	Present	Alien	2018
151169	AU	Present	Alien	2018
151170	AU	Present	Alien	2018
151171	AU	Present	Alien	2018
151172	AU	Present	Alien	2018
151173	AU	Present	Alien	2018
151174	AU	Present	Alien	2018
151175	AU	Present	Alien	2018
151176	AU	Present	Alien	2018
151177	AU	Present	Alien	2018
151178	AU	Present	Alien	2018
151179	AU	Present	Alien	2018
151180	AU	Present	Alien	2018
151181	AU	Present	Alien	2018
151182	AU	Present	Alien	2018
151183	AU	Present	Alien	2018
151184	AU	Present	Alien	2018
151186	AU	Present	Cryptogenic|Uncertain	2018
151187	AU	Present	Alien	2018
151188	AU	Present	Alien	2018
151189	AU	Present	Alien	2018
151190	AU	Present	Alien	2018
151191	AU	Present	Alien	2018
151192	AU	Present	Alien	2018
151193	AU	Present	Alien	2018
151194	AU	Present	Alien	2018
151195	AU	Present	Cryptogenic|Uncertain	2018
151196	AU	Present	Alien	2018
151197	AU	Present	Alien	2018
151198	AU	Present	Alien	2018
151199	AU	Present	Alien	2018
151200	AU	Present	Alien	2018
151201	AU	Present	Alien	2018
151202	AU	Present	Alien	2018
151203	AU	Present	Alien	2018
151204	AU	Present	Alien	2018
151205	AU	Present	Alien	2018
151206	AU	Present	Alien	2018
151207	AU	Present	Alien	2018
151208	AU	Present	Alien	2018
151209	AU	Present	Alien	2018
151210	AU	Present	Alien	2018
151211	AU	Present	Alien	2018
151212	AU	Present	Alien	2018
151213	AU	Present	Alien	2018
151214	AU	Present	Alien	2018
151215	AU	Present	Alien	2018
151216	AU	Present	Alien	2018
151217	AU	Present	Alien	2018
151218	AU	Present	Alien	2018
151219	AU	Present	Alien	2018
151220	AU	Present	Alien	2018
151221	AU	Present	Alien	2018
151222	AU	Present	Alien	2018
151223	AU	Present	Alien	2018
151224	AU	Present	Alien	2018
151225	AU	Present	Alien	2018
151226	AU	Present	Alien	2018
151227	AU	Present	Alien	2018
151228	AU	Present	Alien	2018
151229	AU	Present	Alien	2018
151230	AU	Present	Alien	2018
151231	AU	Present	Alien	2018
151232	AU	Present	Alien	2018
151233	AU	Present	Alien	2018
151234	AU	Present	Alien	2018
151235	AU	Present	Alien	2018
151236	AU	Present	Alien	2018
151237	AU	Present	Alien	2018
151238	AU	Present	Alien	2018
151239	AU	Present	Alien	2018
151240	AU	Present	Alien	2018
151241	AU	Present	Alien	2018
151242	AU	Present	Alien	2018
151243	AU	Present	Cryptogenic|Uncertain	2018
151244	AU	Present	Alien	2018
151245	AU	Present	Alien	2018
151246	AU	Present	Alien	2018
151247	AU	Present	Alien	2018
151248	AU	Present	Alien	2018
151249	AU	Present	Alien	2018
151250	AU	Present	Alien	2018
151251	AU	Present	Alien	2018
151252	AU	Present	Alien	2018
151253	AU	Present	Alien	2018
151254	AU	Present	Alien	2018
151255	AU	Present	Alien	2018
151256	AU	Present	Alien	2018
151257	AU	Present	Alien	2018
151258	AU	Present	Alien	2018
151259	AU	Present	Alien	2018
151260	AU	Present	Alien	2018
151261	AU	Present	Alien	2018
151262	AU	Present	Cryptogenic|Uncertain	2018
151263	AU	Present	Alien	2018
151264	AU	Present	Alien	2018
151265	AU	Present	Alien	2018
151266	AU	Present	Alien	2018
151267	AU	Present	Alien	2018
151268	AU	Present	Alien	2018
151269	AU	Present	Alien	2018
151270	AU	Present	Alien	2018
151271	AU	Present	Alien	2018
151272	AU	Present	Alien	2018
151273	AU	Present	Alien	2018
151274	AU	Present	Alien	2018
151275	AU	Present	Alien	2018
151276	AU	Present	Alien	2018
151277	AU	Present	Alien	2018
151278	AU	Present	Alien	2018
151279	AU	Present	Alien	2018
151280	AU	Present	Alien	2018
151281	AU	Present	Alien	2018
151282	AU	Present	Alien	2018
151283	AU	Present	Alien	2018
151284	AU	Present	Alien	2018
151285	AU	Present	Alien	2018
151286	AU	Present	Alien	2018
151287	AU	Present	Alien	2018
151288	AU	Present	Alien	2018
151289	AU	Present	Alien	2018
151290	AU	Present	Alien	2018
151291	AU	Present	Alien	2018
151292	AU	Present	Alien	2018
151293	AU	Present	Alien	2018
151294	AU	Present	Alien	2018
151295	AU	Present	Alien	2018
151296	AU	Present	Alien	2018
151297	AU	Present	Alien	2018
151298	AU	Present	Alien	2018
151299	AU	Present	Alien	2018
