id	isInvasive	habitat
79000	Invasive	Marine
79001	Invasive	Freshwater|Brackish
79002	Invasive	Freshwater|Brackish
79003	Invasive	Freshwater|Brackish
79004	Null	Freshwater|Brackish|Marine
79005	Invasive	Freshwater|Brackish
79006	Invasive	Freshwater
79007	Null	Brackish|Marine
79008	Invasive	Marine
79009	Invasive	Marine
79010	Invasive	Brackish|Marine
79011	Invasive	Marine
79012	Invasive	Marine
79013	Null	Terrestrial|Freshwater
79014	Invasive	Terrestrial|Freshwater
79015	Null	Terrestrial|Freshwater
79016	Null	Terrestrial|Freshwater
79017	Null	Marine
79018	Invasive	Terrestrial
79019	Null	Terrestrial|Freshwater
79020	Invasive	Terrestrial
79021	Invasive	Terrestrial
79022	Null	Terrestrial
79023	Invasive	Terrestrial
79024	Invasive	Terrestrial
79025	Null	Terrestrial
79026	Null	Terrestrial
79027	Invasive	Marine
79028	Invasive	Marine
79029	Invasive	Marine
79030	Invasive	Brackish
79031	Invasive	Terrestrial
79032	Null	Terrestrial|Freshwater
79033	Null	Terrestrial|Freshwater
79034	Null	Terrestrial
79035	Null	Terrestrial
79036	Invasive	Terrestrial
79037	Invasive	Terrestrial
79038	Invasive	Terrestrial
79039	Invasive	Terrestrial
79040	Invasive	Terrestrial
79041	Invasive	Terrestrial
79042	Invasive	Host
79043	Invasive	Host
79044	Invasive	Terrestrial
79045	Invasive	Terrestrial
79046	Null	Terrestrial
79047	Null	Terrestrial
79048	Invasive	Terrestrial
79049	Null	Terrestrial
79050	Null	Terrestrial
79051	Null	Terrestrial
79052	Null	Terrestrial
79053	Invasive	Terrestrial
79054	Invasive	Terrestrial
79055	Invasive	Terrestrial
79056	Null	Terrestrial
79057	Null	Terrestrial
79058	Null	Terrestrial
79059	Null	Terrestrial
79060	Null	Terrestrial
79061	Null	Terrestrial
79062	Null	Terrestrial
79063	Invasive	Terrestrial
79064	Invasive	Terrestrial
79065	Null	Terrestrial
79066	Invasive	Terrestrial
79067	Null	Terrestrial
79068	Null	Terrestrial
79069	Null	Terrestrial
79070	Invasive	Terrestrial
79071	Null	Terrestrial
79072	Invasive	Freshwater
79073	Null	Terrestrial|Freshwater
79074	Null	Terrestrial
79075	Invasive	Terrestrial
79076	Null	Terrestrial
79077	Invasive	Terrestrial
79078	Null	Terrestrial
79079	Invasive	Terrestrial
79080	Null	Terrestrial
79081	Null	Terrestrial
79082	Invasive	Terrestrial
79083	Null	Terrestrial
