id	locationID	countryCode	occurrenceStatus	establishmentMeans
19000	Bangladesh	BD	Present	Alien
19001	Bangladesh	BD	Present	Alien
19002	Bangladesh	BD	Present	Alien
19003	Bangladesh	BD	Present	Alien
19004	Bangladesh	BD	Present	Cryptogenic|Uncertain
19005	Bangladesh	BD	Present	Alien
19006	Bangladesh	BD	Present	Alien
19007	Bangladesh	BD	Present	Alien
19008	Bangladesh	BD	Present	Alien
19009	Bangladesh	BD	Present	Alien
19010	Bangladesh	BD	Present	Alien
19011	Bangladesh	BD	Present	Alien
19012	Bangladesh	BD	Present	Alien
19013	Bangladesh	BD	Present	Alien
19014	Bangladesh	BD	Present	Alien
19015	Bangladesh	BD	Present	Alien
19016	Bangladesh	BD	Present	Alien
19019	Bangladesh	BD	Present	Cryptogenic|Uncertain
19017	Bangladesh	BD	Present	Alien
19018	Bangladesh	BD	Present	Alien
19020	Bangladesh	BD	Present	Alien
19021	Bangladesh	BD	Present	Alien
19022	Bangladesh	BD	Present	Alien
19023	Bangladesh	BD	Present	Alien
19024	Bangladesh	BD	Present	Alien
19025	Bangladesh	BD	Present	Alien
19026	Bangladesh	BD	Present	Alien
19027	Bangladesh	BD	Present	Alien
19028	Bangladesh	BD	Present	Alien
19029	Bangladesh	BD	Present	Alien
19030	Bangladesh	BD	Present	Alien
19031	Bangladesh	BD	Present	Alien
19032	Bangladesh	BD	Present	Alien
19033	Bangladesh	BD	Present	Alien
19034	Bangladesh	BD	Present	Alien
19035	Bangladesh	BD	Present	Alien
19036	Bangladesh	BD	Present	Alien
19037	Bangladesh	BD	Present	Alien
19038	Bangladesh	BD	Present	Alien
19039	Bangladesh	BD	Present	Alien
19040	Bangladesh	BD	Present	Alien
19041	Bangladesh	BD	Present	Alien
19042	Bangladesh	BD	Present	Cryptogenic|Uncertain
19043	Bangladesh	BD	Present	Alien
19044	Bangladesh	BD	Present	Alien
19045	Bangladesh	BD	Present	Alien
19046	Bangladesh	BD	Present	Alien
19047	Bangladesh	BD	Present	Alien
19048	Bangladesh	BD	Present	Alien
19049	Bangladesh	BD	Present	Alien
19050	Bangladesh	BD	Present	Cryptogenic|Uncertain
19051	Bangladesh	BD	Present	Alien
19052	Bangladesh	BD	Present	Alien
19053	Bangladesh	BD	Present	Alien
19054	Bangladesh	BD	Present	Alien
19055	Bangladesh	BD	Present	Alien
19056	Bangladesh	BD	Present	Alien
19057	Bangladesh	BD	Present	Cryptogenic|Uncertain
19058	Bangladesh	BD	Present	Alien
19059	Bangladesh	BD	Present	Alien
19060	Bangladesh	BD	Present	Alien
19061	Bangladesh	BD	Present	Alien
19062	Bangladesh	BD	Present	Alien
19063	Bangladesh	BD	Present	Cryptogenic|Uncertain
19064	Bangladesh	BD	Present	Alien
19065	Bangladesh	BD	Present	Alien
19066	Bangladesh	BD	Present	Cryptogenic|Uncertain
19067	Bangladesh	BD	Present	Alien
19068	Bangladesh	BD	Present	Alien
19069	Bangladesh	BD	Present	Alien
19070	Bangladesh	BD	Present	Alien
19071	Bangladesh	BD	Present	Alien
19072	Bangladesh	BD	Present	Alien
19073	Bangladesh	BD	Present	Alien
19074	Bangladesh	BD	Present	Alien
19075	Bangladesh	BD	Present	Alien
19076	Bangladesh	BD	Present	Cryptogenic|Uncertain
19077	Bangladesh	BD	Present	Alien
19078	Bangladesh	BD	Present	Alien
19079	Bangladesh	BD	Present	Alien
19080	Bangladesh	BD	Present	Alien
19081	Bangladesh	BD	Present	Alien
19082	Bangladesh	BD	Present	Alien
19084	Bangladesh	BD	Present	Cryptogenic|Uncertain
19083	Bangladesh	BD	Present	Alien
19085	Bangladesh	BD	Present	Alien
19086	Bangladesh	BD	Present	Alien
19087	Bangladesh	BD	Present	Alien
19088	Bangladesh	BD	Present	Alien
19089	Bangladesh	BD	Present	Cryptogenic|Uncertain
19090	Bangladesh	BD	Present	Alien
19091	Bangladesh	BD	Present	Alien
19092	Bangladesh	BD	Present	Alien
19093	Bangladesh	BD	Present	Alien
19095	Bangladesh	BD	Present	Alien
19096	Bangladesh	BD	Present	Alien
19097	Bangladesh	BD	Present	Alien
19098	Bangladesh	BD	Present	Alien
19099	Bangladesh	BD	Present	Alien
19100	Bangladesh	BD	Present	Alien
19101	Bangladesh	BD	Present	Alien
19102	Bangladesh	BD	Present	Alien
19103	Bangladesh	BD	Present	Alien
19104	Bangladesh	BD	Present	Alien
19105	Bangladesh	BD	Present	Alien
19106	Bangladesh	BD	Present	Alien
19107	Bangladesh	BD	Present	Alien
19108	Bangladesh	BD	Present	Alien
19109	Bangladesh	BD	Present	Alien
19110	Bangladesh	BD	Present	Alien
19111	Bangladesh	BD	Present	Alien
19112	Bangladesh	BD	Present	Alien
19113	Bangladesh	BD	Present	Alien
19114	Bangladesh	BD	Present	Alien
19115	Bangladesh	BD	Present	Alien
19116	Bangladesh	BD	Present	Alien
19117	Bangladesh	BD	Present	Cryptogenic|Uncertain
19118	Bangladesh	BD	Present	Alien
19119	Bangladesh	BD	Present	Alien
19120	Bangladesh	BD	Present	Alien
19121	Bangladesh	BD	Present	Alien
19122	Bangladesh	BD	Present	Alien
19123	Bangladesh	BD	Present	Cryptogenic|Uncertain
19124	Bangladesh	BD	Present	Alien
19125	Bangladesh	BD	Present	Alien
19126	Bangladesh	BD	Present	Alien
19127	Bangladesh	BD	Present	Cryptogenic|Uncertain
19128	Bangladesh	BD	Present	Alien
19129	Bangladesh	BD	Present	Alien
19130	Bangladesh	BD	Present	Cryptogenic|Uncertain
19131	Bangladesh	BD	Present	Alien
19132	Bangladesh	BD	Present	Alien
19133	Bangladesh	BD	Present	Alien
19134	Bangladesh	BD	Present	Alien
19135	Bangladesh	BD	Present	Cryptogenic|Uncertain
19136	Bangladesh	BD	Present	Cryptogenic|Uncertain
19137	Bangladesh	BD	Present	Cryptogenic|Uncertain
19138	Bangladesh	BD	Present	Cryptogenic|Uncertain
19139	Bangladesh	BD	Present	Alien
19140	Bangladesh	BD	Present	Alien
19141	Bangladesh	BD	Present	Cryptogenic|Uncertain
19142	Bangladesh	BD	Present	Alien
19143	Bangladesh	BD	Present	Alien
19144	Bangladesh	BD	Present	Cryptogenic|Uncertain
19145	Bangladesh	BD	Present	Alien
19146	Bangladesh	BD	Present	Cryptogenic|Uncertain
19147	Bangladesh	BD	Present	Alien
19148	Bangladesh	BD	Present	Alien
