id	locationID	countryCode	occurrenceStatus	establishmentMeans
49000	Barbados	BB	Present	Alien
49001	Barbados	BB	Present	Alien
49002	Barbados	BB	Present	Alien
49003	Barbados	BB	Present	Alien
49004	Barbados	BB	Present	Alien
49005	Barbados	BB	Present	Alien
49006	Barbados	BB	Present	Alien
49007	Barbados	BB	Present	Alien
49008	Barbados	BB	Present	Alien
49009	Barbados	BB	Present	Alien
49010	Barbados	BB	Present	Alien
49011	Barbados	BB	Present	Alien
49012	Barbados	BB	Present	Alien
49013	Barbados	BB	Present	Alien
49014	Barbados	BB	Present	Alien
49015	Barbados	BB	Present	Alien
49016	Barbados	BB	Present	Alien
49017	Barbados	BB	Present	Alien
49018	Barbados	BB	Present	Alien
49019	Barbados	BB	Present	Alien
49020	Barbados	BB	Present	Alien
49021	Barbados	BB	Present	Alien
49022	Barbados	BB	Present	Alien
49023	Barbados	BB	Present	Alien
49024	Barbados	BB	Present	Alien
49025	Barbados	BB	Present	Alien
49026	Barbados	BB	Present	Alien
49027	Barbados	BB	Present	Alien
49028	Barbados	BB	Present	Alien
49029	Barbados	BB	Present	Alien
49030	Barbados	BB	Present	Alien
49031	Barbados	BB	Present	Alien
49032	Barbados	BB	Present	Alien
49033	Barbados	BB	Present	Alien
49034	Barbados	BB	Present	Alien
49035	Barbados	BB	Present	Alien
49036	Barbados	BB	Present	Alien
49037	Barbados	BB	Present	Alien
49038	Barbados	BB	Present	Alien
49039	Barbados	BB	Present	Alien
49040	Barbados	BB	Present	Alien
49041	Barbados	BB	Present	Alien
49042	Barbados	BB	Present	Alien
49043	Barbados	BB	Present	Alien
49044	Barbados	BB	Present	Alien
49045	Barbados	BB	Present	Alien
49046	Barbados	BB	Present	Alien
49047	Barbados	BB	Present	Alien
49048	Barbados	BB	Present	Alien
49049	Barbados	BB	Present	Alien
49050	Barbados	BB	Present	Alien
49051	Barbados	BB	Present	Alien
49052	Barbados	BB	Present	Alien
49053	Barbados	BB	Present	Alien
49054	Barbados	BB	Present	Alien
49055	Barbados	BB	Present	Alien
49056	Barbados	BB	Present	Alien
49057	Barbados	BB	Present	Alien
49058	Barbados	BB	Present	Alien
49059	Barbados	BB	Present	Alien
49060	Barbados	BB	Present	Alien
