id	isInvasive	habitat
100500	Null	Terrestrial|Freshwater
100501	Null	Terrestrial|Freshwater
100502	Null	Terrestrial
100503	Null	Terrestrial
100504	Null	Terrestrial
100505	Null	Terrestrial
100506	Null	Terrestrial
100507	Null	Terrestrial
100508	Null	Terrestrial
100509	Null	Terrestrial
100510	Null	Terrestrial
100511	Null	Terrestrial
100512	Invasive	Terrestrial
100513	Null	Terrestrial
100514	Null	Marine
100515	Null	Terrestrial
100516	Null	Terrestrial
100517	Null	Marine
100518	Null	Terrestrial
100519	Null	Terrestrial
100520	Null	Terrestrial
100521	Null	Terrestrial
100522	Null	Terrestrial
100523	Null	Terrestrial
100524	Null	Terrestrial
100525	Invasive	Marine
100526	Null	Terrestrial
100527	Null	Terrestrial
100528	Null	Terrestrial
100529	Null	Terrestrial
100530	Null	Terrestrial
100531	Null	Terrestrial
100532	Null	Terrestrial
100533	Null	Terrestrial
100534	Null	Terrestrial
100535	Null	Marine
100536	Null	Terrestrial
100537	Null	Terrestrial
100538	Null	Terrestrial
100539	Null	Terrestrial
100540	Null	Terrestrial
100541	Invasive	Terrestrial|Freshwater
100542	Null	Terrestrial
100543	Null	Terrestrial
100544	Null	Terrestrial
100545	Null	Terrestrial
100546	Null	Terrestrial
100547	Null	Terrestrial|Freshwater
100548	Null	Terrestrial|Freshwater
100549	Null	Terrestrial|Freshwater
100550	Null	Terrestrial
100551	Null	Host
100552	Null	Terrestrial
100553	Null	Marine
100554	Null	Terrestrial
100555	Null	Terrestrial
100556	Null	Terrestrial
100557	Null	Terrestrial
100558	Null	Terrestrial
100559	Null	Freshwater
100560	Invasive	Terrestrial
100561	Null	Terrestrial
100562	Null	Terrestrial
100563	Null	Terrestrial
100564	Null	Terrestrial
100565	Null	Terrestrial
100566	Null	Terrestrial
100567	Null	Terrestrial
100568	Null	Terrestrial
100569	Null	Terrestrial
100570	Null	Marine
100571	Null	Terrestrial
100572	Null	Terrestrial
100573	Null	Terrestrial
100574	Null	Terrestrial
100575	Null	Terrestrial
100576	Invasive	Terrestrial
100577	Null	Terrestrial
100578	Null	Terrestrial
100579	Null	Terrestrial|Freshwater
100580	Null	Terrestrial
100581	Null	Host
100582	Null	Terrestrial
100583	Invasive	Terrestrial
100584	Invasive	Terrestrial
100585	Null	Terrestrial
100586	Null	Terrestrial
100587	Null	Terrestrial
100588	Null	Terrestrial
100589	Null	Freshwater
100590	Invasive	Terrestrial
100591	Null	Terrestrial
100592	Invasive	Terrestrial
100593	Invasive	Terrestrial
100594	Null	Terrestrial|Freshwater
100595	Invasive	Terrestrial
100596	Null	Terrestrial
100597	Null	Terrestrial
100598	Null	Terrestrial
100599	Null	Terrestrial
100600	Null	Terrestrial
100601	Null	Terrestrial
100602	Null	Terrestrial
100603	Null	Terrestrial
100604	Null	Terrestrial
100605	Null	Freshwater
100606	Invasive	Terrestrial
100607	Invasive	Marine
100608	Null	Terrestrial
100609	Null	Terrestrial
100610	Invasive	Terrestrial
100611	Null	Terrestrial
100612	Null	Terrestrial
100613	Null	Terrestrial
100614	Null	Terrestrial
100615	Null	Terrestrial
100616	Null	Terrestrial
100617	Null	Marine
100618	Null	Terrestrial
100619	Null	Terrestrial
100620	Null	Terrestrial
100621	Null	Terrestrial
100622	Null	Terrestrial
100623	Null	Terrestrial
100624	Null	Terrestrial
100625	Invasive	Terrestrial
100626	Null	Terrestrial
100627	Null	Terrestrial
100628	Null	Terrestrial
100629	Null	Terrestrial
100630	Null	Marine
100631	Null	Terrestrial
100632	Null	Terrestrial
100633	Null	Terrestrial
100634	Null	Terrestrial
100635	Null	Terrestrial
100636	Null	Terrestrial
100637	Null	Terrestrial
100638	Null	Marine
100639	Null	Terrestrial
