id	isInvasive	habitat
95500	Invasive	Terrestrial
95501	Null	Terrestrial|Freshwater
95502	Null	Terrestrial|Freshwater
95503	Null	Terrestrial
95504	Null	Terrestrial
95505	Null	Terrestrial
95506	Null	Terrestrial
95507	Null	Terrestrial
95508	Null	Terrestrial
95509	Invasive	Terrestrial
95510	Invasive	Terrestrial
95511	Invasive	Terrestrial
95512	Invasive	Terrestrial
95513	Invasive	Terrestrial
95514	Invasive	Host
95515	Invasive	Terrestrial
95516	Invasive	Terrestrial
95517	Invasive	Terrestrial
95518	Null	Terrestrial
95519	Null	Terrestrial
95520	Null	Terrestrial
95521	Null	Terrestrial
95522	Invasive	Terrestrial
95523	Null	Terrestrial
95524	Invasive	Host
95525	Invasive	Terrestrial
95526	Invasive	Terrestrial
95527	Invasive	Terrestrial
95528	Invasive	Terrestrial
95529	Invasive	Terrestrial
95530	Invasive	Terrestrial
95531	Null	Terrestrial
95532	Null	Terrestrial
95533	Invasive	Terrestrial
95534	Null	Terrestrial
95535	Null	Terrestrial|Freshwater
95536	Invasive	Terrestrial
95537	Invasive	Terrestrial
95538	Invasive	Freshwater
95539	Invasive	Terrestrial
95540	Null	Terrestrial
95541	Null	Terrestrial|Freshwater
95542	Invasive	Terrestrial
95543	Invasive	Terrestrial
95544	Null	Terrestrial
95545	Invasive	Terrestrial
95546	Invasive	Terrestrial
95547	Invasive	Terrestrial
95548	Invasive	Terrestrial
95549	Null	Terrestrial
95550	Invasive	Freshwater|Brackish
95551	Invasive	Terrestrial
95552	Invasive	Terrestrial
95553	Null	Terrestrial
95554	Null	Terrestrial
95555	Invasive	Terrestrial
95556	Invasive	Host
95557	Invasive	Terrestrial
95558	Invasive	Terrestrial
95559	Invasive	Terrestrial
95560	Invasive	Terrestrial
95561	Invasive	Terrestrial
95562	Invasive	Terrestrial
95563	Null	Terrestrial
95564	Null	Terrestrial
95565	Invasive	Terrestrial
95566	Invasive	Terrestrial
95567	Invasive	Terrestrial
95568	Invasive	Terrestrial
95569	Null	Terrestrial
95570	Null	Terrestrial
95571	Null	Terrestrial
95572	Null	Terrestrial
95573	Null	Terrestrial
95574	Invasive	Terrestrial
95575	Invasive	Terrestrial
95576	Null	Terrestrial
95577	Null	Terrestrial
95578	Null	Terrestrial
95579	Invasive	Terrestrial
95580	Invasive	Terrestrial
95581	Invasive	Terrestrial
95582	Null	Terrestrial
95583	Null	Terrestrial
95584	Null	Terrestrial
95585	Invasive	Terrestrial
95586	Invasive	Terrestrial
95587	Invasive	Terrestrial
95588	Null	Marine
95589	Null	Marine
95590	Invasive	Terrestrial
95591	Null	Terrestrial
95592	Null	Terrestrial
95593	Null	Terrestrial|Freshwater
95594	Invasive	Terrestrial
95595	Invasive	Terrestrial
95596	Invasive	Terrestrial
95597	Null	Terrestrial
95598	Invasive	Terrestrial
95599	Invasive	Terrestrial
95600	Invasive	Terrestrial
95601	Invasive	Terrestrial
95602	Invasive	Terrestrial
95603	Invasive	Terrestrial
95604	Invasive	Terrestrial
95605	Invasive	Terrestrial
95606	Null	Terrestrial
95607	Null	Terrestrial
95608	Null	Terrestrial
95609	Null	Terrestrial
95610	Invasive	Terrestrial
95611	Null	Terrestrial
95612	Null	Terrestrial
95613	Null	Terrestrial|Freshwater
95614	Invasive	Terrestrial
95615	Invasive	Terrestrial
95616	Null	Terrestrial
95617	Invasive	Terrestrial
95618	Null	Terrestrial
95619	Null	Terrestrial
