id	countryCode	occurrenceStatus	establishmentMeans
30341	BT	Present	Alien
30342	BT	Present	Alien
30343	BT	Present	Alien
30344	BT	Present	Alien
30345	BT	Present	Alien
30346	BT	Present	Alien
30347	BT	Present	Alien
30348	BT	Present	Alien
30349	BT	Present	Alien
30350	BT	Present	Alien
30351	BT	Present	Alien
30352	BT	Present	Alien
30353	BT	Present	Alien
30354	BT	Present	Alien
30355	BT	Present	Alien
30356	BT	Present	Alien
30357	BT	Present	Alien
30358	BT	Present	Alien
30359	BT	Present	Alien
30360	BT	Present	Alien
30361	BT	Present	Alien
30362	BT	Present	Alien
30363	BT	Present	Alien
30364	BT	Present	Alien
30365	BT	Present	Alien
30366	BT	Present	Alien
30367	BT	Present	Alien
30368	BT	Present	Alien
30369	BT	Present	Alien
30370	BT	Present	Alien
30371	BT	Present	Alien
30372	BT	Present	Alien
30373	BT	Present	Alien
30374	BT	Present	Alien
30375	BT	Present	Alien
30376	BT	Present	Alien
30377	BT	Present	Alien
30378	BT	Present	Alien
30379	BT	Present	Alien
30380	BT	Present	Alien
30381	BT	Present	Alien
30382	BT	Present	Alien
30383	BT	Present	Alien
30384	BT	Present	Alien
30385	BT	Present	Alien
30386	BT	Present	Alien
30387	BT	Present	Alien
30388	BT	Present	Alien
30389	BT	Present	Alien
30390	BT	Present	Alien
30391	BT	Present	Alien
30392	BT	Present	Alien
30393	BT	Present	Alien
30394	BT	Present	Alien
30395	BT	Present	Alien
30396	BT	Present	Alien
30397	BT	Present	Alien
30398	BT	Present	Alien
30399	BT	Present	Alien
30400	BT	Present	Alien
30401	BT	Present	Alien
30402	BT	Present	Alien
30403	BT	Present	Alien
30404	BT	Present	Alien
30405	BT	Present	Alien
30406	BT	Present	Alien
30407	BT	Present	Alien
30408	BT	Present	Alien
30409	BT	Present	Alien
30410	BT	Present	Alien
30411	BT	Present	Alien
30412	BT	Present	Alien
30413	BT	Present	Alien
30414	BT	Present	Alien
30415	BT	Present	Alien
30416	BT	Present	Alien
30417	BT	Present	Alien
30418	BT	Present	Alien
30419	BT	Present	Alien
30420	BT	Present	Alien
30421	BT	Present	Alien
30422	BT	Present	Alien
30423	BT	Present	Alien
30424	BT	Present	Alien
30425	BT	Present	Alien
30426	BT	Present	Alien
30427	BT	Present	Alien
30428	BT	Present	Alien
30429	BT	Present	Alien
30430	BT	Present	Alien
30431	BT	Present	Alien
30432	BT	Present	Alien
30433	BT	Present	Alien
30434	BT	Present	Alien
30435	BT	Present	Alien
30436	BT	Present	Alien
30437	BT	Present	Alien
30438	BT	Present	Alien
30439	BT	Present	Alien
30440	BT	Present	Alien
30441	BT	Present	Alien
30442	BT	Present	Alien
30443	BT	Present	Alien
30444	BT	Present	Alien
30445	BT	Present	Alien
30446	BT	Present	Alien
30447	BT	Present	Alien
30448	BT	Present	Alien
30449	BT	Present	Alien
30450	BT	Present	Alien
30451	BT	Present	Alien
30452	BT	Present	Alien
30453	BT	Present	Alien
30454	BT	Present	Alien
30455	BT	Present	Alien
30456	BT	Present	Alien
30457	BT	Present	Alien
30458	BT	Present	Alien
30459	BT	Present	Alien
30460	BT	Present	Alien
30461	BT	Present	Alien
30462	BT	Present	Alien
30463	BT	Present	Alien
30464	BT	Present	Alien
30465	BT	Present	Alien
30466	BT	Present	Alien
30467	BT	Present	Alien
30468	BT	Present	Alien
30469	BT	Present	Alien
30470	BT	Present	Alien
30471	BT	Present	Alien
30472	BT	Present	Alien
30473	BT	Present	Alien
30474	BT	Present	Alien
30475	BT	Present	Alien
30476	BT	Present	Alien
30477	BT	Present	Alien
30478	BT	Present	Alien
30479	BT	Present	Alien
30480	BT	Present	Alien
30481	BT	Present	Alien
30482	BT	Present	Alien
30483	BT	Present	Alien
30484	BT	Present	Alien
30485	BT	Present	Alien
30486	BT	Present	Alien
30487	BT	Present	Alien
30488	BT	Present	Alien
30489	BT	Present	Alien
30490	BT	Present	Alien
30491	BT	Present	Alien
30492	BT	Present	Alien
30493	BT	Present	Alien
30494	BT	Present	Alien
30495	BT	Present	Alien
30496	BT	Present	Alien
30497	BT	Present	Alien
30498	BT	Present	Alien
30499	BT	Present	Alien
30500	BT	Present	Alien
30501	BT	Present	Alien
30502	BT	Present	Alien
30503	BT	Present	Alien
30504	BT	Present	Alien
30505	BT	Present	Alien
30506	BT	Present	Alien
30507	BT	Present	Alien
30508	BT	Present	Alien
30509	BT	Present	Alien
30510	BT	Present	Alien
30511	BT	Present	Alien
30512	BT	Present	Alien
30513	BT	Present	Alien
30514	BT	Present	Alien
30515	BT	Present	Alien
30516	BT	Present	Alien
30517	BT	Present	Alien
30518	BT	Present	Alien
30519	BT	Present	Alien
30520	BT	Present	Alien
30521	BT	Present	Alien
30522	BT	Present	Alien
30523	BT	Present	Alien
30524	BT	Present	Alien
30525	BT	Present	Alien
30526	BT	Present	Alien
30527	BT	Present	Alien
30528	BT	Present	Alien
30529	BT	Present	Alien
30530	BT	Present	Alien
30531	BT	Present	Alien
30532	BT	Present	Alien
30533	BT	Present	Alien
30534	BT	Present	Alien
30535	BT	Present	Alien
30536	BT	Present	Alien
30537	BT	Present	Alien
30538	BT	Present	Alien
30539	BT	Present	Alien
30540	BT	Present	Alien
30541	BT	Present	Alien
30542	BT	Present	Alien
