id	isInvasive	habitat
30341	Null	Terrestrial
30342	Null	Terrestrial
30343	Null	Terrestrial
30344	Invasive	Terrestrial
30345	Null	Terrestrial
30346	Null	Terrestrial
30347	Null	Terrestrial
30348	Null	Terrestrial
30349	Null	Terrestrial
30350	Null	Terrestrial
30351	Null	Terrestrial
30352	Null	Terrestrial
30353	Null	Terrestrial
30354	Null	Terrestrial|Freshwater
30355	Null	Terrestrial|Freshwater
30356	Null	Terrestrial
30357	Null	Terrestrial
30358	Null	Terrestrial
30359	Null	Terrestrial|Freshwater
30360	Null	Terrestrial
30361	Null	Terrestrial
30362	Null	Terrestrial
30363	Null	Terrestrial
30364	Null	Terrestrial
30365	Null	Terrestrial
30366	Null	Terrestrial
30367	Null	Terrestrial
30368	Null	Terrestrial
30369	Null	Terrestrial
30370	Null	Terrestrial
30371	Null	Terrestrial
30372	Null	Terrestrial
30373	Null	Terrestrial
30374	Null	Terrestrial
30375	Null	Terrestrial
30376	Null	Terrestrial
30377	Null	Terrestrial
30378	Null	Terrestrial
30379	Null	Terrestrial
30380	Null	Terrestrial
30381	Null	Freshwater|Brackish
30382	Null	Terrestrial
30383	Null	Terrestrial
30384	Null	Terrestrial
30385	Null	Terrestrial
30386	Null	Terrestrial
30387	Null	Freshwater|Brackish
30388	Null	Freshwater
30389	Null	Terrestrial
30390	Null	Terrestrial
30391	Null	Terrestrial
30392	Null	Terrestrial
30393	Null	Terrestrial
30394	Null	Terrestrial
30395	Null	Terrestrial
30396	Null	Terrestrial
30397	Null	Terrestrial
30398	Null	Freshwater
30399	Null	Host
30400	Null	Host
30401	Null	Host
30402	Null	Terrestrial
30403	Null	Terrestrial
30404	Null	Terrestrial|Freshwater
30405	Null	Terrestrial|Freshwater
30406	Null	Terrestrial|Freshwater
30407	Null	Freshwater
30408	Null	Terrestrial
30409	Null	Terrestrial
30410	Null	Terrestrial
30411	Null	Terrestrial
30412	Null	Terrestrial
30413	Null	Terrestrial
30414	Null	Terrestrial
30415	Null	Terrestrial
30416	Null	Terrestrial
30417	Null	Terrestrial
30418	Null	Terrestrial
30419	Null	Terrestrial
30420	Null	Terrestrial
30421	Null	Terrestrial
30422	Null	Terrestrial
30423	Null	Terrestrial
30424	Invasive	Freshwater
30425	Null	Terrestrial
30426	Null	Terrestrial
30427	Null	Terrestrial
30428	Null	Terrestrial
30429	Null	Terrestrial
30430	Null	Terrestrial
30431	Null	Terrestrial
30432	Null	Terrestrial
30433	Null	Terrestrial
30434	Null	TerrestrialIFreshwater|Marine
30435	Null	Terrestrial
30436	Null	Terrestrial
30437	Null	Terrestrial
30438	Null	Terrestrial
30439	Null	Terrestrial
30440	Null	Terrestrial
30441	Null	Terrestrial
30442	Null	Terrestrial
30443	Null	Terrestrial
30444	Null	Freshwater
30445	Null	Freshwater
30446	Null	Freshwater
30447	Null	Terrestrial
30448	Null	Terrestrial
30449	Null	Terrestrial
30450	Null	Terrestrial
30451	Null	Terrestrial
30452	Null	Terrestrial
30453	Null	Freshwater
30454	Null	Terrestrial
30455	Invasive	Terrestrial
30456	Null	Freshwater
30457	Null	Terrestrial
30458	Null	Terrestrial
30459	Null	Freshwater
30460	Null	Terrestrial
30461	Null	Terrestrial
30462	Null	Terrestrial
30463	Null	Terrestrial
30464	Null	Terrestrial
30465	Null	Freshwater
30466	Null	Terrestrial
30467	Null	Terrestrial
30468	Invasive	Terrestrial
30469	Invasive	Terrestrial
30470	Null	Freshwater
30471	Null	Terrestrial
30472	Null	Freshwater
30473	Null	Terrestrial
30474	Null	Terrestrial
30475	Null	Freshwater|Brackish|Marine
30476	Null	Terrestrial
30477	Null	Freshwater|Brackish
30478	Null	Terrestrial
30479	Null	Terrestrial
30480	Null	Terrestrial
30481	Null	Terrestrial
30482	Null	Terrestrial
30483	Invasive	Terrestrial
30484	Null	Terrestrial
30485	Null	Terrestrial
30486	Null	Terrestrial
30487	Null	Terrestrial
30488	Null	Terrestrial
30489	Null	Terrestrial
30490	Null	Terrestrial
30491	Invasive	Terrestrial
30492	Null	Terrestrial
30493	Null	Terrestrial
30494	Null	Terrestrial|Freshwater
30495	Null	Terrestrial|Freshwater
30496	Null	Terrestrial|Freshwater
30497	Null	Terrestrial
30498	Null	Terrestrial
30499	Null	Terrestrial
30500	Null	Terrestrial
30501	Null	Terrestrial
30502	Null	Terrestrial
30503	Null	Terrestrial
30504	Null	Terrestrial
30505	Null	Terrestrial
30506	Null	Terrestrial
30507	Null	Terrestrial
30508	Null	Terrestrial
30509	Null	Terrestrial|Freshwater
30510	Null	Terrestrial|Freshwater
30511	Invasive	Terrestrial
30512	Null	Freshwater|Brackish|Marine
30513	Null	Terrestrial
30514	Null	Terrestrial
30515	Null	Terrestrial
30516	Null	Terrestrial
30517	Null	Terrestrial
30518	Null	Terrestrial
30519	Null	Terrestrial
30520	Invasive	Terrestrial
30521	Null	Terrestrial
30522	Null	Terrestrial
30523	Null	Terrestrial
30524	Null	Terrestrial
30525	Null	Terrestrial
30526	Null	Terrestrial
30527	Null	Terrestrial
30528	Null	Terrestrial
30529	Null	Terrestrial
30530	Null	Terrestrial
30531	Null	Terrestrial
30532	Invasive	Terrestrial
30533	Invasive	Terrestrial
30534	Invasive	Terrestrial
30535	Null	Terrestrial
30536	Null	Terrestrial
30537	Null	Terrestrial
30538	Null	Terrestrial
30539	Null	Host
30540	Null	Terrestrial
30541	Null	Terrestrial
30542	Null	Terrestrial
