id	isInvasive	habitat
120375	Null	Terrestrial
120376	Null	Terrestrial
120377	Null	Terrestrial
120378	Null	Terrestrial
120379	Null	Terrestrial
120380	Null	Terrestrial
120381	Null	Terrestrial
120382	Null	Terrestrial
120383	Null	Terrestrial
120384	Null	Terrestrial
120385	Null	Terrestrial
120386	Null	Terrestrial
120387	Null	Terrestrial
120388	Null	Terrestrial
120389	Null	Terrestrial|Freshwater
120390	Null	Terrestrial
120391	Null	Terrestrial
120392	Null	Terrestrial
120393	Null	Terrestrial
120394	Null	Terrestrial
120395	Null	Terrestrial
120396	Null	Terrestrial
120397	Null	Terrestrial
120398	Null	Terrestrial
120399	Null	Terrestrial
120400	Null	Terrestrial
120401	Null	Terrestrial
120402	Null	Terrestrial
120403	Null	Terrestrial
120404	Null	Terrestrial
120405	Null	Terrestrial
120406	Null	Terrestrial
120407	Null	Terrestrial
120408	Null	Terrestrial
120409	Null	Terrestrial
120410	Null	Terrestrial
120411	Null	Terrestrial
120412	Null	Terrestrial
120413	Invasive	Terrestrial
120414	Null	Terrestrial
120415	Null	Terrestrial
120416	Null	Terrestrial
120417	Null	Terrestrial
