id	locationID	countryCode	occurrenceStatus	establishmentMeans
120250	Bolivia	BO	Present	Alien
120251	Bolivia	BO	Present	Alien
120252	Bolivia	BO	Present	Alien
120253	Bolivia	BO	Present	Alien
120254	Bolivia	BO	Present	Alien
120255	Bolivia	BO	Present	Alien
120256	Bolivia	BO	Present	Alien
120257	Bolivia	BO	Present	Alien
120258	Bolivia	BO	Present	Alien
120259	Bolivia	BO	Present	Alien
120260	Bolivia	BO	Present	Alien
120261	Bolivia	BO	Present	Alien
120262	Bolivia	BO	Present	Alien
120263	Bolivia	BO	Present	Alien
120264	Bolivia	BO	Present	Alien
120265	Bolivia	BO	Present	Alien
120266	Bolivia	BO	Present	Alien
120267	Bolivia	BO	Present	Alien
120268	Bolivia	BO	Present	Alien
120269	Bolivia	BO	Present	Alien
120270	Bolivia	BO	Present	Alien
120271	Bolivia	BO	Present	Alien
120272	Bolivia	BO	Present	Alien
120273	Bolivia	BO	Present	Alien
120274	Bolivia	BO	Present	Alien
120275	Bolivia	BO	Present	Alien
120276	Bolivia	BO	Present	Alien
120277	Bolivia	BO	Present	Alien
120278	Bolivia	BO	Present	Alien
120279	Bolivia	BO	Present	Alien
120280	Bolivia	BO	Present	Alien
120281	Bolivia	BO	Present	Alien
120282	Bolivia	BO	Present	Alien
120283	Bolivia	BO	Present	Alien
120284	Bolivia	BO	Present	Alien
120285	Bolivia	BO	Present	Alien
120286	Bolivia	BO	Present	Alien
120287	Bolivia	BO	Present	Alien
120288	Bolivia	BO	Present	Alien
120289	Bolivia	BO	Present	Alien
120290	Bolivia	BO	Present	Alien
120291	Bolivia	BO	Present	Alien
120292	Bolivia	BO	Present	Alien
120293	Bolivia	BO	Present	Alien
120294	Bolivia	BO	Present	Alien
120295	Bolivia	BO	Present	Alien
120296	Bolivia	BO	Present	Alien
120297	Bolivia	BO	Present	Alien
120298	Bolivia	BO	Present	Alien
120299	Bolivia	BO	Present	Alien
120300	Bolivia	BO	Present	Alien
120301	Bolivia	BO	Present	Alien
120302	Bolivia	BO	Present	Alien
