id	countryCode	occurrenceStatus	establishmentMeans
30543	BW	Present	Alien
30544	BW	Present	Alien
30545	BW	Present	Alien
30546	BW	Present	Alien
30547	BW	Present	Alien
30548	BW	Present	Alien
30549	BW	Present	Alien
30550	BW	Present	Alien
30551	BW	Present	Alien
30552	BW	Present	Alien
30553	BW	Present	Alien
30554	BW	Present	Alien
30555	BW	Present	Alien
30556	BW	Present	Alien
30557	BW	Present	Alien
30558	BW	Present	Alien
30559	BW	Present	Alien
30560	BW	Present	Alien
30561	BW	Present	Alien
30562	BW	Present	Alien
30563	BW	Present	Alien
30564	BW	Present	Alien
30565	BW	Present	Alien
30566	BW	Present	Alien
30567	BW	Present	Alien
30568	BW	Present	Alien
30569	BW	Present	Alien
30570	BW	Present	Alien
30571	BW	Present	Alien
30572	BW	Present	Alien
30573	BW	Present	Alien
30574	BW	Present	Alien
30575	BW	Present	Alien
30576	BW	Present	Alien
30577	BW	Present	Alien
30578	BW	Present	Alien
30579	BW	Present	Alien
30580	BW	Present	Alien
30581	BW	Present	Alien
30582	BW	Present	Alien
30583	BW	Present	Alien
30584	BW	Present	Alien
30585	BW	Present	Alien
30586	BW	Present	Alien
30587	BW	Present	Alien
30588	BW	Present	Alien
30589	BW	Present	Alien
30590	BW	Present	Alien
30591	BW	Present	Alien
30592	BW	Present	Alien
30593	BW	Present	Alien
30594	BW	Present	Alien
30595	BW	Present	Alien
30596	BW	Present	Alien
30597	BW	Present	Alien
30598	BW	Present	Alien
30599	BW	Present	Alien
30600	BW	Present	Alien
30601	BW	Present	Alien
30602	BW	Present	Alien
30603	BW	Present	Alien
30604	BW	Present	Alien
30605	BW	Present	Alien
30606	BW	Present	Alien
30607	BW	Present	Alien
30608	BW	Present	Alien
30609	BW	Present	Alien
30610	BW	Present	Alien
30611	BW	Present	Alien
30612	BW	Present	Alien
30613	BW	Present	Alien
30614	BW	Present	Alien
30615	BW	Present	Alien
30616	BW	Present	Alien
30617	BW	Present	Alien
30618	BW	Present	Alien
30619	BW	Present	Alien
30620	BW	Present	Alien
30621	BW	Present	Alien
30622	BW	Present	Alien
30623	BW	Present	Alien
30624	BW	Present	Alien
30625	BW	Present	Cryptogenic|Uncertain
30626	BW	Present	Alien
30627	BW	Present	Alien
30628	BW	Present	Alien
30629	BW	Present	Alien
30630	BW	Present	Alien
30631	BW	Present	Alien
30632	BW	Present	Cryptogenic|Uncertain
30633	BW	Present	Alien
30634	BW	Present	Alien
30635	BW	Present	Alien
30636	BW	Present	Alien
30637	BW	Present	Alien
30638	BW	Present	Alien
30639	BW	Present	Alien
30640	BW	Present	Alien
30641	BW	Present	Alien
30642	BW	Present	Alien
30643	BW	Present	Alien
30644	BW	Present	Alien
30645	BW	Present	Alien
30646	BW	Present	Alien
30647	BW	Present	Alien
30648	BW	Present	Alien
30649	BW	Present	Alien
30650	BW	Present	Alien
30651	BW	Present	Alien
30652	BW	Present	Alien
30653	BW	Present	Alien
30654	BW	Present	Alien
30655	BW	Present	Alien
30656	BW	Present	Alien
30657	BW	Present	Alien
30658	BW	Present	Alien
30659	BW	Present	Alien
30660	BW	Present	Alien
30661	BW	Present	Alien
30662	BW	Present	Alien
30663	BW	Present	Alien
30664	BW	Present	Alien
30665	BW	Present	Alien
30666	BW	Present	Alien
30667	BW	Present	Alien
30668	BW	Present	Alien
30669	BW	Present	Alien
30670	BW	Present	Alien
30671	BW	Present	Cryptogenic|Uncertain
30672	BW	Present	Alien
30673	BW	Present	Cryptogenic|Uncertain
30674	BW	Present	Alien
