id	countryCode	occurrenceStatus	establishmentMeans
369	BN	present	alien
370	BN	present	alien
371	BN	present	alien
372	BN	present	alien
373	BN	present	alien
374	BN	present	alien
375	BN	present	alien
376	BN	present	alien
377	BN	present	alien
378	BN	present	alien
379	BN	present	alien
380	BN	present	alien
381	BN	present	alien
382	BN	present	alien
383	BN	present	alien
384	BN	present	alien
385	BN	present	alien
386	BN	present	alien
387	BN	present	alien
388	BN	present	alien
389	BN	present	alien
390	BN	present	alien
391	BN	present	alien
392	BN	present	alien
393	BN	present	alien
394	BN	present	alien
395	BN	present	alien
396	BN	present	alien
397	BN	present	alien
398	BN	present	alien
399	BN	present	alien
400	BN	present	alien
401	BN	present	alien
402	BN	present	alien
403	BN	present	alien
404	BN	present	alien
405	BN	present	alien
406	BN	present	alien
407	BN	present	alien
408	BN	present	alien
409	BN	present	alien
410	BN	present	alien
411	BN	present	alien
412	BN	present	alien
413	BN	present	alien
414	BN	present	alien
415	BN	present	alien
416	BN	present	alien
417	BN	present	alien
418	BN	present	alien
419	BN	present	alien
420	BN	present	alien
421	BN	present	alien
422	BN	present	alien
423	BN	present	alien
424	BN	present	alien
425	BN	present	alien
426	BN	present	alien
427	BN	present	alien
428	BN	present	alien
429	BN	present	alien
430	BN	present	alien
431	BN	present	alien
432	BN	present	alien
433	BN	present	alien
434	BN	present	alien
435	BN	present	alien
436	BN	present	alien
437	BN	present	alien
438	BN	present	alien
439	BN	present	alien
440	BN	present	alien
441	BN	present	alien
442	BN	present	alien
443	BN	present	alien
444	BN	present	alien
445	BN	present	alien
446	BN	present	alien
447	BN	present	alien
448	BN	present	alien
449	BN	present	alien
450	BN	present	alien
451	BN	present	alien
452	BN	present	alien
453	BN	present	alien
454	BN	present	alien
455	BN	present	alien
456	BN	present	alien
457	BN	present	alien
458	BN	present	alien
459	BN	present	alien
460	BN	present	alien
461	BN	present	alien
462	BN	present	alien
463	BN	present	alien
464	BN	present	alien
465	BN	present	alien
466	BN	present	alien
467	BN	present	alien
468	BN	present	alien
469	BN	present	alien
470	BN	present	alien
471	BN	present	alien
472	BN	present	alien
473	BN	present	alien
474	BN	present	alien
475	BN	present	alien
476	BN	present	alien
477	BN	present	alien
478	BN	present	alien
479	BN	present	alien
480	BN	present	alien
481	BN	present	alien
482	BN	present	alien
483	BN	present	alien
484	BN	present	alien
485	BN	present	alien
486	BN	present	alien
487	BN	present	alien
488	BN	present	alien
489	BN	present	alien
490	BN	present	alien
491	BN	present	alien
492	BN	present	alien
493	BN	present	alien
494	BN	present	alien
495	BN	present	alien
496	BN	present	alien
497	BN	present	alien
498	BN	present	alien
499	BN	present	alien
500	BN	present	alien
501	BN	present	alien
