id	isInvasive	habitat
40311	Null	Terrestrial
40511	Null	Terrestrial
40315	Null	Host
40297	Null	Terrestrial
40298	Null	Terrestrial
40299	Null	Terrestrial
40342	Null	Terrestrial
40295	Null	Terrestrial
40296	Null	Terrestrial
40300	Null	Terrestrial
40438	Null	Terrestrial
40302	Null	Terrestrial
40303	Null	Terrestrial
40294	Null	Terrestrial
40307	Null	Terrestrial
40332	Null	Terrestrial
40340	Null	Terrestrial
40364	Null	Terrestrial
40450	Null	Terrestrial
40475	Null	Terrestrial
40476	Null	Terrestrial
40510	Null	Terrestrial
40324	Null	Terrestrial
40355	Null	Terrestrial
40517	Null	Terrestrial
40331	Null	Terrestrial
40468	Null	Terrestrial
40291	Null	Terrestrial
40487	Null	Terrestrial
40289	Null	Terrestrial
40292	Null	Terrestrial
40316	Null	Terrestrial
40317	Null	Terrestrial
40345	Null	Terrestrial
40379	Null	Terrestrial
40381	Null	Terrestrial
40426	Null	Terrestrial
40512	Null	Terrestrial
40312	Null	Terrestrial
40360	Null	Terrestrial
40501	Null	Terrestrial
40503	Null	Terrestrial
40318	Null	Terrestrial
40480	Null	Terrestrial
40321	Null	Terrestrial
40430	Null	Terrestrial
40301	Null	Terrestrial
40330	Null	Terrestrial
40339	Null	Terrestrial
40456	Null	Freshwater
40356	Null	Terrestrial
40507	Null	Terrestrial
40508	Null	Terrestrial
40306	Null	Terrestrial
40367	Null	Terrestrial
40411	Null	Terrestrial
40412	Null	Terrestrial
40413	Null	Terrestrial
40414	Null	Terrestrial
40415	Null	Terrestrial
40416	Null	Terrestrial
40417	Null	Terrestrial
40420	Null	Terrestrial
40444	Null	Terrestrial
40347	Null	Terrestrial
40365	Null	Terrestrial
40366	Null	Terrestrial
40434	Null	Terrestrial
40368	Null	Terrestrial
40369	Null	Terrestrial|Freshwater
40395	Null	Terrestrial|Freshwater
40513	Null	Terrestrial
40374	Null	Terrestrial
40375	Null	Terrestrial
40357	Null	Terrestrial
40358	Null	Terrestrial
40359	Null	Terrestrial
40288	Null	Terrestrial
40353	Null	Terrestrial
40363	Null	Terrestrial
40385	Null	Terrestrial
40386	Null	Terrestrial
40387	Null	Terrestrial
40388	Null	Terrestrial
40389	Null	Terrestrial
40390	Null	Terrestrial
40391	Null	Terrestrial
40392	Null	Terrestrial
40393	Null	Terrestrial
40421	Null	Terrestrial
40422	Null	Terrestrial
40423	Null	Terrestrial
40439	Null	Terrestrial
40440	Null	Terrestrial
40485	Null	Terrestrial
40287	Null	Terrestrial
40290	Null	Terrestrial
40293	Null	Terrestrial
40304	Null	Terrestrial
40313	Null	Terrestrial
40314	Null	Terrestrial
40322	Null	Terrestrial
40323	Null	Terrestrial
40325	Null	Terrestrial
40326	Null	Terrestrial
40333	Null	Terrestrial
40334	Null	Terrestrial
40335	Null	Terrestrial
40336	Null	Terrestrial
40337	Null	Terrestrial
40338	Null	Terrestrial
40343	Null	Terrestrial
40361	Null	Terrestrial
40362	Null	Terrestrial
40370	Null	Terrestrial
40372	Null	Terrestrial
40373	Null	Terrestrial
40396	Null	Terrestrial
40409	Null	Terrestrial
40410	Null	Terrestrial
40425	Null	Terrestrial
40431	Null	Terrestrial
40436	Null	Terrestrial
40445	Null	Terrestrial
40446	Null	Terrestrial
40461	Null	Terrestrial
40464	Null	Terrestrial
40467	Null	Terrestrial
40471	Null	Terrestrial
40478	Null	Terrestrial
40479	Invasive	Terrestrial
40499	Null	Terrestrial
40500	Null	Terrestrial
40505	Null	Terrestrial
40506	Null	Terrestrial
40515	Null	Terrestrial
40516	Null	Terrestrial
40397	Null	Terrestrial
40406	Null	Terrestrial
40407	Null	Terrestrial
40408	Invasive	Terrestrial
40453	Null	Terrestrial
40454	Null	Terrestrial
40495	Null	Terrestrial
40504	Null	Terrestrial
40466	Null	Terrestrial
40497	Null	Terrestrial
40427	Null	Terrestrial
40429	Null	Terrestrial
40482	Null	Terrestrial
40285	Null	Terrestrial
40286	Null	Terrestrial
40341	Null	Terrestrial
40354	Null	Terrestrial
40398	Null	Terrestrial
40399	Null	Terrestrial
40400	Null	Terrestrial
40402	Null	Terrestrial
40403	Null	Terrestrial
40404	Null	Terrestrial
40405	Null	Terrestrial
40437	Null	Terrestrial
40509	Null	Terrestrial
40441	Invasive	Terrestrial
40309	Null	Terrestrial
40442	Invasive	Terrestrial
40394	Null	Terrestrial
40448	Null	Terrestrial
40449	Null	Terrestrial
40382	Null	Terrestrial
40383	Null	Terrestrial
40384	Null	Terrestrial
40481	Null	Terrestrial
40319	Null	Terrestrial
40320	Null	Terrestrial
40447	Null	Terrestrial
40432	Null	Terrestrial
40433	Null	Terrestrial
40308	Null	Terrestrial
40458	Null	Terrestrial
40305	Null	Terrestrial
40462	Null	Terrestrial
40463	Null	Terrestrial
40491	Null	Terrestrial
40469	Null	Terrestrial
40490	Null	Terrestrial
40473	Null	Terrestrial
40474	Null	Terrestrial
40310	Null	Terrestrial
40346	Null	Terrestrial
40380	Null	Terrestrial
40401	Null	Terrestrial
40418	Null	Terrestrial
40455	Null	Terrestrial
40457	Null	Terrestrial
40459	Null	Terrestrial
40460	Null	Terrestrial
40465	Null	Terrestrial
40486	Null	Terrestrial
40489	Null	Terrestrial
40498	Null	Terrestrial
40514	Null	Terrestrial
40518	Null	Terrestrial
40519	Null	Terrestrial
40520	Null	Terrestrial
40378	Null	Freshwater
40477	Null	Terrestrial
40472	Null	Terrestrial
40419	Null	Terrestrial
40484	Null	Terrestrial
40496	Null	Terrestrial
40348	Null	Terrestrial
40349	Null	Terrestrial
40350	Null	Terrestrial
40351	Null	Terrestrial
40352	Null	Terrestrial
40376	Null	Terrestrial
40443	Null	Terrestrial
40488	Null	Terrestrial
40327	Null	Terrestrial
40328	Null	Terrestrial
40329	Null	Terrestrial
40371	Null	Terrestrial
40435	Null	Terrestrial
40451	Null	Terrestrial
40452	Null	Terrestrial
40470	Null	Terrestrial
40492	Null	Terrestrial
40493	Null	Terrestrial
40494	Null	Terrestrial
40483	Null	Terrestrial
40502	Null	Terrestrial
40344	Null	Terrestrial
40377	Null	Terrestrial
40428	Invasive	Terrestrial
40424	Null	Terrestrial
