id	countryCode	occurrenceStatus	establishmentMeans
20012	BI	Present	Alien
20013	BI	Present	Alien
20014	BI	Present	Alien
20015	BI	Present	Alien
20016	BI	Present	Alien
20017	BI	Present	Alien
20018	BI	Present	Alien
20019	BI	Present	Alien
20020	BI	Present	Alien
20021	BI	Present	Alien
20022	BI	Present	Alien
20023	BI	Present	Alien
20024	BI	Present	Alien
20025	BI	Present	Alien
20026	BI	Present	Alien
20027	BI	Present	Alien
20028	BI	Present	Alien
20029	BI	Present	Alien
20030	BI	Present	Alien
20031	BI	Present	Alien
20032	BI	Present	Alien
20033	BI	Present	Alien
20034	BI	Present	Alien
20035	BI	Present	Alien
20036	BI	Present	Alien
20037	BI	Present	Alien
20038	BI	Present	Alien
20039	BI	Present	Alien
20040	BI	Present	Alien
20041	BI	Present	Alien
20042	BI	Present	Alien
20043	BI	Present	Alien
20044	BI	Present	Alien
20045	BI	Present	Alien
20046	BI	Present	Alien
20047	BI	Present	Alien
20048	BI	Present	Alien
20049	BI	Present	Alien
20050	BI	Present	Alien
20051	BI	Present	Alien
20052	BI	Present	Alien
20053	BI	Present	Alien
20054	BI	Present	Alien
20055	BI	Present	Alien
20056	BI	Present	Alien
20057	BI	Present	Alien
20058	BI	Present	Alien
20059	BI	Present	Alien
20060	BI	Present	Alien
20061	BI	Present	Alien
20062	BI	Present	Alien
20063	BI	Present	Alien
20064	BI	Present	Alien
20065	BI	Present	Alien
20066	BI	Present	Alien
20067	BI	Present	Alien
20068	BI	Present	Alien
20069	BI	Present	Alien
20070	BI	Present	Alien
20071	BI	Present	Alien
20072	BI	Present	Alien
20073	BI	Present	Alien
20074	BI	Present	Alien
20075	BI	Present	Alien
20076	BI	Present	Cryptogenic|Uncertain
20077	BI	Present	Alien
20078	BI	Present	Alien
20079	BI	Present	Alien
20080	BI	Present	Alien
20081	BI	Present	Alien
20082	BI	Present	Alien
20083	BI	Present	Alien
20084	BI	Present	Alien
20085	BI	Present	Alien
20086	BI	Present	Alien
20087	BI	Present	Alien
20088	BI	Present	Alien
20089	BI	Present	Alien
20090	BI	Present	Alien
20091	BI	Present	Alien
20092	BI	Present	Alien
20093	BI	Present	Alien
20094	BI	Present	Alien
20095	BI	Present	Alien
20096	BI	Present	Alien
20097	BI	Present	Alien
20098	BI	Present	Alien
20099	BI	Present	Alien
20100	BI	Present	Alien
20101	BI	Present	Alien
20102	BI	Present	Alien
20103	BI	Present	Alien
20104	BI	Present	Alien
20105	BI	Present	Alien
20106	BI	Present	Alien
20107	BI	Present	Alien
20108	BI	Present	Alien
20109	BI	Present	Alien
20110	BI	Present	Alien
20111	BI	Present	Alien
20112	BI	Present	Alien
20113	BI	Present	Alien
20114	BI	Present	Alien
20115	BI	Present	Alien
20116	BI	Present	Alien
20117	BI	Present	Alien
20118	BI	Present	Alien
20119	BI	Present	Alien
20120	BI	Present	Alien
20121	BI	Present	Alien
20122	BI	Present	Alien
20123	BI	Present	Alien
20124	BI	Present	Alien
20125	BI	Present	Alien
20126	BI	Present	Alien
20127	BI	Present	Alien
20128	BI	Present	Alien
20129	BI	Present	Alien
20130	BI	Present	Alien
20131	BI	Present	Alien
20132	BI	Present	Alien
20133	BI	Present	Alien
20134	BI	Present	Alien
20135	BI	Present	Alien
20136	BI	Present	Alien
20137	BI	Present	Alien
20138	BI	Present	Alien
20139	BI	Present	Alien
20140	BI	Present	Alien
20141	BI	Present	Alien
20142	BI	Present	Alien
20143	BI	Present	Alien
20144	BI	Present	Alien
20145	BI	Present	Alien
20146	BI	Present	Alien
20147	BI	Present	Alien
20148	BI	Present	Alien
20149	BI	Present	Alien
20150	BI	Present	Alien
20151	BI	Present	Alien
20152	BI	Present	Alien
20153	BI	Present	Alien
20154	BI	Present	Alien
20155	BI	Present	Alien
20156	BI	Present	Alien
20157	BI	Present	Alien
20158	BI	Present	Alien
20159	BI	Present	Alien
20160	BI	Present	Alien
20161	BI	Present	Alien
20162	BI	Present	Alien
20163	BI	Present	Alien
20164	BI	Present	Alien
20165	BI	Present	Alien
20166	BI	Present	Alien
20167	BI	Present	Alien
20168	BI	Present	Alien
20169	BI	Present	Alien
20170	BI	Present	Alien
20171	BI	Present	Alien
20172	BI	Present	Alien
20173	BI	Present	Alien
20174	BI	Present	Alien
20175	BI	Present	Alien
20176	BI	Present	Alien
20177	BI	Present	Alien
20178	BI	Present	Alien
20179	BI	Present	Alien
20180	BI	Present	Alien
20181	BI	Present	Alien
20182	BI	Present	Alien
20183	BI	Present	Alien
20184	BI	Present	Alien
20185	BI	Present	Alien
20186	BI	Present	Alien
20187	BI	Present	Alien
20188	BI	Present	Alien
20189	BI	Present	Alien
20190	BI	Present	Alien
20191	BI	Present	Alien
20192	BI	Present	Alien
20193	BI	Present	Alien
20194	BI	Present	Alien
20195	BI	Present	Alien
20196	BI	Present	Alien
20197	BI	Present	Alien
20198	BI	Present	Alien
20199	BI	Present	Alien
20200	BI	Present	Alien
20201	BI	Present	Alien
20202	BI	Present	Alien
20203	BI	Present	Alien
20204	BI	Present	Alien
20205	BI	Present	Alien
20206	BI	Present	Alien
20207	BI	Present	Alien
20208	BI	Present	Alien
20209	BI	Present	Alien
20210	BI	Present	Alien
20211	BI	Present	Alien
20212	BI	Present	Alien
20213	BI	Present	Alien
20214	BI	Present	Alien
20215	BI	Present	Alien
20216	BI	Present	Alien
20217	BI	Present	Alien
20218	BI	Present	Alien
20219	BI	Present	Alien
20220	BI	Present	Alien
20221	BI	Present	Alien
20222	BI	Present	Alien
20223	BI	Present	Alien
20224	BI	Present	Alien
20225	BI	Present	Alien
20226	BI	Present	Alien
20227	BI	Present	Alien
20228	BI	Present	Alien
20229	BI	Present	Alien
20230	BI	Present	Alien
20231	BI	Present	Alien
20232	BI	Present	Alien
20233	BI	Present	Alien
20234	BI	Present	Alien
20235	BI	Present	Alien
20236	BI	Present	Alien
20237	BI	Present	Alien
20238	BI	Present	Alien
20239	BI	Present	Alien
20240	BI	Present	Alien
20241	BI	Present	Alien
20242	BI	Present	Alien
20243	BI	Present	Alien
20244	BI	Present	Alien
20245	BI	Present	Alien
20246	BI	Present	Alien
20247	BI	Present	Alien
20248	BI	Present	Alien
20249	BI	Present	Alien
20250	BI	Present	Alien
20251	BI	Present	Alien
20252	BI	Present	Alien
20253	BI	Present	Alien
20254	BI	Present	Alien
20255	BI	Present	Alien
20256	BI	Present	Alien
20257	BI	Present	Alien
20258	BI	Present	Alien
20259	BI	Present	Alien
20260	BI	Present	Alien
20261	BI	Present	Alien
20262	BI	Present	Alien
20263	BI	Present	Alien
20264	BI	Present	Alien
20265	BI	Present	Alien
20266	BI	Present	Alien
20267	BI	Present	Alien
20268	BI	Present	Alien
20269	BI	Present	Alien
20270	BI	Present	Alien
20271	BI	Present	Alien
20272	BI	Present	Alien
20273	BI	Present	Alien
20274	BI	Present	Alien
20275	BI	Present	Alien
20276	BI	Present	Alien
20277	BI	Present	Alien
