id	isInvasive	habitat
64500	null	Terrestrial
64501	null	Terrestrial
64502	null	Terrestrial
64503	null	Terrestrial
64504	yes	Terrestrial
64505	null	Terrestrial
64506	null	Terrestrial
64507	null	Terrestrial
64508	null	Terrestrial
64509	null	Terrestrial
64510	null	Terrestrial
64511	yes	Terrestrial
64512	null	Terrestrial|Freshwater
64513	yes	Terrestrial
64514	null	Terrestrial
64515	yes	Terrestrial
64516	null	Terrestrial
64517	null	Marine
64518	yes	Terrestrial
64519	null	Terrestrial
64520	yes	Terrestrial
64521	null	Terrestrial
64522	null	Terrestrial
64523	null	Terrestrial
64524	yes	Terrestrial
64525	yes	Terrestrial
64526	yes	Terrestrial
64527	null	Terrestrial
64528	yes	Terrestrial
64529	yes	Terrestrial
64530	yes	Terrestrial
64531	yes	Terrestrial
64532	yes	Terrestrial
64533	null	Terrestrial
64534	null	Terrestrial
64535	yes	Terrestrial
64536	null	Terrestrial
64537	null	Freshwater
64538	null	Marine
64539	yes	Host
64540	null	Terrestrial
64541	null	Terrestrial
64542	null	Terrestrial
64543	yes	Terrestrial
64544	yes	Terrestrial
64545	yes	Terrestrial
64546	yes	Terrestrial
64547	yes	Terrestrial
64548	yes	Terrestrial
64549	null	Terrestrial
64550	null	Terrestrial
64551	null	Terrestrial
64552	yes	Terrestrial
64553	yes	Terrestrial
64554	null	Terrestrial
64555	null	Freshwater
64556	null	Terrestrial
64557	null	Terrestrial
64558	null	Terrestrial
64559	null	Terrestrial
64560	yes	Terrestrial
64561	yes	Terrestrial
64562	yes	Terrestrial
64563	null	Terrestrial
64564	null	Terrestrial|Freshwater
64565	null	Freshwater|Brackish
64566	null	Freshwater|Brackish
64567	yes	Terrestrial
64568	null	Terrestrial
64569	null	Terrestrial
64570	null	Terrestrial
64571	null	Terrestrial
64572	null	Terrestrial|Freshwater
64573	null	Terrestrial
64574	null	Terrestrial
64575	null	Terrestrial
64576	null	Freshwater|Brackish
64577	null	Terrestrial
64578	null	Terrestrial
64579	yes	Terrestrial
64580	null	Terrestrial
64581	null	Terrestrial
64582	yes	Terrestrial
64583	null	Terrestrial
64584	null	Terrestrial|Freshwater
64585	yes	Terrestrial
64586	null	Terrestrial
64587	null	Terrestrial
64588	null	Terrestrial
64589	null	Terrestrial
64590	null	Terrestrial
64591	null	Terrestrial
64592	null	Terrestrial
64593	null	Terrestrial
64594	yes	Terrestrial
64595	null	Terrestrial
64596	yes	Terrestrial
64597	null	Marine
64598	null	Marine
64599	yes	Terrestrial
64600	null	Terrestrial
