id	locationID	countryCode	occurrenceStatus	establishmentMeans
103500	China	CN	Present	Alien
103501	China	CN	Present	Alien
103502	China	CN	Present	Alien
103503	China	CN	Present	Alien
103504	China	CN	Present	Alien
103505	China	CN	Present	Alien
103506	China	CN	Present	Alien
103507	China	CN	Present	Alien
103508	China	CN	Present	Alien
103509	China	CN	Present	Alien
103510	China	CN	Present	Alien
103511	China	CN	Present	Alien
103512	China	CN	Present	Alien
103513	China	CN	Present	Alien
103514	China	CN	Present	Alien
103515	China	CN	Present	Alien
103516	China	CN	Present	Alien
103517	China	CN	Present	Alien
103518	China	CN	Present	Alien
103519	China	CN	Present	Alien
103520	China	CN	Present	Alien
103521	China	CN	Present	Alien
103522	China	CN	Present	Alien
103523	China	CN	Present	Alien
103524	China	CN	Present	Alien
103525	China	CN	Present	Alien
103526	China	CN	Present	Alien
103527	China	CN	Present	Alien
103528	China	CN	Present	Alien
103529	China	CN	Present	Alien
103530	China	CN	Present	Alien
103531	China	CN	Present	Alien
103532	China	CN	Present	Alien
103533	China	CN	Present	Alien
103534	China	CN	Present	Alien
103535	China	CN	Present	Alien
103536	China	CN	Present	Alien
103537	China	CN	Present	Alien
103538	China	CN	Present	Alien
103539	China	CN	Present	Alien
103540	China	CN	Present	Alien
103541	China	CN	Present	Alien
103542	China	CN	Present	Alien
103543	China	CN	Present	Alien
103544	China	CN	Present	Alien
103545	China	CN	Present	Alien
103546	China	CN	Present	Alien
103547	China	CN	Present	Alien
103548	China	CN	Present	Alien
103549	China	CN	Present	Alien
103550	China	CN	Present	Alien
103551	China	CN	Present	Alien
103552	China	CN	Present	Alien
103553	China	CN	Present	Alien
103554	China	CN	Present	Alien
103555	China	CN	Present	Alien
103556	China	CN	Present	Alien
103557	China	CN	Present	Alien
103558	China	CN	Present	Alien
103559	China	CN	Present	Alien
103560	China	CN	Present	Alien
103561	China	CN	Present	Alien
103562	China	CN	Present	Alien
103563	China	CN	Present	Alien
103564	China	CN	Present	Alien
103565	China	CN	Present	Alien
103566	China	CN	Present	Alien
103567	China	CN	Present	Alien
103568	China	CN	Present	Alien
103569	China	CN	Present	Alien
103570	China	CN	Present	Alien
103571	China	CN	Present	Alien
103572	China	CN	Present	Alien
103573	China	CN	Present	Alien
103574	China	CN	Present	Alien
103575	China	CN	Present	Alien
103576	China	CN	Present	Alien
103577	China	CN	Present	Alien
103578	China	CN	Present	Alien
103579	China	CN	Present	Alien
103580	China	CN	Present	Alien
103581	China	CN	Present	Alien
103582	China	CN	Present	Alien
103583	China	CN	Present	Alien
103584	China	CN	Present	Alien
103585	China	CN	Present	Alien
103586	China	CN	Present	Alien
103587	China	CN	Present	Alien
103588	China	CN	Present	Alien
103589	China	CN	Present	Alien
103590	China	CN	Present	Alien
103591	China	CN	Present	Alien
103592	China	CN	Present	Alien
103593	China	CN	Present	Alien
103594	China	CN	Present	Alien
103595	China	CN	Present	Alien
103596	China	CN	Present	Alien
103597	China	CN	Present	Alien
103598	China	CN	Present	Alien
103599	China	CN	Present	Alien
103600	China	CN	Present	Alien
103601	China	CN	Present	Alien
103602	China	CN	Present	Alien
103603	China	CN	Present	Alien
103604	China	CN	Present	Alien
103605	China	CN	Present	Alien
103606	China	CN	Present	Alien
103607	China	CN	Present	Alien
103608	China	CN	Present	Alien
103609	China	CN	Present	Alien
103610	China	CN	Present	Alien
103611	China	CN	Present	Alien
103612	China	CN	Present	Alien
103613	China	CN	Present	Alien
103614	China	CN	Present	Alien
103615	China	CN	Present	Alien
103616	China	CN	Present	Alien
103617	China	CN	Present	Alien
103618	China	CN	Present	Alien
103619	China	CN	Present	Alien
103620	China	CN	Present	Alien
103621	China	CN	Present	Alien
103622	China	CN	Present	Alien
103623	China	CN	Present	Alien
103624	China	CN	Present	Alien
103625	China	CN	Present	Alien
103626	China	CN	Present	Alien
103627	China	CN	Present	Alien
103628	China	CN	Present	Alien
103629	China	CN	Present	Alien
103630	China	CN	Present	Alien
103631	China	CN	Present	Alien
103632	China	CN	Present	Alien
103633	China	CN	Present	Alien
103634	China	CN	Present	Alien
103635	China	CN	Present	Alien
103636	China	CN	Present	Alien
103637	China	CN	Present	Alien
103638	China	CN	Present	Alien
103639	China	CN	Present	Alien
103640	China	CN	Present	Alien
103641	China	CN	Present	Alien
103642	China	CN	Present	Alien
103643	China	CN	Present	Alien
103644	China	CN	Present	Alien
103645	China	CN	Present	Alien
103646	China	CN	Present	Alien
103647	China	CN	Present	Alien
