id	isInvasive	habitat
103500	Null	Freshwater|Brackish
103501	Invasive	Terrestrial
103502	Invasive	Terrestrial
103503	Null	Terrestrial
103504	Null	Marine
103505	Null	Terrestrial
103506	Null	Terrestrial
103507	Null	Terrestrial
103508	Invasive	Terrestrial
103509	Null	Marine
103510	Null	Brackish|Marine
103511	Null	Terrestrial
103512	Invasive	Terrestrial
103513	Null	Terrestrial
103514	Null	Freshwater|Brackish|Marine
103515	Null	Freshwater|Brackish|Marine
103516	Null	Freshwater|Marine
103517	Null	Freshwater|Brackish|Marine
103518	Null	Freshwater|Brackish|Marine
103519	Invasive	Terrestrial
103520	Null	Host
103521	Null	Terrestrial|Freshwater
103522	Null	Terrestrial|Freshwater
103523	Invasive	Terrestrial
103524	Invasive	Terrestrial
103525	Invasive	Terrestrial
103526	Invasive	Terrestrial
103527	Null	Terrestrial
103528	Invasive	Terrestrial
103529	Invasive	Terrestrial
103530	Invasive	Terrestrial
103531	Null	Terrestrial
103532	Invasive	Terrestrial
103533	Invasive	Terrestrial
103534	Null	Marine
103535	Null	Marine
103536	Null	Marine
103537	Invasive	Terrestrial
103538	Null	Terrestrial|Freshwater
103539	Null	Freshwater|Brackish|Marine
103540	Null	Terrestrial
103541	Invasive	Terrestrial
103542	Invasive	Terrestrial
103543	Invasive	Terrestrial
103544	Invasive	Terrestrial
103545	Null	Terrestrial
103546	Invasive	Terrestrial
103547	Null	Terrestrial
103548	Invasive	Terrestrial
103549	Invasive	Terrestrial
103550	Null	Terrestrial
103551	Null	Terrestrial
103552	Invasive	Terrestrial
103553	Null	Terrestrial
103554	Invasive	Terrestrial
103555	Invasive	Terrestrial
103556	Null	Terrestrial
103557	Invasive	Terrestrial
103558	Null	Terrestrial
103559	Invasive	Terrestrial
103560	Null	Terrestrial
103561	null	Terrestrial
103562	Null	Terrestrial
103563	Invasive	Terrestrial
103564	Invasive	Terrestrial
103565	Null	Marine
103566	Invasive	Terrestrial
103567	Invasive	Terrestrial
103568	Invasive	Terrestrial
103569	Invasive	Terrestrial
103570	Null	Freshwater|Brackish
103571	Invasive	Terrestrial
103572	Null	Marine
103573	Null	Marine
103574	Null	Marine
103575	Null	Marine
103576	Null	Marine
103577	Null	Marine
103578	Invasive	Marine
103579	Null	Terrestrial
103580	Null	Freshwater|Brackish|Marine
103581	Null	Freshwater|Brackish|Marine
103582	Null	Freshwater|Brackish|Marine
103583	Null	Freshwater|Brackish|Marine
103584	Null	Host
103585	Invasive	Host
103586	Invasive	Terrestrial
103587	Null	Terrestrial
103588	Null	Terrestrial
103589	Invasive	Terrestrial
103590	Null	Terrestrial
103591	Null	Terrestrial
103592	Null	Terrestrial|Freshwater
103593	Invasive	Terrestrial
103594	Null	Host
103595	Null	Host
103596	Null	Marine
103597	Null	Marine
103598	Invasive	Terrestrial
103599	Invasive	Terrestrial
103600	Null	Marine
103601	Null	Freshwater
