id	countryCode	occurrenceStatus	establishmentMeans
749	CU	present	alien
750	CU	present	alien
751	CU	present	alien
752	CU	present	alien
753	CU	present	alien
754	CU	present	alien
755	CU	present	alien
756	CU	present	alien
757	CU	present	alien
758	CU	present	alien
759	CU	present	alien
760	CU	present	alien
761	CU	present	alien
762	CU	present	alien
763	CU	present	alien
764	CU	present	alien
765	CU	present	alien
766	CU	present	alien
767	CU	present	alien
768	CU	present	alien
769	CU	present	alien
770	CU	present	alien
771	CU	present	alien
772	CU	present	alien
773	CU	present	alien
774	CU	present	alien
775	CU	present	alien
776	CU	present	alien
777	CU	present	alien
778	CU	present	alien
779	CU	present	alien
780	CU	present	alien
781	CU	present	alien
782	CU	present	alien
783	CU	present	alien
784	CU	present	alien
785	CU	present	alien
786	CU	present	alien
787	CU	present	alien
788	CU	present	alien
789	CU	present	alien
790	CU	present	alien
791	CU	present	alien
792	CU	present	alien
793	CU	present	alien
794	CU	present	alien
795	CU	present	alien
796	CU	present	alien
797	CU	present	alien
798	CU	present	alien
799	CU	present	alien
800	CU	present	alien
801	CU	present	alien
802	CU	present	alien
803	CU	present	alien
804	CU	present	alien
805	CU	present	alien
806	CU	present	alien
807	CU	present	alien
808	CU	present	alien
809	CU	present	alien
810	CU	present	alien
811	CU	present	alien
812	CU	present	alien
813	CU	present	alien
814	CU	present	alien
815	CU	present	alien
816	CU	present	alien
817	CU	present	alien
818	CU	present	alien
819	CU	present	alien
820	CU	present	alien
821	CU	present	alien
822	CU	present	alien
823	CU	present	alien
824	CU	present	alien
825	CU	present	alien
826	CU	present	alien
827	CU	present	alien
828	CU	present	alien
829	CU	present	alien
830	CU	present	alien
831	CU	present	alien
832	CU	present	alien
833	CU	present	alien
834	CU	present	alien
835	CU	present	alien
836	CU	present	alien
837	CU	present	alien
838	CU	present	alien
839	CU	present	alien
840	CU	present	alien
841	CU	present	alien
842	CU	present	alien
843	CU	present	alien
844	CU	present	alien
845	CU	present	alien
846	CU	present	alien
847	CU	present	alien
848	CU	present	alien
849	CU	present	alien
850	CU	present	alien
851	CU	present	alien
852	CU	present	alien
853	CU	present	alien
854	CU	present	alien
855	CU	present	alien
856	CU	present	alien
857	CU	present	alien
858	CU	present	alien
859	CU	present	alien
860	CU	present	alien
861	CU	present	alien
862	CU	present	alien
863	CU	present	alien
864	CU	present	alien
865	CU	present	alien
866	CU	present	alien
867	CU	present	alien
868	CU	present	alien
869	CU	present	alien
870	CU	present	alien
871	CU	present	alien
872	CU	present	alien
873	CU	present	alien
874	CU	present	alien
875	CU	present	alien
876	CU	present	alien
877	CU	present	alien
878	CU	present	alien
879	CU	present	alien
880	CU	present	alien
881	CU	present	alien
882	CU	present	alien
883	CU	present	alien
884	CU	present	alien
885	CU	present	alien
886	CU	present	alien
887	CU	present	alien
888	CU	present	alien
889	CU	present	alien
890	CU	present	alien
891	CU	present	alien
892	CU	present	alien
893	CU	present	alien
894	CU	present	alien
895	CU	present	alien
896	CU	present	alien
897	CU	present	alien
898	CU	present	alien
899	CU	present	alien
900	CU	present	alien
901	CU	present	alien
902	CU	present	alien
903	CU	present	alien
904	CU	present	alien
905	CU	present	alien
906	CU	present	alien
907	CU	present	alien
908	CU	present	alien
909	CU	present	alien
910	CU	present	alien
911	CU	present	alien
912	CU	present	alien
913	CU	present	alien
914	CU	present	alien
915	CU	present	alien
916	CU	present	alien
917	CU	present	alien
918	CU	present	alien
919	CU	present	alien
920	CU	present	alien
921	CU	present	alien
922	CU	present	alien
923	CU	present	alien
924	CU	present	alien
925	CU	present	alien
926	CU	present	alien
927	CU	present	alien
928	CU	present	alien
929	CU	present	alien
930	CU	present	alien
931	CU	present	alien
932	CU	present	alien
933	CU	present	alien
934	CU	present	alien
935	CU	present	alien
936	CU	present	alien
937	CU	present	alien
938	CU	present	alien
939	CU	present	alien
940	CU	present	alien
941	CU	present	alien
942	CU	present	alien
943	CU	present	alien
944	CU	present	alien
945	CU	present	alien
946	CU	present	alien
947	CU	present	alien
948	CU	present	alien
949	CU	present	alien
950	CU	present	alien
951	CU	present	alien
952	CU	present	alien
953	CU	present	alien
954	CU	present	alien
955	CU	present	alien
956	CU	present	alien
957	CU	present	alien
958	CU	present	alien
959	CU	present	alien
960	CU	present	alien
961	CU	present	alien
962	CU	present	alien
963	CU	present	alien
964	CU	present	alien
965	CU	present	alien
966	CU	present	alien
967	CU	present	alien
968	CU	present	alien
969	CU	present	alien
970	CU	present	alien
971	CU	present	alien
972	CU	present	alien
973	CU	present	alien
974	CU	present	alien
975	CU	present	alien
976	CU	present	alien
977	CU	present	alien
978	CU	present	alien
979	CU	present	alien
980	CU	present	alien
981	CU	present	alien
982	CU	present	alien
983	CU	present	alien
984	CU	present	alien
985	CU	present	alien
986	CU	present	alien
987	CU	present	alien
988	CU	present	alien
989	CU	present	alien
990	CU	present	alien
991	CU	present	alien
992	CU	present	alien
993	CU	present	alien
994	CU	present	alien
995	CU	present	alien
996	CU	present	alien
997	CU	present	alien
998	CU	present	alien
999	CU	present	alien
1000	CU	present	alien
1001	CU	present	alien
1002	CU	present	alien
1003	CU	present	alien
1004	CU	present	alien
1005	CU	present	alien
1006	CU	present	alien
1007	CU	present	alien
1008	CU	present	alien
1009	CU	present	alien
1010	CU	present	alien
1011	CU	present	alien
1012	CU	present	alien
1013	CU	present	alien
1014	CU	present	alien
1015	CU	present	alien
1016	CU	present	alien
1017	CU	present	alien
1018	CU	present	alien
1019	CU	present	alien
1020	CU	present	alien
1021	CU	present	alien
1022	CU	present	alien
1023	CU	present	alien
1024	CU	present	alien
1025	CU	present	alien
1026	CU	present	alien
1027	CU	present	alien
1028	CU	present	alien
1029	CU	present	alien
1030	CU	present	alien
1031	CU	present	alien
1032	CU	present	alien
1033	CU	present	alien
1034	CU	present	alien
1035	CU	present	alien
1036	CU	present	alien
1037	CU	present	alien
1038	CU	present	alien
1039	CU	present	alien
1040	CU	present	alien
1041	CU	present	alien
1042	CU	present	alien
1043	CU	present	alien
1044	CU	present	alien
1045	CU	present	alien
1046	CU	present	alien
1047	CU	present	alien
1048	CU	present	alien
1049	CU	present	alien
1050	CU	present	alien
1051	CU	present	alien
1052	CU	present	alien
1053	CU	present	alien
1054	CU	present	alien
1055	CU	present	alien
1056	CU	present	alien
1057	CU	present	alien
1058	CU	present	alien
1059	CU	present	alien
1060	CU	present	alien
1061	CU	present	alien
1062	CU	present	cryptogenic|uncertain
1063	CU	present	alien
1064	CU	present	alien
1065	CU	present	alien
1066	CU	present	alien
1067	CU	present	alien
1068	CU	present	alien
1069	CU	present	alien
1070	CU	present	alien
1071	CU	present	alien
1072	CU	present	alien
1073	CU	present	alien
1074	CU	present	alien
1075	CU	present	alien
1076	CU	present	alien
1077	CU	present	alien
1078	CU	present	alien
1079	CU	present	alien
1080	CU	present	alien
1081	CU	present	alien
1082	CU	present	alien
1083	CU	present	alien
1084	CU	present	alien
1085	CU	present	alien
1086	CU	present	alien
1087	CU	present	alien
1088	CU	present	alien
1089	CU	present	alien
1090	CU	present	alien
1091	CU	present	alien
1092	CU	present	alien
1093	CU	present	alien
1094	CU	present	alien
1095	CU	present	alien
1096	CU	present	alien
1097	CU	present	alien
1098	CU	present	alien
1099	CU	present	alien
1100	CU	present	alien
1101	CU	present	alien
1102	CU	present	alien
1103	CU	present	alien
1104	CU	present	alien
1105	CU	present	alien
1106	CU	present	alien
1107	CU	present	alien
1108	CU	present	alien
1109	CU	present	alien
1110	CU	present	alien
1111	CU	present	alien
1112	CU	present	alien
1113	CU	present	alien
1114	CU	present	alien
1115	CU	present	alien
1116	CU	present	alien
1117	CU	present	alien
1118	CU	present	alien
1119	CU	present	alien
1120	CU	present	alien
1121	CU	present	alien
1122	CU	present	alien
1123	CU	present	alien
1124	CU	present	alien
1125	CU	present	alien
1126	CU	present	alien
1127	CU	present	alien
1128	CU	present	alien
1129	CU	present	alien
1130	CU	present	alien
1131	CU	present	alien
1132	CU	present	alien
1133	CU	present	alien
1134	CU	present	alien
1135	CU	present	alien
1136	CU	present	alien
1137	CU	present	alien
1138	CU	present	alien
1139	CU	present	alien
1140	CU	present	alien
1141	CU	present	alien
1142	CU	present	alien
1143	CU	present	alien
1144	CU	present	alien
1145	CU	present	alien
1146	CU	present	alien
1147	CU	present	alien
1148	CU	present	alien
1149	CU	present	alien
1150	CU	present	alien
1151	CU	present	alien
1152	CU	present	alien
1153	CU	present	alien
1154	CU	present	alien
1155	CU	present	alien
1156	CU	present	alien
1157	CU	present	alien
1158	CU	present	alien
1159	CU	present	alien
1160	CU	present	alien
1161	CU	present	alien
1162	CU	present	alien
1163	CU	present	alien
1164	CU	present	alien
1165	CU	present	alien
1166	CU	present	alien
1167	CU	present	alien
1168	CU	present	alien
1169	CU	present	alien
1170	CU	present	alien
1171	CU	present	alien
1172	CU	present	alien
1173	CU	present	alien
1174	CU	present	alien
1175	CU	present	alien
1176	CU	present	alien
1177	CU	present	alien
1178	CU	present	alien
1179	CU	present	alien
1180	CU	present	alien
1181	CU	present	alien
1182	CU	present	alien
1183	CU	present	alien
1184	CU	present	alien
1185	CU	present	alien
1186	CU	present	alien
1187	CU	present	alien
1188	CU	present	alien
1189	CU	present	alien
1190	CU	present	alien
1191	CU	present	alien
1192	CU	present	alien
1193	CU	present	alien
1194	CU	present	cryptogenic|uncertain
1195	CU	present	alien
1196	CU	present	alien
1197	CU	present	alien
1198	CU	present	alien
1199	CU	present	alien
1200	CU	present	alien
1201	CU	present	alien
1202	CU	present	alien
1203	CU	present	alien
1204	CU	present	alien
1205	CU	present	alien
1206	CU	present	alien
1207	CU	present	alien
1208	CU	present	alien
1209	CU	present	alien
1210	CU	present	alien
1211	CU	present	alien
1212	CU	present	alien
1213	CU	present	alien
1214	CU	present	alien
1215	CU	present	alien
1216	CU	present	alien
1217	CU	present	alien
1218	CU	present	alien
1219	CU	present	alien
1220	CU	present	alien
1221	CU	present	alien
1222	CU	present	alien
1223	CU	present	alien
1224	CU	present	alien
1225	CU	present	alien
1226	CU	present	alien
