id	isInvasive	habitat
749	invasive	terrestrial
750	invasive	terrestrial
751	invasive	terrestrial
752	null	terrestrial
753	invasive	terrestrial
754	invasive	terrestrial
755	null	terrestrial
756	invasive	terrestrial
757	null	terrestrial
758	null	terrestrial
759	invasive	terrestrial
760	invasive	terrestrial
761	null	terrestrial
762	null	terrestrial|freshwater
763	invasive	terrestrial|freshwater
764	invasive	terrestrial
765	null	terrestrial
766	invasive	terrestrial
767	null	terrestrial
768	invasive	terrestrial
769	invasive	terrestrial
770	invasive	terrestrial
771	invasive	terrestrial
772	invasive	terrestrial
773	invasive	terrestrial
774	null	terrestrial
775	null	terrestrial
776	null	terrestrial
777	invasive	terrestrial
778	invasive	terrestrial
779	invasive	terrestrial
780	null	terrestrial
781	invasive	terrestrial
782	invasive	terrestrial
783	invasive	terrestrial
784	null	terrestrial
785	invasive	terrestrial
786	null	terrestrial
787	invasive	terrestrial
788	invasive	terrestrial
789	invasive	terrestrial
790	null	terrestrial
791	null	terrestrial
792	null	terrestrial
793	invasive	terrestrial
794	invasive	terrestrial
795	null	terrestrial
796	null	freshwater
797	invasive	terrestrial
798	invasive	terrestrial
799	invasive	terrestrial
800	invasive	terrestrial
801	invasive	terrestrial
802	invasive	terrestrial
803	null	terrestrial
804	invasive	terrestrial
805	null	marine
806	invasive	terrestrial
807	null	terrestrial
808	null	terrestrial
809	invasive	terrestrial
810	invasive	terrestrial
811	null	terrestrial
812	null	terrestrial
813	invasive	terrestrial
814	invasive	terrestrial
815	invasive	terrestrial
816	invasive	terrestrial
817	null	terrestrial
818	null	terrestrial
819	null	host
820	invasive	terrestrial
821	invasive	terrestrial
822	invasive	terrestrial
823	invasive	terrestrial
824	null	terrestrial
825	null	terrestrial
826	null	terrestrial
827	null	terrestrial
828	null	terrestrial
829	invasive	terrestrial
830	invasive	terrestrial
831	invasive	terrestrial
832	invasive	terrestrial
833	invasive	terrestrial
834	null	terrestrial
835	null	terrestrial
836	invasive	terrestrial
837	invasive	terrestrial
838	invasive	terrestrial
839	invasive	terrestrial
840	null	terrestrial
841	null	terrestrial
842	invasive	terrestrial
843	null	terrestrial
844	invasive	terrestrial|freshwater
845	null	terrestrial
846	invasive	terrestrial
847	invasive	terrestrial
848	invasive	terrestrial
849	invasive	terrestrial|freshwater
850	null	terrestrial
851	null	terrestrial
852	null	terrestrial
853	null	terrestrial
854	null	terrestrial
855	null	terrestrial
856	null	terrestrial
857	invasive	terrestrial
858	invasive	terrestrial
859	invasive	terrestrial
860	null	terrestrial
861	invasive	terrestrial
862	null	terrestrial
863	null	terrestrial
864	invasive	terrestrial
865	null	terrestrial
866	null	terrestrial
867	invasive	terrestrial
868	null	terrestrial
869	null	terrestrial
870	null	terrestrial
871	null	terrestrial
872	null	terrestrial
873	invasive	terrestrial
874	invasive	terrestrial
875	invasive	host
876	invasive	terrestrial
877	invasive	terrestrial
878	invasive	terrestrial
879	invasive	terrestrial
880	invasive	terrestrial
881	null	terrestrial
882	invasive	terrestrial
883	null	terrestrial
884	invasive	terrestrial
885	invasive	terrestrial
886	invasive	terrestrial
887	null	terrestrial
888	invasive	freshwater
889	null	terrestrial
890	invasive	terrestrial
891	null	marine
892	invasive	terrestrial
893	null	terrestrial
894	invasive	terrestrial
895	invasive	terrestrial
896	invasive	terrestrial
897	null	terrestrial
898	invasive	terrestrial
899	null	terrestrial
900	invasive	terrestrial
901	invasive	terrestrial
902	invasive	terrestrial
903	invasive	freshwater
904	invasive	terrestrial
905	null	terrestrial
906	null	terrestrial
907	invasive	terrestrial
908	null	terrestrial
909	invasive	terrestrial
910	null	terrestrial
911	null	terrestrial
912	null	terrestrial
913	null	terrestrial
914	invasive	terrestrial|freshwater
915	invasive	terrestrial
916	null	freshwater
917	null	terrestrial
918	null	terrestrial
919	invasive	terrestrial
920	invasive	terrestrial
921	null	freshwater
922	null	terrestrial
923	invasive	terrestrial
924	null	terrestrial
925	invasive	terrestrial
926	null	terrestrial
927	null	terrestrial
928	null	terrestrial
929	null	terrestrial
930	invasive	terrestrial
931	invasive	terrestrial
932	null	terrestrial
933	null	terrestrial
934	invasive	terrestrial
935	invasive	terrestrial
936	invasive	terrestrial
937	null	terrestrial
938	null	terrestrial
939	invasive	terrestrial
940	invasive	terrestrial
941	null	freshwater
942	invasive	terrestrial
943	null	terrestrial|freshwater
944	invasive	terrestrial
945	invasive	terrestrial
946	null	terrestrial
947	invasive	terrestrial
948	null	terrestrial
949	invasive	terrestrial
950	null	terrestrial
951	invasive	terrestrial
952	invasive	terrestrial
953	invasive	terrestrial
954	invasive	terrestrial|freshwater
955	invasive	terrestrial|freshwater
956	null	terrestrial|freshwater
957	null	terrestrial|freshwater
958	null	freshwater|brackish
959	null	terrestrial
960	invasive	terrestrial
961	invasive	terrestrial
962	invasive	terrestrial
963	invasive	terrestrial
964	invasive	terrestrial
965	null	terrestrial
966	null	terrestrial
967	invasive	terrestrial
968	invasive	terrestrial
969	invasive	terrestrial
970	null	terrestrial
971	null	terrestrial
972	invasive	host
973	invasive	terrestrial
974	null	terrestrial
975	invasive	terrestrial
976	invasive	terrestrial
977	invasive	terrestrial
978	invasive	terrestrial
979	invasive	terrestrial
980	null	terrestrial
981	invasive	terrestrial
982	null	terrestrial
983	invasive	terrestrial
984	invasive	terrestrial
985	null	terrestrial
986	invasive	terrestrial
987	invasive	terrestrial
988	null	terrestrial
989	invasive	terrestrial
