id	isInvasive	habitat
12126	invasive	freshwater
12007	null	freshwater
12121	null	freshwater
12110	invasive	freshwater|brackish
12017	invasive	host
12028	invasive	marine
12069	invasive	marine
12073	invasive	marine
12076	invasive	marine
12077	invasive	marine
12164	invasive	marine
12166	invasive	marine
12128	null	marine
12129	null	marine
12004	invasive	terrestrial
12005	invasive	terrestrial
12006	invasive	terrestrial
12009	invasive	terrestrial
12010	invasive	terrestrial
12011	invasive	terrestrial
12012	invasive	terrestrial
12013	invasive	terrestrial
12014	invasive	terrestrial
12015	invasive	terrestrial
12043	invasive	terrestrial
12019	invasive	terrestrial
12020	invasive	terrestrial
12023	invasive	terrestrial
12024	invasive	terrestrial
12025	invasive	terrestrial
12030	invasive	terrestrial
12031	invasive	terrestrial
12032	invasive	terrestrial
12033	invasive	terrestrial
12034	invasive	terrestrial
12038	invasive	terrestrial
12039	invasive	terrestrial
12040	invasive	terrestrial
12041	invasive	terrestrial
12042	invasive	terrestrial
12045	invasive	terrestrial
12051	invasive	terrestrial
12055	invasive	terrestrial
12057	invasive	terrestrial
12059	invasive	terrestrial
12060	invasive	terrestrial
12062	invasive	terrestrial
12067	invasive	terrestrial
12068	invasive	terrestrial
12070	invasive	terrestrial
12071	invasive	terrestrial
12072	invasive	terrestrial
12074	invasive	terrestrial
12078	invasive	terrestrial
12079	invasive	terrestrial
12081	invasive	terrestrial
12082	invasive	terrestrial
12085	invasive	terrestrial
12087	invasive	terrestrial
12088	invasive	terrestrial
12115	invasive	terrestrial
12092	invasive	terrestrial
12094	invasive	terrestrial
12097	invasive	terrestrial
12099	invasive	terrestrial
12101	invasive	terrestrial
12103	invasive	terrestrial
12108	invasive	terrestrial
12114	invasive	terrestrial
12116	invasive	terrestrial
12118	invasive	terrestrial
12119	invasive	terrestrial
12035	invasive	terrestrial
12123	invasive	terrestrial
12124	invasive	terrestrial
12130	invasive	terrestrial
12131	invasive	terrestrial
12132	invasive	terrestrial
12133	invasive	terrestrial
12134	invasive	terrestrial
12135	invasive	terrestrial
12136	invasive	terrestrial
12137	invasive	terrestrial
12138	invasive	terrestrial
12139	invasive	terrestrial
12140	invasive	terrestrial
12141	invasive	terrestrial
12143	invasive	terrestrial
12144	invasive	terrestrial
12147	invasive	terrestrial
12151	invasive	terrestrial
12156	invasive	terrestrial
12157	invasive	terrestrial
12165	invasive	terrestrial
12170	invasive	terrestrial
12171	invasive	terrestrial
12000	null	terrestrial
12001	null	terrestrial
12002	null	terrestrial
12003	null	terrestrial
12008	null	terrestrial
12016	null	terrestrial
12018	null	terrestrial
12021	null	terrestrial
12022	null	terrestrial
12026	null	terrestrial
12029	null	terrestrial
12037	null	terrestrial
12044	null	terrestrial
12046	null	terrestrial
12047	null	terrestrial
12048	null	terrestrial
12049	null	terrestrial
12052	null	terrestrial
12053	null	terrestrial
12054	null	terrestrial
12056	null	terrestrial
12061	null	terrestrial
12063	null	terrestrial
12064	null	terrestrial
12065	null	terrestrial
12066	null	terrestrial
12075	null	terrestrial
12080	null	terrestrial
12083	null	terrestrial
12084	null	terrestrial
12086	null	terrestrial
12089	null	terrestrial
12090	null	terrestrial
12091	null	terrestrial
12093	null	terrestrial
12095	null	terrestrial
12096	null	terrestrial
12098	null	terrestrial
12100	null	terrestrial
12102	null	terrestrial
12104	null	terrestrial
12105	null	terrestrial
12106	null	terrestrial
12107	null	terrestrial
12109	null	terrestrial
12112	null	terrestrial
12113	null	terrestrial
12117	null	terrestrial
12036	null	terrestrial
12120	null	terrestrial
12125	null	terrestrial
12127	null	terrestrial
12142	null	terrestrial
12145	null	terrestrial
12146	null	terrestrial
12148	null	terrestrial
12149	null	terrestrial
12150	null	terrestrial
12152	null	terrestrial
12153	null	terrestrial
12154	null	terrestrial
12155	null	terrestrial
12158	null	terrestrial
12159	null	terrestrial
12160	null	terrestrial
12161	null	terrestrial
12162	null	terrestrial
12163	null	terrestrial
12167	null	terrestrial
12168	null	terrestrial
12169	null	terrestrial
12027	invasive	terrestrial|freshwater
12050	invasive	terrestrial|freshwater
12058	invasive	terrestrial|freshwater
12111	invasive	terrestrial|freshwater
12122	invasive	terrestrial|freshwater
