id	locationID	countryCode	occurrenceStatus	establishmentMeans
74100	Czech Republic	CZ	Present	Alien
74101	Czech Republic	CZ	Present	Alien
74102	Czech Republic	CZ	Present	Alien
74103	Czech Republic	CZ	Present	Alien
74104	Czech Republic	CZ	Present	Alien
74105	Czech Republic	CZ	Present	Alien
74106	Czech Republic	CZ	Present	Alien
74107	Czech Republic	CZ	Present	Alien
74108	Czech Republic	CZ	Present	Alien
74109	Czech Republic	CZ	Present	Alien
74110	Czech Republic	CZ	Present	Alien
74111	Czech Republic	CZ	Present	Alien
74112	Czech Republic	CZ	Present	Alien
74113	Czech Republic	CZ	Present	Alien
74114	Czech Republic	CZ	Present	Alien
74115	Czech Republic	CZ	Present	Alien
74116	Czech Republic	CZ	Present	Alien
74117	Czech Republic	CZ	Present	Alien
74118	Czech Republic	CZ	Present	Alien
74119	Czech Republic	CZ	Present	Alien
74120	Czech Republic	CZ	Present	Alien
74121	Czech Republic	CZ	Present	Alien
74122	Czech Republic	CZ	Present	Alien
74123	Czech Republic	CZ	Present	Alien
74124	Czech Republic	CZ	Present	Alien
74125	Czech Republic	CZ	Present	Alien
74126	Czech Republic	CZ	Present	Alien
74127	Czech Republic	CZ	Present	Alien
74128	Czech Republic	CZ	Present	Alien
74129	Czech Republic	CZ	Present	Alien
74130	Czech Republic	CZ	Present	Alien
74131	Czech Republic	CZ	Present	Alien
74132	Czech Republic	CZ	Present	Alien
74133	Czech Republic	CZ	Present	Alien
74134	Czech Republic	CZ	Present	Alien
74135	Czech Republic	CZ	Present	Alien
74136	Czech Republic	CZ	Present	Alien
74137	Czech Republic	CZ	Present	Alien
74138	Czech Republic	CZ	Present	Alien
74139	Czech Republic	CZ	Present	Alien
74140	Czech Republic	CZ	Present	Alien
74141	Czech Republic	CZ	Present	Alien
74142	Czech Republic	CZ	Present	Alien
74143	Czech Republic	CZ	Present	Alien
74144	Czech Republic	CZ	Present	Alien
74145	Czech Republic	CZ	Present	Alien
74146	Czech Republic	CZ	Present	Alien
74147	Czech Republic	CZ	Present	Alien
74148	Czech Republic	CZ	Present	Alien
74149	Czech Republic	CZ	Present	Alien
74150	Czech Republic	CZ	Present	Alien
74151	Czech Republic	CZ	Present	Alien
74152	Czech Republic	CZ	Present	Alien
74153	Czech Republic	CZ	Present	Alien
74154	Czech Republic	CZ	Present	Alien
74155	Czech Republic	CZ	Present	Alien
74156	Czech Republic	CZ	Present	Alien
74157	Czech Republic	CZ	Present	Alien
74158	Czech Republic	CZ	Present	Alien
74159	Czech Republic	CZ	Present	Alien
74160	Czech Republic	CZ	Present	Alien
74161	Czech Republic	CZ	Present	Alien
74162	Czech Republic	CZ	Present	Alien
74163	Czech Republic	CZ	Present	Alien
74164	Czech Republic	CZ	Present	Alien
74165	Czech Republic	CZ	Present	Alien
74166	Czech Republic	CZ	Present	Alien
74167	Czech Republic	CZ	Present	Alien
74168	Czech Republic	CZ	Present	Alien
74169	Czech Republic	CZ	Present	Alien
74170	Czech Republic	CZ	Present	Alien
74171	Czech Republic	CZ	Present	Alien
74172	Czech Republic	CZ	Present	Alien
74173	Czech Republic	CZ	Present	Alien
74174	Czech Republic	CZ	Present	Alien
74175	Czech Republic	CZ	Present	Alien
74176	Czech Republic	CZ	Present	Alien
74177	Czech Republic	CZ	Present	Alien
74178	Czech Republic	CZ	Present	Alien
74179	Czech Republic	CZ	Present	Alien
74180	Czech Republic	CZ	Present	Alien
74181	Czech Republic	CZ	Present	Alien
74182	Czech Republic	CZ	Present	Alien
74183	Czech Republic	CZ	Present	Alien
74184	Czech Republic	CZ	Present	Alien
74185	Czech Republic	CZ	Present	Alien
74186	Czech Republic	CZ	Present	Alien
74187	Czech Republic	CZ	Present	Alien
74188	Czech Republic	CZ	Present	Alien
74189	Czech Republic	CZ	Present	Alien
74190	Czech Republic	CZ	Present	Alien
74191	Czech Republic	CZ	Present	Alien
74192	Czech Republic	CZ	Present	Alien
74193	Czech Republic	CZ	Present	Alien
74194	Czech Republic	CZ	Present	Alien
74195	Czech Republic	CZ	Present	Alien
74196	Czech Republic	CZ	Present	Alien
74197	Czech Republic	CZ	Present	Alien
74198	Czech Republic	CZ	Present	Alien
74199	Czech Republic	CZ	Present	Alien
74200	Czech Republic	CZ	Present	Alien
74201	Czech Republic	CZ	Present	Alien
74202	Czech Republic	CZ	Present	Alien
74203	Czech Republic	CZ	Present	Alien
74204	Czech Republic	CZ	Present	Alien
74205	Czech Republic	CZ	Present	Alien
74206	Czech Republic	CZ	Present	Alien
74207	Czech Republic	CZ	Present	Alien
74208	Czech Republic	CZ	Present	Alien
74209	Czech Republic	CZ	Present	Alien
74210	Czech Republic	CZ	Present	Alien
74211	Czech Republic	CZ	Present	Alien
74212	Czech Republic	CZ	Present	Alien
74213	Czech Republic	CZ	Present	Alien
74214	Czech Republic	CZ	Present	Alien
74215	Czech Republic	CZ	Present	Alien
74216	Czech Republic	CZ	Present	Alien
74217	Czech Republic	CZ	Present	Alien
74218	Czech Republic	CZ	Present	Alien
74219	Czech Republic	CZ	Present	Alien
74220	Czech Republic	CZ	Present	Alien
74221	Czech Republic	CZ	Present	Alien
74222	Czech Republic	CZ	Present	Alien
74223	Czech Republic	CZ	Present	Alien
74224	Czech Republic	CZ	Present	Alien
74225	Czech Republic	CZ	Present	Alien
74226	Czech Republic	CZ	Present	Alien
74227	Czech Republic	CZ	Present	Alien
74228	Czech Republic	CZ	Present	Alien
74229	Czech Republic	CZ	Present	Alien
74230	Czech Republic	CZ	Present	Alien
74231	Czech Republic	CZ	Present	Alien
74232	Czech Republic	CZ	Present	Alien
74233	Czech Republic	CZ	Present	Alien
74234	Czech Republic	CZ	Present	Alien
74235	Czech Republic	CZ	Present	Alien
74236	Czech Republic	CZ	Present	Alien
74237	Czech Republic	CZ	Present	Alien
74238	Czech Republic	CZ	Present	Alien
74239	Czech Republic	CZ	Present	Alien
74240	Czech Republic	CZ	Present	Alien
74241	Czech Republic	CZ	Present	Alien
74242	Czech Republic	CZ	Present	Alien
74243	Czech Republic	CZ	Present	Alien
74244	Czech Republic	CZ	Present	Alien
74245	Czech Republic	CZ	Present	Alien
74246	Czech Republic	CZ	Present	Alien
74247	Czech Republic	CZ	Present	Alien
74248	Czech Republic	CZ	Present	Alien
74249	Czech Republic	CZ	Present	Alien
74250	Czech Republic	CZ	Present	Alien
74251	Czech Republic	CZ	Present	Alien
74252	Czech Republic	CZ	Present	Alien
74253	Czech Republic	CZ	Present	Alien
74254	Czech Republic	CZ	Present	Alien
74255	Czech Republic	CZ	Present	Alien
74256	Czech Republic	CZ	Present	Alien
74257	Czech Republic	CZ	Present	Alien
74258	Czech Republic	CZ	Present	Alien
74259	Czech Republic	CZ	Present	Alien
74260	Czech Republic	CZ	Present	Alien
74261	Czech Republic	CZ	Present	Alien
74262	Czech Republic	CZ	Present	Alien
74263	Czech Republic	CZ	Present	Alien
74264	Czech Republic	CZ	Present	Alien
74265	Czech Republic	CZ	Present	Alien
74266	Czech Republic	CZ	Present	Alien
74267	Czech Republic	CZ	Present	Alien
74268	Czech Republic	CZ	Present	Alien
74269	Czech Republic	CZ	Present	Alien
74270	Czech Republic	CZ	Present	Alien
74271	Czech Republic	CZ	Present	Alien
74272	Czech Republic	CZ	Present	Alien
74273	Czech Republic	CZ	Present	Alien
74274	Czech Republic	CZ	Present	Alien
74275	Czech Republic	CZ	Present	Alien
74276	Czech Republic	CZ	Present	Alien
74277	Czech Republic	CZ	Present	Alien
74278	Czech Republic	CZ	Present	Alien
74279	Czech Republic	CZ	Present	Alien
74280	Czech Republic	CZ	Present	Alien
74281	Czech Republic	CZ	Present	Alien
74282	Czech Republic	CZ	Present	Alien
74283	Czech Republic	CZ	Present	Alien
74284	Czech Republic	CZ	Present	Alien
74285	Czech Republic	CZ	Present	Alien
74286	Czech Republic	CZ	Present	Alien
74287	Czech Republic	CZ	Present	Alien
74288	Czech Republic	CZ	Present	Alien
74289	Czech Republic	CZ	Present	Alien
74290	Czech Republic	CZ	Present	Alien
74291	Czech Republic	CZ	Present	Alien
74292	Czech Republic	CZ	Present	Alien
74293	Czech Republic	CZ	Present	Alien
74294	Czech Republic	CZ	Present	Alien
74295	Czech Republic	CZ	Present	Alien
74296	Czech Republic	CZ	Present	Alien
74297	Czech Republic	CZ	Present	Alien
74298	Czech Republic	CZ	Present	Alien
74299	Czech Republic	CZ	Present	Alien
74300	Czech Republic	CZ	Present	Alien
74301	Czech Republic	CZ	Present	Alien
74302	Czech Republic	CZ	Present	Alien
74303	Czech Republic	CZ	Present	Alien
74304	Czech Republic	CZ	Present	Alien
74305	Czech Republic	CZ	Present	Alien
74306	Czech Republic	CZ	Present	Alien
74307	Czech Republic	CZ	Present	Alien
74308	Czech Republic	CZ	Present	Alien
74309	Czech Republic	CZ	Present	Alien
74310	Czech Republic	CZ	Present	Alien
74311	Czech Republic	CZ	Present	Alien
74312	Czech Republic	CZ	Present	Alien
74313	Czech Republic	CZ	Present	Alien
74314	Czech Republic	CZ	Present	Alien
74315	Czech Republic	CZ	Present	Alien
74316	Czech Republic	CZ	Present	Alien
74317	Czech Republic	CZ	Present	Alien
74318	Czech Republic	CZ	Present	Alien
74319	Czech Republic	CZ	Present	Alien
74320	Czech Republic	CZ	Present	Alien
74321	Czech Republic	CZ	Present	Alien
74322	Czech Republic	CZ	Present	Alien
74323	Czech Republic	CZ	Present	Alien
74324	Czech Republic	CZ	Present	Alien
74325	Czech Republic	CZ	Present	Alien
74326	Czech Republic	CZ	Present	Alien
74327	Czech Republic	CZ	Present	Alien
74328	Czech Republic	CZ	Present	Alien
74329	Czech Republic	CZ	Present	Alien
74330	Czech Republic	CZ	Present	Alien
74331	Czech Republic	CZ	Present	Alien
74332	Czech Republic	CZ	Present	Alien
74333	Czech Republic	CZ	Present	Alien
74334	Czech Republic	CZ	Present	Alien
74335	Czech Republic	CZ	Present	Alien
74336	Czech Republic	CZ	Present	Alien
74337	Czech Republic	CZ	Present	Alien
74338	Czech Republic	CZ	Present	Alien
74339	Czech Republic	CZ	Present	Alien
74340	Czech Republic	CZ	Present	Alien
74341	Czech Republic	CZ	Present	Alien
74342	Czech Republic	CZ	Present	Alien
74343	Czech Republic	CZ	Present	Alien
74344	Czech Republic	CZ	Present	Alien
74345	Czech Republic	CZ	Present	Alien
74346	Czech Republic	CZ	Present	Alien
74347	Czech Republic	CZ	Present	Alien
74348	Czech Republic	CZ	Present	Alien
74349	Czech Republic	CZ	Present	Alien
74350	Czech Republic	CZ	Present	Alien
74351	Czech Republic	CZ	Present	Alien
74352	Czech Republic	CZ	Present	Alien
74353	Czech Republic	CZ	Present	Alien
74354	Czech Republic	CZ	Present	Alien
74355	Czech Republic	CZ	Present	Alien
74356	Czech Republic	CZ	Present	Alien
74357	Czech Republic	CZ	Present	Alien
74358	Czech Republic	CZ	Present	Alien
74359	Czech Republic	CZ	Present	Alien
74360	Czech Republic	CZ	Present	Alien
74361	Czech Republic	CZ	Present	Alien
74362	Czech Republic	CZ	Present	Alien
74363	Czech Republic	CZ	Present	Alien
74364	Czech Republic	CZ	Present	Alien
74365	Czech Republic	CZ	Present	Alien
74366	Czech Republic	CZ	Present	Alien
74367	Czech Republic	CZ	Present	Alien
74368	Czech Republic	CZ	Present	Alien
74369	Czech Republic	CZ	Present	Alien
74370	Czech Republic	CZ	Present	Alien
74371	Czech Republic	CZ	Present	Alien
74372	Czech Republic	CZ	Present	Alien
74373	Czech Republic	CZ	Present	Alien
74374	Czech Republic	CZ	Present	Alien
74375	Czech Republic	CZ	Present	Alien
74376	Czech Republic	CZ	Present	Alien
74377	Czech Republic	CZ	Present	Alien
74378	Czech Republic	CZ	Present	Alien
74379	Czech Republic	CZ	Present	Alien
74380	Czech Republic	CZ	Present	Alien
74381	Czech Republic	CZ	Present	Alien
74382	Czech Republic	CZ	Present	Alien
74383	Czech Republic	CZ	Present	Alien
74384	Czech Republic	CZ	Present	Alien
74385	Czech Republic	CZ	Present	Alien
74386	Czech Republic	CZ	Present	Alien
74387	Czech Republic	CZ	Present	Alien
74388	Czech Republic	CZ	Present	Alien
74389	Czech Republic	CZ	Present	Alien
74390	Czech Republic	CZ	Present	Alien
74391	Czech Republic	CZ	Present	Alien
74392	Czech Republic	CZ	Present	Alien
74393	Czech Republic	CZ	Present	Alien
74394	Czech Republic	CZ	Present	Alien
74395	Czech Republic	CZ	Present	Alien
74396	Czech Republic	CZ	Present	Alien
74397	Czech Republic	CZ	Present	Alien
74398	Czech Republic	CZ	Present	Alien
74399	Czech Republic	CZ	Present	Alien
74400	Czech Republic	CZ	Present	Alien
74401	Czech Republic	CZ	Present	Alien
74402	Czech Republic	CZ	Present	Alien
74403	Czech Republic	CZ	Present	Alien
74404	Czech Republic	CZ	Present	Alien
74405	Czech Republic	CZ	Present	Alien
74406	Czech Republic	CZ	Present	Alien
74407	Czech Republic	CZ	Present	Alien
74408	Czech Republic	CZ	Present	Alien
74409	Czech Republic	CZ	Present	Alien
74410	Czech Republic	CZ	Present	Alien
74411	Czech Republic	CZ	Present	Alien
74412	Czech Republic	CZ	Present	Alien
74413	Czech Republic	CZ	Present	Alien
74414	Czech Republic	CZ	Present	Alien
74415	Czech Republic	CZ	Present	Alien
74416	Czech Republic	CZ	Present	Alien
74417	Czech Republic	CZ	Present	Alien
74418	Czech Republic	CZ	Present	Alien
74419	Czech Republic	CZ	Present	Alien
74420	Czech Republic	CZ	Present	Alien
74421	Czech Republic	CZ	Present	Alien
74422	Czech Republic	CZ	Present	Alien
74423	Czech Republic	CZ	Present	Alien
74424	Czech Republic	CZ	Present	Alien
74425	Czech Republic	CZ	Present	Alien
74426	Czech Republic	CZ	Present	Alien
74427	Czech Republic	CZ	Present	Alien
74428	Czech Republic	CZ	Present	Alien
74429	Czech Republic	CZ	Present	Alien
74430	Czech Republic	CZ	Present	Alien
74431	Czech Republic	CZ	Present	Alien
74432	Czech Republic	CZ	Present	Alien
74433	Czech Republic	CZ	Present	Alien
74434	Czech Republic	CZ	Present	Alien
74435	Czech Republic	CZ	Present	Alien
74436	Czech Republic	CZ	Present	Alien
74437	Czech Republic	CZ	Present	Alien
74438	Czech Republic	CZ	Present	Alien
74439	Czech Republic	CZ	Present	Alien
74440	Czech Republic	CZ	Present	Alien
74441	Czech Republic	CZ	Present	Alien
74442	Czech Republic	CZ	Present	Alien
74443	Czech Republic	CZ	Present	Alien
74444	Czech Republic	CZ	Present	Alien
74445	Czech Republic	CZ	Present	Alien
74446	Czech Republic	CZ	Present	Alien
74447	Czech Republic	CZ	Present	Alien
74448	Czech Republic	CZ	Present	Alien
74449	Czech Republic	CZ	Present	Alien
74450	Czech Republic	CZ	Present	Alien
74451	Czech Republic	CZ	Present	Alien
74452	Czech Republic	CZ	Present	Alien
74453	Czech Republic	CZ	Present	Alien
74454	Czech Republic	CZ	Present	Alien
74455	Czech Republic	CZ	Present	Alien
74456	Czech Republic	CZ	Present	Alien
74457	Czech Republic	CZ	Present	Alien
74458	Czech Republic	CZ	Present	Alien
