id	locationID	countryCode	occurrenceStatus	establishmentMeans
109900	Côte d'Ivoire	CI	Present	Alien
109901	Côte d'Ivoire	CI	Present	Alien
109902	Côte d'Ivoire	CI	Present	Alien
109903	Côte d'Ivoire	CI	Present	Alien
109904	Côte d'Ivoire	CI	Present	Alien
109905	Côte d'Ivoire	CI	Present	Alien
109906	Côte d'Ivoire	CI	Present	Alien
109907	Côte d'Ivoire	CI	Present	Alien
109908	Côte d'Ivoire	CI	Present	Alien
109909	Côte d'Ivoire	CI	Present	Alien
109910	Côte d'Ivoire	CI	Present	Alien
109911	Côte d'Ivoire	CI	Present	Alien
109912	Côte d'Ivoire	CI	Present	Alien
109913	Côte d'Ivoire	CI	Present	Alien
109914	Côte d'Ivoire	CI	Present	Alien
109915	Côte d'Ivoire	CI	Present	Alien
109916	Côte d'Ivoire	CI	Present	Alien
109917	Côte d'Ivoire	CI	Present	Alien
109918	Côte d'Ivoire	CI	Present	Alien
109919	Côte d'Ivoire	CI	Present	Alien
109920	Côte d'Ivoire	CI	Present	Alien
109921	Côte d'Ivoire	CI	Present	Alien
109922	Côte d'Ivoire	CI	Present	Alien
109923	Côte d'Ivoire	CI	Present	Alien
109924	Côte d'Ivoire	CI	Present	Alien
109925	Côte d'Ivoire	CI	Present	Alien
109926	Côte d'Ivoire	CI	Present	Alien
109927	Côte d'Ivoire	CI	Present	Alien
109928	Côte d'Ivoire	CI	Present	Alien
109929	Côte d'Ivoire	CI	Present	Alien
109930	Côte d'Ivoire	CI	Present	Alien
109931	Côte d'Ivoire	CI	Present	Alien
109932	Côte d'Ivoire	CI	Present	Alien
109933	Côte d'Ivoire	CI	Present	Alien
109934	Côte d'Ivoire	CI	Present	Alien
109935	Côte d'Ivoire	CI	Present	Alien
109936	Côte d'Ivoire	CI	Present	Alien
109937	Côte d'Ivoire	CI	Present	Alien
109938	Côte d'Ivoire	CI	Present	Alien
109939	Côte d'Ivoire	CI	Present	Alien
109940	Côte d'Ivoire	CI	Present	Alien
109941	Côte d'Ivoire	CI	Present	Alien
109942	Côte d'Ivoire	CI	Present	Alien
109943	Côte d'Ivoire	CI	Present	Alien
109944	Côte d'Ivoire	CI	Present	Alien
109945	Côte d'Ivoire	CI	Present	Alien
109946	Côte d'Ivoire	CI	Present	Alien
109947	Côte d'Ivoire	CI	Present	Alien
109948	Côte d'Ivoire	CI	Present	Alien
109949	Côte d'Ivoire	CI	Present	Alien
109950	Côte d'Ivoire	CI	Present	Alien
109951	Côte d'Ivoire	CI	Present	Alien
109952	Côte d'Ivoire	CI	Present	Alien
109953	Côte d'Ivoire	CI	Present	Alien
109954	Côte d'Ivoire	CI	Present	Alien
109955	Côte d'Ivoire	CI	Present	Alien
109956	Côte d'Ivoire	CI	Present	Alien
109957	Côte d'Ivoire	CI	Present	Alien
109958	Côte d'Ivoire	CI	Present	Alien
109959	Côte d'Ivoire	CI	Present	Alien
109960	Côte d'Ivoire	CI	Present	Alien
109961	Côte d'Ivoire	CI	Present	Alien
109962	Côte d'Ivoire	CI	Present	Alien
109963	Côte d'Ivoire	CI	Present	Alien
109964	Côte d'Ivoire	CI	Present	Alien
109965	Côte d'Ivoire	CI	Present	Alien
109966	Côte d'Ivoire	CI	Present	Alien
109967	Côte d'Ivoire	CI	Present	Alien
109968	Côte d'Ivoire	CI	Present	Alien
109969	Côte d'Ivoire	CI	Present	Alien
109970	Côte d'Ivoire	CI	Present	Alien
109971	Côte d'Ivoire	CI	Present	Alien
109972	Côte d'Ivoire	CI	Present	Alien
109973	Côte d'Ivoire	CI	Present	Alien
109974	Côte d'Ivoire	CI	Present	Alien
109975	Côte d'Ivoire	CI	Present	Alien
109976	Côte d'Ivoire	CI	Present	Alien
109977	Côte d'Ivoire	CI	Present	Alien
109978	Côte d'Ivoire	CI	Present	Alien
109979	Côte d'Ivoire	CI	Present	Alien
109980	Côte d'Ivoire	CI	Present	Alien
109981	Côte d'Ivoire	CI	Present	Alien
109982	Côte d'Ivoire	CI	Present	Alien
109983	Côte d'Ivoire	CI	Present	Alien
109984	Côte d'Ivoire	CI	Present	Alien
109985	Côte d'Ivoire	CI	Present	Alien
109986	Côte d'Ivoire	CI	Present	Alien
109987	Côte d'Ivoire	CI	Present	Alien
109988	Côte d'Ivoire	CI	Present	Alien
109989	Côte d'Ivoire	CI	Present	Alien
109990	Côte d'Ivoire	CI	Present	Alien
109991	Côte d'Ivoire	CI	Present	Alien
109992	Côte d'Ivoire	CI	Present	Alien
109993	Côte d'Ivoire	CI	Present	Alien
109994	Côte d'Ivoire	CI	Present	Alien
109995	Côte d'Ivoire	CI	Present	Alien
109996	Côte d'Ivoire	CI	Present	Alien
109997	Côte d'Ivoire	CI	Present	Alien
109998	Côte d'Ivoire	CI	Present	Alien
109999	Côte d'Ivoire	CI	Present	Alien
110000	Côte d'Ivoire	CI	Present	Alien
110001	Côte d'Ivoire	CI	Present	Alien
110002	Côte d'Ivoire	CI	Present	Alien
110003	Côte d'Ivoire	CI	Present	Alien
110004	Côte d'Ivoire	CI	Present	Alien
110005	Côte d'Ivoire	CI	Present	Alien
110006	Côte d'Ivoire	CI	Present	Alien
110007	Côte d'Ivoire	CI	Present	Alien
110008	Côte d'Ivoire	CI	Present	Alien
110009	Côte d'Ivoire	CI	Present	Alien
