id	isInvasive	habitat
109900	Null	Terrestrial
109901	Invasive	Terrestrial
109902	Invasive	Terrestrial
109903	Null	Terrestrial
109904	Null	Terrestrial
109905	Invasive	Terrestrial
109906	Null	Terrestrial
109907	Null	Host
109908	Invasive	Host
109909	Null	Terrestrial
109910	Null	Terrestrial
109911	Null	Freshwater
109912	Null	Terrestrial
109913	Invasive	Terrestrial
109914	Invasive	Terrestrial
109915	Null	Terrestrial
109916	Null	Terrestrial
109917	Invasive	Terrestrial
109918	Null	Terrestrial
109919	Invasive	Terrestrial
109920	Invasive	Terrestrial
109921	Null	Terrestrial
109922	Null	Terrestrial
109923	Null	Terrestrial
109924	Null	Terrestrial
109925	Invasive	Terrestrial
109926	Null	Terrestrial
109927	Invasive	Terrestrial
109928	Null	Freshwater
109929	Null	Terrestrial
109930	Null	Terrestrial|Freshwater
109931	Null	Terrestrial
109932	Null	Terrestrial
109933	Invasive	Terrestrial
109934	Null	Freshwater|Brackish
109935	Null	Terrestrial
109936	Null	Freshwater|Brackish
109937	Null	Terrestrial
109938	Null	Terrestrial
109939	Null	Terrestrial
109940	Invasive	Terrestrial
109941	Invasive	Freshwater
109942	Null	Terrestrial
109943	Invasive	Terrestrial
109944	Null	Terrestrial
109945	Null	Terrestrial
109946	Null	Terrestrial
109947	Null	Freshwater|Brackish
109948	Invasive	Freshwater|Brackish
109949	Null	Terrestrial
109950	Null	Terrestrial
109951	Null	Terrestrial
109952	Null	Freshwater
109953	Invasive	Terrestrial
109954	Null	Freshwater
109955	Null	Terrestrial
109956	Null	Freshwater
109957	Null	Terrestrial
109958	Null	Terrestrial
109959	Null	Terrestrial
109960	Null	Terrestrial
109961	Invasive	Terrestrial
109962	Null	Terrestrial
109963	Invasive	Terrestrial
109964	Null	Host
109965	Null	Terrestrial
109966	Null	Terrestrial
109967	Null	Terrestrial
109968	Invasive	Terrestrial
109969	Invasive	Terrestrial
109970	Null	Freshwater
109971	Null	Freshwater|Brackish
109972	Null	Terrestrial
109973	Invasive	Marine
109974	Null	Terrestrial
109975	Null	Freshwater
109976	Null	Terrestrial
109977	Null	Terrestrial
109978	Invasive	Freshwater
109979	Null	Terrestrial
109980	Invasive	Terrestrial
109981	Invasive	Terrestrial|Freshwater
109982	Null	Terrestrial
109983	Invasive	Freshwater
109984	Invasive	Freshwater
109985	Null	Terrestrial
109986	Null	Terrestrial
109987	Null	Terrestrial
109988	Null	Terrestrial
109989	Null	Terrestrial
109990	Null	Terrestrial
109991	Null	Terrestrial
109992	Null	Terrestrial
109993	Null	Terrestrial
109994	Invasive	Terrestrial
109995	Invasive	Terrestrial
109996	Null	Terrestrial
109997	Invasive	Terrestrial
109998	Invasive	Terrestrial
109999	Invasive	Terrestrial
110000	Null	Terrestrial
110001	Invasive	Terrestrial
110002	Invasive	Terrestrial
110003	Null	Terrestrial
110004	Invasive	Terrestrial
110005	Null	Terrestrial
110006	Invasive	Terrestrial
110007	Null	Terrestrial
110008	Null	Terrestrial
110009	Null	Terrestrial
