id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus
31608	31608	Abgrallaspis cyanophylli (Signoret, 1869)		Animalia	Arthropoda	Insecta	Hemiptera	Diaspididae	SPECIES	ACCEPTED
31609	31609	Abies alba Mill.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31610	31610	Abies balsamea Mill.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31611	31611	Abies concolor (Gordon & Glend.) Hildebr.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31612	31612	Abies grandis Lindl.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31613	31613	Abies lasiocarpa (Hook.) Nutt.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31614	31614	Abies lowiana A.Murr.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31615	31615	Abies nordmanniana Spach		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31616	31616	Abies procera Rehder		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31617	31617	Abies sibirica Ledeb.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31618	31618	Abies veitchii Lindl.		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	SPECIES	ACCEPTED
31619	31619	Abutilon theophrasti Medik.		Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	SPECIES	ACCEPTED
31620	31620	Acaena novae-zelandiae Kirk		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED
31621	31621	Acanthocinus griseus (Fabricius, 1793)		Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	SPECIES	ACCEPTED
31622	31622	Acanthocinus reticulatus (Razoumowsky, 1789)		Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	SPECIES	ACCEPTED
31623	31623	Acanthoscelides obtectus (Say, 1831)		Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	SPECIES	ACCEPTED
31624	31624	Acartia tonsa Dana, 1849		Animalia	Arthropoda	Hexanauplia	Calanoida	Acartiidae	SPECIES	ACCEPTED
31625	31625	Acer circinatum Pursh		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED
31626	31626	Acer heldreichii Orph.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED
31627	31627	Acer lobelii Ten.	Acer cappadocicum Gleditsch	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	SYNONYM
31628	31628	Acer negundo L.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED
31629	31629	Acer tataricum L.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED
31630	31630	Acer tataricum subsp. ginnala (Maxim.) Wesmael		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SUBSPECIES	ACCEPTED
31631	31631	Acer tataricum subsp. tataricum		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SUBSPECIES	ACCEPTED
31632	31632	Acharia apicalis	Acharia apicalis	Animalia	Arthropoda	Insecta	Lepidoptera	Limacodidae		
31633	31633	Acheta domesticus (Linnaeus, 1758)		Animalia	Arthropoda	Insecta	Orthoptera	Gryllidae	SPECIES	ACCEPTED
31634	31634	Achillea ageratum L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED
31635	31635	Achillea asplenifolia Vent.	Achillea millefolium Ledeb.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	SYNONYM
31636	31636	Achillea collina Becker ex Rchb.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED
31637	31637	Achillea distans subsp. tanacetifolia (All.) Janch.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SUBSPECIES	ACCEPTED
