id	isInvasive	habitat
95000	Null	Terrestrial
95001	Null	Host
95002	Null	Terrestrial
95003	Null	Terrestrial
95004	Null	Terrestrial|Freshwater
95005	Null	Terrestrial
95006	Null	Terrestrial
95007	Null	Terrestrial
95008	Null	Terrestrial
95009	Null	Host
95010	Null	Host
95011	Null	Host
95012	Null	Host
95013	Null	Terrestrial
95014	Null	Terrestrial
95015	Invasive	Terrestrial
95016	Invasive	Terrestrial
95017	Null	Terrestrial
95018	Null	Host
95019	Invasive	Host
95020	Null	Terrestrial
95021	Null	Terrestrial
95022	Null	Host
95023	Null	Terrestrial
95024	Invasive	Host
95025	Null	Host
95026	Null	Terrestrial
95027	Null	Terrestrial
95028	Null	Terrestrial
95029	Null	Terrestrial
95030	Null	Terrestrial
95031	Null	Terrestrial
95032	Null	Terrestrial|Freshwater
95033	Null	Terrestrial
95034	Null	Host
95035	Null	Terrestrial
95036	Null	Terrestrial
95037	Null	Terrestrial
95038	Null	Terrestrial|Freshwater
95039	Null	Terrestrial
95040	Null	Terrestrial
95041	Null	Terrestrial
95042	Invasive	Terrestrial
95043	Null	Terrestrial|Freshwater
95044	Null	Terrestrial
95045	Invasive	Terrestrial
95046	Invasive	Terrestrial
95047	Null	Terrestrial
95048	Null	Terrestrial
95049	Null	Terrestrial
95050	Null	Host
95051	Null	Terrestrial
95052	Null	Terrestrial
95053	Null	Terrestrial
95054	Null	Terrestrial
95055	Null	Terrestrial
95056	Null	Freshwater
95057	Null	Terrestrial|Freshwater
95058	Null	Terrestrial
95059	Null	Terrestrial
95060	Null	Terrestrial
95061	Null	Terrestrial
95062	Null	Host
95063	Null	Terrestrial
95064	Null	Terrestrial
95065	Null	Host
95066	Null	Terrestrial
95067	Invasive	Marine
95068	Null	Terrestrial
95069	Invasive	Terrestrial
95070	Null	Host
95071	Null	Host
95072	Null	Terrestrial
95073	Null	Terrestrial
95074	Invasive	Host
95075	Invasive	Host
95076	Null	Terrestrial
95077	Null	Terrestrial
95078	Null	Terrestrial
95079	Null	Terrestrial
95080	Null	Terrestrial
95081	Null	Terrestrial
95082	Null	Terrestrial
95083	Null	Terrestrial
95084	Null	Terrestrial
95085	Null	Terrestrial
95086	Null	Terrestrial
95087	Invasive	Terrestrial
95088	Null	Terrestrial
95089	Invasive	Host
95090	Null	Freshwater
95091	Null	Terrestrial
95092	Null	Terrestrial
95093	Invasive	Freshwater
95094	Null	Terrestrial
95095	Null	Terrestrial
95096	Null	Terrestrial
95097	Null	Terrestrial
95098	Null	Terrestrial
95099	Null	Terrestrial
95100	Null	Terrestrial
95101	Null	Terrestrial
95102	Invasive	Terrestrial
95103	Null	Host
95104	Null	Host
95105	Null	Freshwater|Brackish
95106	Null	Freshwater|Brackish
95107	Null	Host
95108	Null	Terrestrial|Freshwater
95109	Null	Terrestrial
95110	Null	Terrestrial
95111	Null	Terrestrial
95112	Null	Terrestrial
95113	Null	Terrestrial
95114	Null	Terrestrial
95115	Null	Terrestrial
95116	Null	Host
95117	Null	Terrestrial
95118	Null	Terrestrial
95119	Null	Host
95120	Invasive	Host
95121	Invasive	Terrestrial
95122	Invasive	Terrestrial
95123	Null	Terrestrial
95124	Null	Host
95125	Null	Terrestrial
95126	Null	Terrestrial
95127	Null	Terrestrial
95128	Null	Terrestrial
95129	Null	Terrestrial
95130	Null	Terrestrial
95131	Invasive	Terrestrial
95132	Null	Terrestrial
95133	Null	Terrestrial
95134	Null	Terrestrial
95135	Null	Terrestrial
95136	Null	Terrestrial
95137	Null	Terrestrial
95138	Invasive	Terrestrial
95139	Null	Terrestrial
95140	Invasive	Terrestrial
95141	Null	Terrestrial
95142	Null	Terrestrial
95143	Null	Terrestrial
95144	Null	Terrestrial
95145	Null	Terrestrial
95146	Null	Terrestrial
95147	Invasive	Terrestrial
95148	Null	Host
95149	Invasive	Terrestrial
95150	Null	Host
95151	Null	Terrestrial|Freshwater
95152	Null	Terrestrial
95153	Null	Terrestrial
95154	Null	Marine
95155	Null	Host
95156	Null	Terrestrial
95157	Null	Terrestrial
