id	isInvasive	habitat
120510	Null	Terrestrial
120511	Null	Terrestrial
120512	Null	Terrestrial
120513	Null	Terrestrial
120514	Null	Terrestrial
120515	Null	Terrestrial
120516	Null	Terrestrial
120517	Null	Terrestrial
120518	Null	Terrestrial
120519	Null	Terrestrial
120520	Null	Terrestrial
120521	Null	Terrestrial|Freshwater
120522	Null	Terrestrial
120523	Null	Terrestrial
120524	Null	Terrestrial
120525	Null	Terrestrial
120526	Null	Terrestrial|Freshwater
120527	Null	Terrestrial
120528	Null	Terrestrial
120529	Null	Terrestrial
120530	Null	Terrestrial
120531	Null	Terrestrial
120532	Null	Terrestrial
120533	Null	Terrestrial
120534	Null	Terrestrial|Freshwater
120535	Null	Terrestrial
120536	Null	Terrestrial
120537	Null	Terrestrial
120538	Null	Terrestrial|Freshwater
120539	Null	Terrestrial
120540	Null	Terrestrial
120541	Null	Terrestrial
120542	Null	Terrestrial
120543	Null	Terrestrial
120544	Null	Terrestrial
120545	Null	Terrestrial
120546	Null	Terrestrial
120547	Null	Terrestrial
120548	Null	Terrestrial
120549	Null	Terrestrial
