id	isInvasive
42971	Null
42972	Null
42973	Null
42974	Null
42975	Null
42976	Invasive
42977	Invasive
42978	Null
42979	Null
42980	Null
42981	Invasive
42982	Invasive
42983	Null
42984	Null
42985	Null
42986	Null
42987	Null
42988	Null
42989	Null
42990	Null
42991	Null
42992	Null
42993	Null
42994	Null
42995	Null
42996	Invasive
42997	Null
42998	Invasive
42999	Null
43000	Null
43001	Null
43002	Null
43003	Null
43004	Null
43005	Null
43006	Invasive
43007	Null
43008	Null
43009	Invasive
43010	Null
43011	Invasive
43012	Null
43013	Null
43014	Null
43015	Null
43016	Invasive
43017	Null
43018	Null
43019	Null
43020	Null
43021	Null
43022	Null
43023	Null
43024	Null
43025	Null
43026	Null
43027	Null
43028	Null
43029	Null
43030	Invasive
43031	Invasive
43032	Null
43033	Null
43034	Null
43035	Null
43036	Null
43037	Null
43038	Null
43039	Null
43040	Null
43041	Null
43042	Null
43043	Null
43044	Null
43045	Null
43046	Null
43047	Null
43048	Invasive
43049	Null
43050	Null
43051	Null
43052	Null
43053	Null
43054	Null
43055	Null
43056	Null
43057	Null
43058	Null
43059	Invasive
43060	Null
43061	Null
43062	Null
43063	Invasive
43064	Null
43065	Null
43066	Null
43067	Null
43068	Null
43069	Null
43070	Null
43071	Null
43072	Invasive
43073	Null
43074	Null
43075	Null
43076	Null
43077	Null
43078	Null
43079	Null
43080	Null
43081	Null
43082	Null
43083	Null
43084	Invasive
43085	Null
43086	Null
43087	Null
43088	Null
43089	Null
43090	Invasive
43091	Null
43092	Null
43093	Null
43094	Null
43095	Null
43096	Null
43097	Invasive
43098	Null
43099	Null
43100	Invasive
43101	Null
43102	Invasive
43103	Invasive
43104	Invasive
43105	Null
43106	Null
43107	Null
43108	Null
43109	Invasive
43110	Null
43111	Null
43112	Null
43113	Null
43114	Null
43115	Null
43116	Null
43117	Null
43118	Null
43119	Null
43120	Invasive
43121	Null
43122	Null
43123	Null
43124	Null
43125	Null
43126	Null
43127	Null
43128	Invasive
43129	Null
43130	Invasive
43131	Null
43132	Null
43133	Invasive
43134	Null
43135	Null
43136	Null
43137	Null
43138	Null
43139	Null
43140	Null
43141	Null
43142	Null
43143	Null
43144	Null
43145	Null
43146	Null
43147	Null
43148	Null
43149	Null
43150	Null
43151	Null
43152	Null
43153	Invasive
43154	Invasive
43155	Null
43156	Null
43157	Invasive
43158	Null
43159	Null
43160	Null
43161	Null
43162	Invasive
43163	Null
43164	Null
43165	Null
43166	Null
43167	Null
43168	Null
43169	Null
43170	Null
43171	Null
43172	Null
43173	Null
43174	Null
43175	Null
43176	Null
43177	Null
43178	Null
43179	Null
43180	Null
43181	Null
43182	Null
43183	Null
43184	Null
43185	Invasive
43186	Invasive
43187	Invasive
43188	Null
43189	Invasive
43190	Null
43191	Null
43192	Null
43193	Null
43194	Invasive
43195	Invasive
43196	Null
43197	Null
43198	Null
43199	Null
43200	Null
43201	Null
43202	Invasive
43203	Invasive
43204	Invasive
43205	Invasive
43206	Null
43207	Null
43208	Invasive
43209	Null
43210	Null
43211	Null
43212	Invasive
43213	Null
43214	Null
43215	Invasive
43216	Invasive
43217	Null
43218	Invasive
43219	Invasive
43220	Invasive
43221	Invasive
43222	Null
43223	Null
43224	Null
43225	Null
43226	Null
43227	Null
43228	Null
43229	Null
43230	Invasive
43231	Null
43232	Null
43233	Null
43234	Invasive
43235	Invasive
43236	Null
43237	Null
43238	Null
43239	Null
43240	Null
43241	Null
43242	Null
43243	Null
43244	Invasive
43245	Null
43246	Null
43247	Invasive
43248	Invasive
43249	Null
43250	Null
43251	Invasive
43252	Null
43253	Null
43254	Null
43255	Null
43256	Null
43257	Null
43258	Null
43259	Null
43260	Null
43261	Null
43262	Null
43263	Null
43264	Null
43265	Null
43266	Null
43267	Null
43268	Null
43269	Null
43270	Null
43271	Null
43272	Null
43273	Null
43274	Null
43275	Null
43276	Null
43277	Invasive
43278	Null
43279	Null
43280	Null
43281	Null
43282	Null
43283	Null
43284	Invasive
43285	Null
43286	Null
43287	Null
43288	Invasive
43289	Null
43290	Null
43291	Invasive
43292	Null
43293	Null
43294	Invasive
43295	Invasive
43296	Invasive
43297	Invasive
43298	Null
43299	Null
43300	Invasive
43301	Null
43302	Null
43303	Null
43304	Null
43305	Null
43306	Null
43307	Null
43308	Null
43309	Null
43310	Null
43311	Null
43312	Null
