id	isInvasive	habitat
120600	Null	Terrestrial
120601	Null	Terrestrial
120602	Invasive	Terrestrial
120603	Null	Terrestrial
120604	Null	Terrestrial
120605	Null	Terrestrial
120606	Null	Terrestrial
120607	Null	Terrestrial
120608	Null	Terrestrial
120609	Null	Terrestrial
120610	Null	Terrestrial
120611	Null	Terrestrial
120612	Null	Terrestrial
120613	Null	Terrestrial
120614	Null	Terrestrial
120615	Null	Terrestrial|Freshwater
120616	Null	Terrestrial|Freshwater
120617	Null	Terrestrial|Freshwater
120618	Null	Terrestrial
120619	Null	Terrestrial
120620	Null	Terrestrial
120621	Null	Terrestrial
120622	Null	Terrestrial
120623	Null	Terrestrial
120624	Null	Terrestrial
120625	Null	Terrestrial
120626	Null	Terrestrial
120627	Null	Terrestrial
120628	Null	Terrestrial
120629	Null	Terrestrial
120630	Null	Terrestrial
120631	Null	Terrestrial
120632	Null	Terrestrial
120633	Null	Terrestrial
120634	Null	Terrestrial
120635	Null	Terrestrial
120636	Null	Terrestrial
120637	Null	Terrestrial
120638	Invasive	Terrestrial
120639	Null	Terrestrial
120640	Null	Terrestrial
120641	Null	Terrestrial
120642	Null	Terrestrial
120643	Null	Terrestrial
120644	Null	Terrestrial
120645	Null	Terrestrial
120646	Null	Terrestrial
120647	Null	Terrestrial
120648	Null	Terrestrial
120649	Null	Terrestrial
120650	Null	Terrestrial
120651	Null	Terrestrial
120652	Null	Terrestrial
120653	Null	Terrestrial
120654	Invasive	Terrestrial
120655	Invasive	Terrestrial
120656	Null	Terrestrial
120657	Null	Terrestrial
120658	Null	Terrestrial
120659	Null	Terrestrial
120660	Null	Terrestrial
120661	Null	Terrestrial
120662	Null	Terrestrial
120663	Null	Terrestrial
120664	Null	Terrestrial
120665	Null	Terrestrial
120666	Null	Terrestrial
120667	Invasive	Terrestrial
120668	Null	Terrestrial
120669	Null	Terrestrial
120670	Null	Terrestrial
