id	locationID	countryCode	occurrenceStatus	establishmentMeans
22045	Faroe Islands	FO	Present	Alien
22046	Faroe Islands	FO	Present	Alien
22047	Faroe Islands	FO	Present	Alien
22048	Faroe Islands	FO	Present	Alien
22049	Faroe Islands	FO	Present	Alien
22050	Faroe Islands	FO	Present	Alien
22051	Faroe Islands	FO	Present	Alien
22052	Faroe Islands	FO	Present	Alien
22053	Faroe Islands	FO	Present	Alien
22054	Faroe Islands	FO	Present	Alien
22055	Faroe Islands	FO	Present	Alien
22056	Faroe Islands	FO	Present	Alien
22057	Faroe Islands	FO	Present	Alien
22058	Faroe Islands	FO	Present	Alien
22059	Faroe Islands	FO	Present	Alien
22060	Faroe Islands	FO	Present	Alien
22061	Faroe Islands	FO	Present	Alien
22062	Faroe Islands	FO	Present	Alien
22063	Faroe Islands	FO	Present	Alien
22064	Faroe Islands	FO	Present	Alien
22065	Faroe Islands	FO	Present	Alien
22066	Faroe Islands	FO	Present	Alien
22067	Faroe Islands	FO	Present	Alien
22068	Faroe Islands	FO	Present	Alien
22069	Faroe Islands	FO	Present	Alien
22070	Faroe Islands	FO	Present	Alien
22071	Faroe Islands	FO	Present	Alien
22072	Faroe Islands	FO	Present	Alien
22073	Faroe Islands	FO	Present	Alien
22074	Faroe Islands	FO	Present	Alien
22075	Faroe Islands	FO	Present	Alien
22076	Faroe Islands	FO	Present	Alien
22077	Faroe Islands	FO	Present	Alien
22078	Faroe Islands	FO	Present	Alien
22079	Faroe Islands	FO	Present	Alien
22080	Faroe Islands	FO	Present	Alien
22081	Faroe Islands	FO	Present	Alien
22082	Faroe Islands	FO	Present	Alien
22083	Faroe Islands	FO	Present	Alien
22084	Faroe Islands	FO	Present	Alien
22085	Faroe Islands	FO	Present	Alien
22086	Faroe Islands	FO	Present	Alien
22087	Faroe Islands	FO	Present	Alien
22088	Faroe Islands	FO	Present	Alien
22089	Faroe Islands	FO	Present	Alien
22090	Faroe Islands	FO	Present	Alien
22091	Faroe Islands	FO	Present	Alien
22092	Faroe Islands	FO	Present	Alien
22093	Faroe Islands	FO	Present	Alien
22094	Faroe Islands	FO	Present	Alien
22095	Faroe Islands	FO	Present	Alien
22096	Faroe Islands	FO	Present	Alien
22097	Faroe Islands	FO	Present	Alien
22098	Faroe Islands	FO	Present	Alien
22099	Faroe Islands	FO	Present	Alien
22100	Faroe Islands	FO	Present	Alien
22101	Faroe Islands	FO	Present	Alien
22102	Faroe Islands	FO	Present	Alien
22103	Faroe Islands	FO	Present	Alien
22104	Faroe Islands	FO	Present	Alien
22105	Faroe Islands	FO	Present	Alien
22106	Faroe Islands	FO	Present	Alien
22107	Faroe Islands	FO	Present	Alien
22108	Faroe Islands	FO	Present	Alien
22109	Faroe Islands	FO	Present	Alien
22110	Faroe Islands	FO	Present	Alien
22111	Faroe Islands	FO	Present	Alien
22112	Faroe Islands	FO	Present	Alien
22113	Faroe Islands	FO	Present	Alien
22114	Faroe Islands	FO	Present	Alien
22115	Faroe Islands	FO	Present	Alien
22116	Faroe Islands	FO	Present	Alien
22117	Faroe Islands	FO	Present	Alien
22118	Faroe Islands	FO	Present	Alien
22119	Faroe Islands	FO	Present	Alien
22120	Faroe Islands	FO	Present	Alien
22121	Faroe Islands	FO	Present	Alien
22122	Faroe Islands	FO	Present	Alien
22123	Faroe Islands	FO	Present	Alien
22124	Faroe Islands	FO	Present	Alien
22125	Faroe Islands	FO	Present	Alien
22126	Faroe Islands	FO	Present	Alien
22127	Faroe Islands	FO	Present	Alien
22128	Faroe Islands	FO	Present	Alien
22129	Faroe Islands	FO	Present	Alien
22130	Faroe Islands	FO	Present	Alien
22131	Faroe Islands	FO	Present	Alien
22132	Faroe Islands	FO	Present	Alien
22133	Faroe Islands	FO	Present	Alien
22134	Faroe Islands	FO	Present	Alien
22135	Faroe Islands	FO	Present	Alien
22136	Faroe Islands	FO	Present	Alien
22137	Faroe Islands	FO	Present	Alien
22138	Faroe Islands	FO	Present	Alien
22139	Faroe Islands	FO	Present	Alien
22140	Faroe Islands	FO	Present	Alien
22141	Faroe Islands	FO	Present	Alien
22142	Faroe Islands	FO	Present	Alien
22143	Faroe Islands	FO	Present	Alien
22144	Faroe Islands	FO	Present	Alien
22145	Faroe Islands	FO	Present	Alien
