id	isInvasive	habitat
48932	Invasive	Terrestrial
48933	Invasive	Terrestrial
48934	Invasive	Terrestrial
48935	Null	Terrestrial
48936	Invasive	Terrestrial
48937	Null	Terrestrial
48938	Null	Terrestrial
48939	Invasive	Terrestrial
48940	Invasive	Terrestrial
48941	Invasive	Marine
48942	Invasive	Terrestrial
48943	Invasive	Terrestrial
48944	Invasive	Terrestrial
48945	Invasive	Terrestrial
48946	Invasive	Terrestrial
48947	Invasive	Terrestrial|Freshwater
48948	Null	Terrestrial
48949	Invasive	Terrestrial
48950	Invasive	Terrestrial
48951	Invasive	Terrestrial
48952	Invasive	Terrestrial
48953	Invasive	Terrestrial
48954	Invasive	Terrestrial
48955	Null	Terrestrial
48956	Null	Terrestrial
48957	Invasive	Terrestrial
48958	Null	Terrestrial
48959	Null	Terrestrial
48960	Invasive	Terrestrial
48961	Invasive	Terrestrial
48962	Null	Terrestrial
48963	Invasive	Terrestrial
48964	Null	Terrestrial
48965	Null	Terrestrial
48966	Null	Terrestrial
48967	Invasive	Terrestrial|Freshwater
48968	Null	Terrestrial
48969	Invasive	Terrestrial
48970	Invasive	Terrestrial
48971	Invasive	Terrestrial
48972	Invasive	Terrestrial
48973	Null	Terrestrial
48974	Invasive	Terrestrial
48975	Null	Terrestrial
48976	Null	Terrestrial
48977	Null	Terrestrial
48978	Invasive	Terrestrial
48979	Null	Terrestrial
48980	Null	Terrestrial
48981	Null	Terrestrial
48982	Invasive	Terrestrial
48983	Invasive	Terrestrial
48984	Null	Host
48985	Null	Terrestrial
48986	Null	Terrestrial
48987	Null	Terrestrial
48988	Null	Terrestrial
48989	Invasive	Terrestrial
48990	Invasive	Terrestrial
48991	Invasive	Terrestrial
48992	Invasive	Terrestrial
48993	Null	Terrestrial
48994	Invasive	Terrestrial
48995	Null	Terrestrial
48996	Invasive	Terrestrial
48997	Invasive	Terrestrial
48998	Null	Terrestrial
48999	Invasive	Terrestrial
49000	Invasive	Host
49001	Invasive	Terrestrial
49002	Null	Terrestrial
49003	Null	Terrestrial
49004	Null	Terrestrial
49005	Null	Terrestrial
49006	Null	Terrestrial
49007	Invasive	Terrestrial
49008	Null	Terrestrial
49009	Null	Terrestrial
49010	Null	Terrestrial
49011	Null	Terrestrial
49012	Invasive	Terrestrial
49013	Null	Terrestrial
49014	Null	Terrestrial
49015	Null	Terrestrial
49016	Null	Terrestrial
