id	locationID	countryCode	occurrenceStatus	establishmentMeans
105000	Finland	FI	Present	Alien
105001	Finland	FI	Present	Alien
105002	Finland	FI	Present	Alien
105003	Finland	FI	Present	Alien
105004	Finland	FI	Present	Alien
105005	Finland	FI	Present	Alien
105006	Finland	FI	Present	Alien
105007	Finland	FI	Present	Alien
105008	Finland	FI	Present	Alien
105009	Finland	FI	Present	Alien
105010	Finland	FI	Present	Alien
105011	Finland	FI	Present	Alien
105012	Finland	FI	Present	Alien
105013	Finland	FI	Present	Alien
105014	Finland	FI	Present	Alien
105015	Finland	FI	Present	Alien
105016	Finland	FI	Present	Alien
105017	Finland	FI	Present	Alien
105018	Finland	FI	Present	Alien
105019	Finland	FI	Present	Alien
105020	Finland	FI	Present	Alien
105021	Finland	FI	Present	Alien
105022	Finland	FI	Present	Alien
105023	Finland	FI	Present	Alien
105024	Finland	FI	Present	Alien
105025	Finland	FI	Present	Alien
105026	Finland	FI	Present	Alien
105027	Finland	FI	Present	Alien
105028	Finland	FI	Present	Alien
105029	Finland	FI	Present	Alien
105030	Finland	FI	Present	Alien
105031	Finland	FI	Present	Alien
105032	Finland	FI	Present	Alien
105033	Finland	FI	Present	Alien
105034	Finland	FI	Present	Alien
105035	Finland	FI	Present	Alien
105036	Finland	FI	Present	Alien
105037	Finland	FI	Present	Alien
105038	Finland	FI	Present	Alien
105039	Finland	FI	Present	Alien
105040	Finland	FI	Present	Alien
105041	Finland	FI	Present	Alien
105042	Finland	FI	Present	Alien
105043	Finland	FI	Present	Alien
105044	Finland	FI	Present	Alien
105045	Finland	FI	Present	Alien
105046	Finland	FI	Present	Alien
105047	Finland	FI	Present	Alien
105048	Finland	FI	Present	Alien
105049	Finland	FI	Present	Alien
105050	Finland	FI	Present	Alien
105051	Finland	FI	Present	Alien
105052	Finland	FI	Present	Alien
105053	Finland	FI	Present	Alien
105054	Finland	FI	Present	Alien
105055	Finland	FI	Present	Alien
105056	Finland	FI	Present	Alien
105057	Finland	FI	Present	Alien
105058	Finland	FI	Present	Alien
105059	Finland	FI	Present	Alien
105060	Finland	FI	Present	Alien
105061	Finland	FI	Present	Alien
105062	Finland	FI	Present	Alien
105063	Finland	FI	Present	Alien
105064	Finland	FI	Present	Alien
105065	Finland	FI	Present	Alien
105066	Finland	FI	Present	Alien
105067	Finland	FI	Present	Alien
105068	Finland	FI	Present	Alien
105069	Finland	FI	Present	Alien
105070	Finland	FI	Present	Alien
105071	Finland	FI	Present	Alien
105072	Finland	FI	Present	Alien
105073	Finland	FI	Present	Alien
105074	Finland	FI	Present	Alien
105075	Finland	FI	Present	Alien
105076	Finland	FI	Present	Alien
105077	Finland	FI	Present	Alien
105078	Finland	FI	Present	Alien
105079	Finland	FI	Present	Alien
105080	Finland	FI	Present	Alien
105081	Finland	FI	Present	Alien
105082	Finland	FI	Present	Alien
105083	Finland	FI	Present	Alien
105084	Finland	FI	Present	Alien
105085	Finland	FI	Present	Alien
105086	Finland	FI	Present	Alien
105087	Finland	FI	Present	Alien
105088	Finland	FI	Present	Alien
105089	Finland	FI	Present	Alien
105090	Finland	FI	Present	Alien
105091	Finland	FI	Present	Alien
105092	Finland	FI	Present	Alien
105093	Finland	FI	Present	Alien
105094	Finland	FI	Present	Alien
105095	Finland	FI	Present	Alien
105096	Finland	FI	Present	Alien
105097	Finland	FI	Present	Alien
105098	Finland	FI	Present	Alien
105099	Finland	FI	Present	Alien
105100	Finland	FI	Present	Alien
105101	Finland	FI	Present	Alien
105102	Finland	FI	Present	Alien
105103	Finland	FI	Present	Alien
105104	Finland	FI	Present	Alien
105105	Finland	FI	Present	Alien
105106	Finland	FI	Present	Alien
105107	Finland	FI	Present	Alien
