id	locationID	countryCode	occurrenceStatus	establishmentMeans
160000	French Guiana	GF	Present	Alien
160001	French Guiana	GF	Present	Alien
160002	French Guiana	GF	Present	Alien
160003	French Guiana	GF	Present	Alien
160004	French Guiana	GF	Present	Alien
160005	French Guiana	GF	Present	Alien
160006	French Guiana	GF	Present	Alien
160007	French Guiana	GF	Present	Alien
160008	French Guiana	GF	Present	Alien
160009	French Guiana	GF	Present	Alien
160010	French Guiana	GF	Present	Alien
160011	French Guiana	GF	Present	Alien
160012	French Guiana	GF	Present	Alien
160013	French Guiana	GF	Present	Alien
160014	French Guiana	GF	Present	Alien
160015	French Guiana	GF	Present	Alien
160016	French Guiana	GF	Present	Alien
160017	French Guiana	GF	Present	Alien
160018	French Guiana	GF	Present	Alien
160019	French Guiana	GF	Present	Alien
160020	French Guiana	GF	Present	Alien
160021	French Guiana	GF	Present	Alien
160022	French Guiana	GF	Present	Alien
160023	French Guiana	GF	Present	Alien
160024	French Guiana	GF	Present	Alien
160025	French Guiana	GF	Present	Alien
160026	French Guiana	GF	Present	Alien
160027	French Guiana	GF	Present	Alien
160028	French Guiana	GF	Present	Alien
160029	French Guiana	GF	Present	Alien
160030	French Guiana	GF	Present	Alien
160031	French Guiana	GF	Present	Alien
160032	French Guiana	GF	Present	Alien
160033	French Guiana	GF	Present	Alien
160034	French Guiana	GF	Present	Alien
160035	French Guiana	GF	Present	Alien
160036	French Guiana	GF	Present	Alien
160037	French Guiana	GF	Present	Alien
160038	French Guiana	GF	Present	Alien
160039	French Guiana	GF	Present	Alien
160040	French Guiana	GF	Present	Alien
160041	French Guiana	GF	Present	Alien
160042	French Guiana	GF	Present	Alien
160043	French Guiana	GF	Present	Alien
160044	French Guiana	GF	Present	Alien
160045	French Guiana	GF	Present	Alien
160046	French Guiana	GF	Present	Alien
160047	French Guiana	GF	Present	Alien
160048	French Guiana	GF	Present	Alien
160049	French Guiana	GF	Present	Alien
160050	French Guiana	GF	Present	Alien
160051	French Guiana	GF	Present	Alien
160052	French Guiana	GF	Present	Alien
160053	French Guiana	GF	Present	Alien
