id	locationID	countryCode	occurrenceStatus	establishmentMeans
49525	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49526	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49527	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49528	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49529	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49530	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49531	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49532	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49533	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49534	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49535	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49536	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49537	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49538	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49539	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49540	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49541	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49542	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49543	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49544	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49545	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49546	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49547	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49548	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49549	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49550	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49551	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49552	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49553	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49554	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49555	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49556	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49557	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49558	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49559	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49560	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49561	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49562	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49563	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49564	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49565	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49566	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49567	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49568	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49569	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49570	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49571	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49572	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49573	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49574	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49575	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49576	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49577	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49578	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49579	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49580	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49581	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49582	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49583	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49584	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49585	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49586	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49587	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49588	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49589	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49590	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49591	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49592	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49593	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49594	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49595	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49596	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49597	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49598	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49599	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49600	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49601	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49602	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49603	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49604	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49605	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49606	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49607	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49608	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49609	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49610	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49611	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49612	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49613	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49614	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49615	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49616	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49617	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49618	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49619	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49620	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
49621	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Cryptogenic|Uncertain	Present
49622	French Southern and Antarctic Territories (TAAF) - Scattered Islands -Îles Éparses	TF	Alien	Present
