id	isInvasive
43313	Invasive
43314	Invasive
43315	Invasive
43316	Null
43317	Invasive
43318	Null
43319	Null
43320	Invasive
43321	Null
43322	Invasive
43323	Null
43324	Invasive
43325	Null
43326	Null
43327	Invasive
43328	Invasive
43329	Null
43330	Null
43331	Null
43332	Null
43333	Null
43334	Null
43335	Null
43336	Null
43337	Null
43338	Null
43339	Null
43340	Null
43341	Null
43342	Invasive
43343	Invasive
43344	Null
43345	Null
43346	Null
43347	Invasive
43348	Null
43349	Null
43350	Invasive
43351	Null
43352	Invasive
43353	Null
43354	Invasive
43355	Invasive
43356	Null
43357	Null
43358	Null
43359	Invasive
43360	Null
43361	Null
43362	Null
43363	Null
43364	Null
43365	Invasive
43366	Invasive
43367	Null
43368	Null
43369	Null
43370	Null
43371	Null
43372	Null
43373	Null
43374	Null
43375	Null
43376	Null
43377	Null
43378	Null
43379	Null
43380	Null
43381	Invasive
43382	Invasive
43383	Invasive
43384	Invasive
43385	Null
43386	Null
43387	Null
43388	Null
43389	Null
43390	Null
43391	Invasive
43392	Null
43393	Null
43394	Null
43395	Null
43396	Null
43397	Null
43398	Null
43399	Null
43400	Invasive
43401	Null
43402	Null
43403	Null
43404	Null
43405	Null
43406	Null
43407	Null
43408	Null
43409	Null
43410	Null
43411	Invasive
43412	Null
43413	Null
43414	Invasive
43415	Null
43416	Invasive
43417	Null
43418	Null
43419	Null
43420	Null
43421	Null
43422	Null
43423	Null
43424	Null
43425	Null
43426	Null
43427	Null
43428	Null
43429	Null
43430	Null
43431	Null
43432	Null
43433	Invasive
43434	Null
43435	Null
43436	Null
43437	Null
43438	Null
43439	Null
43440	Invasive
43441	Invasive
43442	Null
43443	Null
43444	Null
43445	Null
43446	Null
43447	Null
43448	Null
43449	Null
43450	Null
43451	Invasive
43452	Null
43453	Null
43454	Null
43455	Null
43456	Null
43457	Null
43458	Null
43459	Invasive
43460	Null
43461	Null
43462	Null
43463	Null
43464	Null
43465	Null
43466	Null
43467	Null
43468	Invasive
43469	Null
43470	Invasive
43471	Null
43472	Null
43473	Invasive
43474	Null
43475	Null
43476	Invasive
43477	Null
43478	Invasive
43479	Null
43480	Null
43481	Null
43482	Null
43483	Null
43484	Null
43485	Null
43486	Null
43487	Null
43488	Null
43489	Null
43490	Null
43491	Null
43492	Null
43493	Invasive
43494	Invasive
43495	Null
43496	Null
43497	Null
43498	Null
43499	Null
43500	Invasive
43501	Null
43502	Null
43503	Null
43504	Null
43505	Null
43506	Null
43507	Invasive
43508	Null
43509	Null
43510	Invasive
43511	Null
43512	Null
43513	Null
43514	Null
43515	Null
43516	Null
43517	Null
43518	Null
43519	Null
43520	Null
43521	Null
43522	Null
43523	Null
43524	Invasive
43525	Invasive
43526	Invasive
43527	Null
43528	Null
43529	Null
43530	Invasive
43531	Null
43532	Null
43533	Null
43534	Null
43535	Invasive
43536	Null
43537	Null
43538	Null
43539	Null
43540	Null
43541	Null
43542	Null
43543	Null
43544	Invasive
43545	Invasive
43546	Invasive
43547	Invasive
43548	Null
43549	Null
43550	Invasive
43551	Null
43552	Null
43553	Null
43554	Invasive
43555	Null
43556	Null
43557	Invasive
43558	Null
43559	Null
43560	Null
43561	Null
43562	Null
43563	Invasive
43564	Invasive
43565	Invasive
43566	Invasive
43567	Invasive
43568	Invasive
43569	Null
43570	Invasive
43571	Null
43572	Null
43573	Null
43574	Null
43575	Null
43576	Null
43577	Null
43578	Invasive
43579	Invasive
43580	Invasive
43581	Invasive
43582	Invasive
43583	Null
43584	Invasive
43585	Invasive
43586	Null
43587	Null
43588	Invasive
43589	Null
43590	Null
43591	Null
43592	Invasive
43593	Null
43594	Invasive
43595	Null
43596	Invasive
43597	Null
43598	Null
43599	Null
43600	Null
43601	Null
43602	Null
43603	Null
43604	Null
43605	Null
43606	Null
43607	Null
43608	Null
43609	Null
43610	Null
43611	Null
43612	Null
43613	Null
43614	Invasive
43615	Null
43616	Null
43617	Null
43618	Null
43619	Null
43620	Null
43621	Null
43622	Null
43623	Invasive
43624	Null
43625	Invasive
43626	Invasive
43627	Invasive
43628	Null
43629	Null
43630	Invasive
43631	Invasive
43632	Null
43633	Null
43634	Null
43635	Null
43636	Null
43637	Invasive
43638	Null
43639	Null
43640	Invasive
43641	Null
43642	Null
43643	Null
43644	Null
43645	Null
43646	Null
43647	Null
43648	Null
43649	Null
43650	Null
43651	Null
