id	countryCode	occurrenceStatus	establishmentMeans
28708	EC-W	Present	Alien
28709	EC-W	Present	Alien
28710	EC-W	Present	Alien
28711	EC-W	Present	Alien
28712	EC-W	Present	Alien
28713	EC-W	Present	Alien
28714	EC-W	Present	Alien
28715	EC-W	Present	Alien
28716	EC-W	Present	Alien
28717	EC-W	Present	Alien
28718	EC-W	Present	Alien
28719	EC-W	Present	Alien
28720	EC-W	Present	Alien
28721	EC-W	Present	Alien
28722	EC-W	Present	Alien
28723	EC-W	Present	Alien
28724	EC-W	Present	Alien
28725	EC-W	Present	Alien
28726	EC-W	Present	Alien
28727	EC-W	Present	Alien
28728	EC-W	Present	Alien
28729	EC-W	Present	Alien
28730	EC-W	Present	Alien
28731	EC-W	Present	Alien
28732	EC-W	Present	Alien
28733	EC-W	Present	Alien
28734	EC-W	Present	Alien
28735	EC-W	Present	Alien
28736	EC-W	Present	Alien
28737	EC-W	Present	Alien
28738	EC-W	Present	Alien
28739	EC-W	Present	Alien
28740	EC-W	Present	Alien
28741	EC-W	Present	Alien
28742	EC-W	Present	Alien
28743	EC-W	Present	Alien
28744	EC-W	Present	Alien
28745	EC-W	Present	Alien
28746	EC-W	Present	Alien
28747	EC-W	Present	Alien
28748	EC-W	Present	Alien
28749	EC-W	Present	Alien
28750	EC-W	Present	Alien
28751	EC-W	Present	Alien
28752	EC-W	Present	Alien
28753	EC-W	Present	Alien
28754	EC-W	Present	Alien
28755	EC-W	Present	Alien
28756	EC-W	Present	Alien
28757	EC-W	Present	Alien
28758	EC-W	Present	Alien
28759	EC-W	Present	Alien
28760	EC-W	Present	Alien
28761	EC-W	Present	Alien
28762	EC-W	Present	Alien
28763	EC-W	Present	Alien
28764	EC-W	Present	Alien
28765	EC-W	Present	Alien
28766	EC-W	Present	Alien
28767	EC-W	Present	Alien
28768	EC-W	Present	Alien
28769	EC-W	Present	Alien
28770	EC-W	Present	Alien
28771	EC-W	Present	Alien
28772	EC-W	Present	Alien
28773	EC-W	Present	Alien
28774	EC-W	Present	Alien
28775	EC-W	Present	Alien
28776	EC-W	Present	Alien
28777	EC-W	Present	Alien
28778	EC-W	Present	Alien
28779	EC-W	Present	Alien
28780	EC-W	Present	Alien
28781	EC-W	Present	Alien
28782	EC-W	Present	Alien
28783	EC-W	Present	Alien
28784	EC-W	Present	Alien
28785	EC-W	Present	Alien
28786	EC-W	Present	Alien
28787	EC-W	Present	Alien
28788	EC-W	Present	Alien
28789	EC-W	Present	Alien
28790	EC-W	Present	Alien
28791	EC-W	Present	Alien
28792	EC-W	Present	Alien
28793	EC-W	Present	Alien
28794	EC-W	Present	Alien
28795	EC-W	Present	Alien
28796	EC-W	Present	Alien
28797	EC-W	Present	Alien
28798	EC-W	Present	Alien
28799	EC-W	Present	Alien
28800	EC-W	Present	Alien
28801	EC-W	Present	Alien
28802	EC-W	Present	Alien
28803	EC-W	Present	Alien
28804	EC-W	Present	Alien
28805	EC-W	Present	Alien
28806	EC-W	Present	Alien
28807	EC-W	Present	Alien
28808	EC-W	Present	Alien
28809	EC-W	Present	Alien
28810	EC-W	Present	Alien
28811	EC-W	Present	Alien
28812	EC-W	Present	Alien
28813	EC-W	Present	Alien
28814	EC-W	Present	Alien
28815	EC-W	Present	Alien
28816	EC-W	Present	Alien
28817	EC-W	Present	Alien
28818	EC-W	Present	Alien
28819	EC-W	Present	Alien
28820	EC-W	Present	Alien
28821	EC-W	Present	Alien
28822	EC-W	Present	Alien
28823	EC-W	Present	Alien
28824	EC-W	Present	Alien
28825	EC-W	Present	Alien
28826	EC-W	Present	Alien
28827	EC-W	Present	Alien
28828	EC-W	Present	Alien
28829	EC-W	Present	Alien
28830	EC-W	Present	Alien
28831	EC-W	Present	Alien
28832	EC-W	Present	Alien
28833	EC-W	Present	Alien
28834	EC-W	Present	Alien
28835	EC-W	Present	Alien
28836	EC-W	Present	Alien
28837	EC-W	Present	Alien
28838	EC-W	Present	Alien
28839	EC-W	Present	Alien
28840	EC-W	Present	Alien
28841	EC-W	Present	Alien
28842	EC-W	Present	Alien
28843	EC-W	Present	Alien
28844	EC-W	Present	Alien
28845	EC-W	Present	Alien
28846	EC-W	Present	Alien
28847	EC-W	Present	Alien
28848	EC-W	Present	Alien
28849	EC-W	Present	Alien
28850	EC-W	Present	Alien
28851	EC-W	Present	Alien
28852	EC-W	Present	Alien
28853	EC-W	Present	Alien
28854	EC-W	Present	Alien
28855	EC-W	Present	Alien
28856	EC-W	Present	Alien
28857	EC-W	Present	Alien
28858	EC-W	Present	Alien
28859	EC-W	Present	Alien
28860	EC-W	Present	Alien
28861	EC-W	Present	Alien
28862	EC-W	Present	Alien
28863	EC-W	Present	Alien
28864	EC-W	Present	Alien
28865	EC-W	Present	Alien
28866	EC-W	Present	Alien
28867	EC-W	Present	Alien
28868	EC-W	Present	Alien
28869	EC-W	Present	Alien
28870	EC-W	Present	Alien
28871	EC-W	Present	Alien
28872	EC-W	Present	Alien
28873	EC-W	Present	Alien
28874	EC-W	Present	Alien
28875	EC-W	Present	Alien
28876	EC-W	Present	Alien
28877	EC-W	Present	Alien
28878	EC-W	Present	Alien
28879	EC-W	Present	Alien
28880	EC-W	Present	Alien
28881	EC-W	Present	Alien
28882	EC-W	Present	Alien
28883	EC-W	Present	Alien
28884	EC-W	Present	Alien
28885	EC-W	Present	Alien
28886	EC-W	Present	Alien
28887	EC-W	Present	Alien
28888	EC-W	Present	Alien
28889	EC-W	Present	Alien
28890	EC-W	Present	Alien
28891	EC-W	Present	Alien
28892	EC-W	Present	Alien
28893	EC-W	Present	Alien
28894	EC-W	Present	Alien
28895	EC-W	Present	Alien
28896	EC-W	Present	Alien
28897	EC-W	Present	Alien
28898	EC-W	Present	Alien
28899	EC-W	Present	Alien
28900	EC-W	Present	Alien
28901	EC-W	Present	Alien
28902	EC-W	Present	Alien
28903	EC-W	Present	Alien
28904	EC-W	Present	Alien
28905	EC-W	Present	Alien
28906	EC-W	Present	Alien
28907	EC-W	Present	Alien
28908	EC-W	Present	Alien
28909	EC-W	Present	Alien
28910	EC-W	Present	Alien
28911	EC-W	Present	Alien
28912	EC-W	Present	Alien
28913	EC-W	Present	Alien
28914	EC-W	Present	Alien
28915	EC-W	Present	Alien
28916	EC-W	Present	Alien
28917	EC-W	Present	Alien
28918	EC-W	Present	Alien
28919	EC-W	Present	Alien
28920	EC-W	Present	Alien
28921	EC-W	Present	Alien
28922	EC-W	Present	Alien
28923	EC-W	Present	Alien
28924	EC-W	Present	Alien
28925	EC-W	Present	Alien
28926	EC-W	Present	Alien
28927	EC-W	Present	Alien
28928	EC-W	Present	Alien
28929	EC-W	Present	Alien
28930	EC-W	Present	Alien
28931	EC-W	Present	Alien
28932	EC-W	Present	Alien
28933	EC-W	Present	Alien
28934	EC-W	Present	Alien
28935	EC-W	Present	Alien
28936	EC-W	Present	Alien
28937	EC-W	Present	Alien
28938	EC-W	Present	Alien
28939	EC-W	Present	Alien
28940	EC-W	Present	Alien
28941	EC-W	Present	Alien
28942	EC-W	Present	Alien
28943	EC-W	Present	Alien
28944	EC-W	Present	Alien
28945	EC-W	Present	Alien
28946	EC-W	Present	Alien
28947	EC-W	Present	Alien
28948	EC-W	Present	Alien
28949	EC-W	Present	Alien
28950	EC-W	Present	Alien
28951	EC-W	Present	Alien
28952	EC-W	Present	Alien
28953	EC-W	Present	Alien
28954	EC-W	Present	Alien
28955	EC-W	Present	Alien
28956	EC-W	Present	Alien
28957	EC-W	Present	Alien
28958	EC-W	Present	Alien
28959	EC-W	Present	Alien
28960	EC-W	Present	Alien
28961	EC-W	Present	Alien
28962	EC-W	Present	Alien
28963	EC-W	Present	Alien
28964	EC-W	Present	Alien
28965	EC-W	Present	Alien
28966	EC-W	Present	Alien
28967	EC-W	Present	Alien
28968	EC-W	Present	Alien
28969	EC-W	Present	Alien
28970	EC-W	Present	Alien
28971	EC-W	Present	Alien
28972	EC-W	Present	Alien
28973	EC-W	Present	Alien
28974	EC-W	Present	Alien
28975	EC-W	Present	Alien
28976	EC-W	Present	Alien
28977	EC-W	Present	Alien
28978	EC-W	Present	Alien
28979	EC-W	Present	Alien
28980	EC-W	Present	Alien
28981	EC-W	Present	Alien
28982	EC-W	Present	Alien
28983	EC-W	Present	Alien
28984	EC-W	Present	Alien
28985	EC-W	Present	Alien
28986	EC-W	Present	Alien
28987	EC-W	Present	Alien
28988	EC-W	Present	Alien
28989	EC-W	Present	Alien
28990	EC-W	Present	Alien
28991	EC-W	Present	Alien
28992	EC-W	Present	Alien
28993	EC-W	Present	Alien
28994	EC-W	Present	Alien
28995	EC-W	Present	Alien
28996	EC-W	Present	Alien
28997	EC-W	Present	Alien
28998	EC-W	Present	Alien
28999	EC-W	Present	Alien
29000	EC-W	Present	Alien
29001	EC-W	Present	Alien
29002	EC-W	Present	Alien
29003	EC-W	Present	Alien
29004	EC-W	Present	Alien
29005	EC-W	Present	Alien
29006	EC-W	Present	Alien
29007	EC-W	Present	Alien
29008	EC-W	Present	Alien
29009	EC-W	Present	Alien
29010	EC-W	Present	Alien
29011	EC-W	Present	Alien
29012	EC-W	Present	Alien
29013	EC-W	Present	Alien
29014	EC-W	Present	Alien
29015	EC-W	Present	Alien
29016	EC-W	Present	Alien
29017	EC-W	Present	Alien
29018	EC-W	Present	Alien
29019	EC-W	Present	Alien
29020	EC-W	Present	Alien
29021	EC-W	Present	Alien
29022	EC-W	Present	Alien
29023	EC-W	Present	Alien
29024	EC-W	Present	Alien
29025	EC-W	Present	Alien
29026	EC-W	Present	Alien
29027	EC-W	Present	Alien
29028	EC-W	Present	Alien
29029	EC-W	Present	Alien
29030	EC-W	Present	Alien
29031	EC-W	Present	Alien
29032	EC-W	Present	Alien
29033	EC-W	Present	Alien
29034	EC-W	Present	Alien
29035	EC-W	Present	Alien
29036	EC-W	Present	Alien
29037	EC-W	Present	Alien
29038	EC-W	Present	Alien
29039	EC-W	Present	Alien
29040	EC-W	Present	Alien
29041	EC-W	Present	Alien
29042	EC-W	Present	Alien
29043	EC-W	Present	Alien
29044	EC-W	Present	Alien
29045	EC-W	Present	Alien
29046	EC-W	Present	Alien
29047	EC-W	Present	Alien
29048	EC-W	Present	Alien
29049	EC-W	Present	Alien
29050	EC-W	Present	Alien
29051	EC-W	Present	Alien
29052	EC-W	Present	Alien
29053	EC-W	Present	Alien
29054	EC-W	Present	Alien
29055	EC-W	Present	Alien
29056	EC-W	Present	Alien
29057	EC-W	Present	Alien
29058	EC-W	Present	Alien
29059	EC-W	Present	Alien
29060	EC-W	Present	Alien
29061	EC-W	Present	Alien
29062	EC-W	Present	Alien
29063	EC-W	Present	Alien
29064	EC-W	Present	Alien
29065	EC-W	Present	Alien
29066	EC-W	Present	Alien
29067	EC-W	Present	Alien
29068	EC-W	Present	Alien
29069	EC-W	Present	Alien
29070	EC-W	Present	Alien
29071	EC-W	Present	Alien
29072	EC-W	Present	Alien
29073	EC-W	Present	Alien
29074	EC-W	Present	Alien
29075	EC-W	Present	Alien
29076	EC-W	Present	Alien
29077	EC-W	Present	Alien
29078	EC-W	Present	Alien
29079	EC-W	Present	Alien
29080	EC-W	Present	Alien
29081	EC-W	Present	Alien
29082	EC-W	Present	Alien
29083	EC-W	Present	Alien
29084	EC-W	Present	Alien
29085	EC-W	Present	Alien
29086	EC-W	Present	Alien
29087	EC-W	Present	Alien
29088	EC-W	Present	Alien
29089	EC-W	Present	Alien
29090	EC-W	Present	Alien
29091	EC-W	Present	Alien
29092	EC-W	Present	Alien
29093	EC-W	Present	Alien
29094	EC-W	Present	Alien
29095	EC-W	Present	Alien
29096	EC-W	Present	Alien
29097	EC-W	Present	Alien
29098	EC-W	Present	Alien
29099	EC-W	Present	Alien
29100	EC-W	Present	Alien
29101	EC-W	Present	Alien
29102	EC-W	Present	Alien
29103	EC-W	Present	Alien
29104	EC-W	Present	Alien
29105	EC-W	Present	Alien
29106	EC-W	Present	Alien
29107	EC-W	Present	Alien
29108	EC-W	Present	Alien
29109	EC-W	Present	Alien
29110	EC-W	Present	Alien
29111	EC-W	Present	Alien
29112	EC-W	Present	Alien
29113	EC-W	Present	Alien
29114	EC-W	Present	Alien
29115	EC-W	Present	Alien
29116	EC-W	Present	Alien
29117	EC-W	Present	Alien
29118	EC-W	Present	Alien
29119	EC-W	Present	Alien
29120	EC-W	Present	Alien
29121	EC-W	Present	Alien
29122	EC-W	Present	Alien
29123	EC-W	Present	Alien
29124	EC-W	Present	Alien
29125	EC-W	Present	Alien
29126	EC-W	Present	Alien
29127	EC-W	Present	Alien
29128	EC-W	Present	Alien
29129	EC-W	Present	Alien
29130	EC-W	Present	Alien
29131	EC-W	Present	Alien
29132	EC-W	Present	Alien
29133	EC-W	Present	Alien
29134	EC-W	Present	Alien
29135	EC-W	Present	Alien
29136	EC-W	Present	Alien
29137	EC-W	Present	Alien
29138	EC-W	Present	Alien
29139	EC-W	Present	Alien
29140	EC-W	Present	Alien
29141	EC-W	Present	Alien
29142	EC-W	Present	Alien
29143	EC-W	Present	Alien
29144	EC-W	Present	Alien
29145	EC-W	Present	Alien
29146	EC-W	Present	Alien
29147	EC-W	Present	Alien
29148	EC-W	Present	Alien
29149	EC-W	Present	Alien
29150	EC-W	Present	Alien
29151	EC-W	Present	Alien
29152	EC-W	Present	Alien
29153	EC-W	Present	Alien
29154	EC-W	Present	Alien
29155	EC-W	Present	Alien
29156	EC-W	Present	Alien
29157	EC-W	Present	Alien
29158	EC-W	Present	Alien
29159	EC-W	Present	Alien
29160	EC-W	Present	Alien
29161	EC-W	Present	Alien
29162	EC-W	Present	Alien
29163	EC-W	Present	Alien
29164	EC-W	Present	Alien
29165	EC-W	Present	Alien
29166	EC-W	Present	Alien
29167	EC-W	Present	Alien
29168	EC-W	Present	Alien
29169	EC-W	Present	Alien
29170	EC-W	Present	Alien
29171	EC-W	Present	Alien
29172	EC-W	Present	Alien
29173	EC-W	Present	Alien
29174	EC-W	Present	Alien
29175	EC-W	Present	Alien
29176	EC-W	Present	Alien
29177	EC-W	Present	Alien
29178	EC-W	Present	Alien
29179	EC-W	Present	Alien
29180	EC-W	Present	Alien
29181	EC-W	Present	Alien
29182	EC-W	Present	Alien
29183	EC-W	Present	Alien
29184	EC-W	Present	Alien
29185	EC-W	Present	Alien
29186	EC-W	Present	Alien
29187	EC-W	Present	Alien
29188	EC-W	Present	Alien
29189	EC-W	Present	Alien
29190	EC-W	Present	Alien
29191	EC-W	Present	Alien
29192	EC-W	Present	Alien
29193	EC-W	Present	Alien
29194	EC-W	Present	Alien
29195	EC-W	Present	Alien
29196	EC-W	Present	Alien
29197	EC-W	Present	Alien
29198	EC-W	Present	Alien
29199	EC-W	Present	Alien
29200	EC-W	Present	Alien
29201	EC-W	Present	Alien
29202	EC-W	Present	Alien
29203	EC-W	Present	Alien
29204	EC-W	Present	Alien
29205	EC-W	Present	Alien
29206	EC-W	Present	Alien
29207	EC-W	Present	Alien
29208	EC-W	Present	Alien
29209	EC-W	Present	Alien
29210	EC-W	Present	Alien
29211	EC-W	Present	Alien
29212	EC-W	Present	Alien
29213	EC-W	Present	Alien
29214	EC-W	Present	Alien
29215	EC-W	Present	Alien
29216	EC-W	Present	Alien
29217	EC-W	Present	Alien
29218	EC-W	Present	Alien
29219	EC-W	Present	Alien
29220	EC-W	Present	Alien
29221	EC-W	Present	Alien
29222	EC-W	Present	Alien
29223	EC-W	Present	Alien
29224	EC-W	Present	Alien
29225	EC-W	Present	Alien
29226	EC-W	Present	Alien
29227	EC-W	Present	Alien
29228	EC-W	Present	Alien
29229	EC-W	Present	Alien
29230	EC-W	Present	Alien
29231	EC-W	Present	Alien
29232	EC-W	Present	Alien
29233	EC-W	Present	Alien
29234	EC-W	Present	Alien
29235	EC-W	Present	Alien
29236	EC-W	Present	Alien
29237	EC-W	Present	Alien
29238	EC-W	Present	Alien
29239	EC-W	Present	Alien
29240	EC-W	Present	Alien
29241	EC-W	Present	Alien
29242	EC-W	Present	Alien
29243	EC-W	Present	Alien
29244	EC-W	Present	Alien
29245	EC-W	Present	Alien
29246	EC-W	Present	Alien
29247	EC-W	Present	Alien
29248	EC-W	Present	Alien
29249	EC-W	Present	Alien
29250	EC-W	Present	Alien
29251	EC-W	Present	Alien
29252	EC-W	Present	Alien
29253	EC-W	Present	Alien
29254	EC-W	Present	Alien
29255	EC-W	Present	Alien
29256	EC-W	Present	Alien
29257	EC-W	Present	Alien
29258	EC-W	Present	Alien
29259	EC-W	Present	Alien
29260	EC-W	Present	Alien
29261	EC-W	Present	Alien
29262	EC-W	Present	Alien
29263	EC-W	Present	Alien
29264	EC-W	Present	Alien
29265	EC-W	Present	Alien
29266	EC-W	Present	Alien
29267	EC-W	Present	Alien
29268	EC-W	Present	Alien
29269	EC-W	Present	Alien
29270	EC-W	Present	Alien
29271	EC-W	Present	Alien
29272	EC-W	Present	Alien
29273	EC-W	Present	Alien
29274	EC-W	Present	Alien
29275	EC-W	Present	Alien
29276	EC-W	Present	Alien
29277	EC-W	Present	Alien
29278	EC-W	Present	Alien
29279	EC-W	Present	Alien
29280	EC-W	Present	Alien
29281	EC-W	Present	Alien
29282	EC-W	Present	Alien
29283	EC-W	Present	Alien
29284	EC-W	Present	Alien
29285	EC-W	Present	Alien
29286	EC-W	Present	Alien
29287	EC-W	Present	Alien
29288	EC-W	Present	Alien
29289	EC-W	Present	Alien
29290	EC-W	Present	Alien
29291	EC-W	Present	Alien
29292	EC-W	Present	Alien
29293	EC-W	Present	Alien
29294	EC-W	Present	Alien
29295	EC-W	Present	Alien
29296	EC-W	Present	Alien
29297	EC-W	Present	Alien
29298	EC-W	Present	Alien
29299	EC-W	Present	Alien
29300	EC-W	Present	Alien
29301	EC-W	Present	Alien
29302	EC-W	Present	Alien
29303	EC-W	Present	Alien
29304	EC-W	Present	Alien
29305	EC-W	Present	Alien
29306	EC-W	Present	Alien
29307	EC-W	Present	Alien
29308	EC-W	Present	Alien
29309	EC-W	Present	Alien
29310	EC-W	Present	Alien
29311	EC-W	Present	Alien
29312	EC-W	Present	Alien
29313	EC-W	Present	Alien
29314	EC-W	Present	Alien
29315	EC-W	Present	Alien
29316	EC-W	Present	Alien
29317	EC-W	Present	Alien
29318	EC-W	Present	Alien
29319	EC-W	Present	Alien
29320	EC-W	Present	Alien
29321	EC-W	Present	Alien
29322	EC-W	Present	Alien
29323	EC-W	Present	Alien
29324	EC-W	Present	Alien
29325	EC-W	Present	Alien
29326	EC-W	Present	Alien
29327	EC-W	Present	Alien
