id	isInvasive	habitat
107500	Null	Terrestrial
107501	Invasive	Terrestrial
107502	Invasive	Terrestrial
107503	Invasive	Terrestrial
107504	Null	Terrestrial
107505	Null	Terrestrial
107506	Null	Terrestrial
107507	Invasive	Terrestrial
107508	Null	Terrestrial
107509	Null	Terrestrial
107510	Invasive	Terrestrial
107511	Null	Terrestrial
107512	Null	Terrestrial
107513	Null	Terrestrial
107514	Invasive	Terrestrial
107515	Invasive	Terrestrial
107516	Invasive	Terrestrial
107517	Null	Terrestrial
107518	Invasive	Terrestrial
107519	Invasive	Terrestrial
107520	Null	Terrestrial
107521	Null	Terrestrial
107522	Null	Terrestrial
107523	Invasive	Terrestrial|Freshwater
107524	Invasive	Terrestrial|Freshwater
107525	Null	Terrestrial|Freshwater
107526	Invasive	Terrestrial|Freshwater
107527	Null	Terrestrial
107528	Invasive	Terrestrial
107529	Invasive	Terrestrial
107530	Invasive	Freshwater
107531	Invasive	Terrestrial
107532	Null	Terrestrial
107533	Null	Terrestrial
107534	Null	Terrestrial
107535	Invasive	Terrestrial
107536	Null	Terrestrial
107537	Null	Terrestrial
107538	Null	Terrestrial
107539	Null	Terrestrial
107540	Invasive	Terrestrial
107541	Null	Terrestrial
107542	Invasive	Terrestrial
107543	Null	Terrestrial
107544	Invasive	Terrestrial
107545	Null	Terrestrial
107546	Null	Terrestrial
107547	Null	Host
107548	Invasive	Terrestrial|Freshwater
107549	Invasive	Terrestrial
107550	Null	Terrestrial
107551	Null	Terrestrial
107552	Null	Terrestrial
107553	Invasive	Terrestrial
107554	Invasive	Terrestrial
107555	Invasive	Terrestrial
107556	Null	Terrestrial
107557	Invasive	Terrestrial
107558	Null	Terrestrial
107559	Null	Marine
107560	Null	Terrestrial
107561	Null	Terrestrial
107562	Invasive	Terrestrial
107563	Null	Terrestrial
107564	Null	Terrestrial
107565	Null	Terrestrial
107566	Null	Terrestrial
107567	Null	Terrestrial
107568	Null	Terrestrial
107569	Null	Terrestrial
107570	Null	Terrestrial
107571	Null	Terrestrial
107572	Invasive	Terrestrial
107573	Invasive	Terrestrial
107574	Null	Terrestrial
107575	Null	Terrestrial
107576	Null	Terrestrial
107577	Null	Terrestrial
107578	Invasive	Terrestrial
