id	locationID	countryCode	occurrenceStatus	establishmentMeans
150500	Georgia	GE	Present	Alien
150501	Georgia	GE	Present	Alien
150502	Georgia	GE	Present	Alien
150503	Georgia	GE	Present	Alien
150504	Georgia	GE	Present	Alien
150505	Georgia	GE	Present	Alien
150506	Georgia	GE	Present	Alien
150507	Georgia	GE	Present	Alien
150508	Georgia	GE	Present	Alien
150509	Georgia	GE	Present	Alien
150510	Georgia	GE	Present	Alien
150511	Georgia	GE	Present	Alien
150512	Georgia	GE	Present	Alien
150513	Georgia	GE	Present	Alien
150514	Georgia	GE	Present	Alien
150515	Georgia	GE	Present	Alien
150516	Georgia	GE	Present	Alien
150517	Georgia	GE	Present	Alien
150518	Georgia	GE	Present	Alien
150519	Georgia	GE	Present	Alien
150520	Georgia	GE	Present	Alien
150521	Georgia	GE	Present	Alien
150522	Georgia	GE	Present	Alien
150523	Georgia	GE	Present	Alien
150524	Georgia	GE	Present	Alien
150525	Georgia	GE	Present	Alien
150526	Georgia	GE	Present	Alien
150527	Georgia	GE	Present	Alien
150528	Georgia	GE	Present	Alien
150529	Georgia	GE	Present	Alien
150530	Georgia	GE	Present	Alien
150531	Georgia	GE	Present	Alien
150532	Georgia	GE	Present	Alien
150533	Georgia	GE	Present	Alien
150534	Georgia	GE	Present	Alien
150535	Georgia	GE	Present	Alien
150536	Georgia	GE	Present	Alien
150537	Georgia	GE	Present	Alien
150538	Georgia	GE	Present	Alien
150539	Georgia	GE	Present	Alien
150540	Georgia	GE	Present	Alien
150541	Georgia	GE	Present	Alien
150542	Georgia	GE	Present	Alien
150543	Georgia	GE	Present	Alien
150544	Georgia	GE	Present	Alien
150545	Georgia	GE	Present	Alien
150546	Georgia	GE	Present	Alien
150547	Georgia	GE	Present	Alien
150548	Georgia	GE	Present	Alien
150549	Georgia	GE	Present	Alien
150550	Georgia	GE	Present	Alien
150551	Georgia	GE	Present	Alien
150552	Georgia	GE	Present	Alien
150553	Georgia	GE	Present	Alien
150554	Georgia	GE	Present	Alien
150555	Georgia	GE	Present	Alien
150556	Georgia	GE	Present	Alien
150557	Georgia	GE	Present	Alien
150558	Georgia	GE	Present	Alien
150559	Georgia	GE	Present	Alien
150560	Georgia	GE	Present	Alien
150561	Georgia	GE	Present	Alien
150562	Georgia	GE	Present	Alien
150563	Georgia	GE	Present	Alien
150564	Georgia	GE	Present	Alien
150565	Georgia	GE	Present	Alien
150566	Georgia	GE	Present	Alien
150567	Georgia	GE	Present	Alien
150568	Georgia	GE	Present	Alien
150569	Georgia	GE	Present	Alien
150570	Georgia	GE	Present	Alien
150571	Georgia	GE	Present	Alien
150572	Georgia	GE	Present	Alien
150573	Georgia	GE	Present	Alien
150574	Georgia	GE	Present	Alien
150575	Georgia	GE	Present	Alien
150576	Georgia	GE	Present	Alien
150577	Georgia	GE	Present	Alien
150578	Georgia	GE	Present	Alien
150579	Georgia	GE	Present	Alien
150580	Georgia	GE	Present	Alien
150581	Georgia	GE	Present	Alien
150582	Georgia	GE	Present	Alien
150583	Georgia	GE	Present	Alien
150584	Georgia	GE	Present	Alien
150585	Georgia	GE	Present	Alien
150586	Georgia	GE	Present	Alien
150587	Georgia	GE	Present	Alien
150588	Georgia	GE	Present	Alien
150589	Georgia	GE	Present	Alien
150590	Georgia	GE	Present	Alien
150591	Georgia	GE	Present	Alien
150592	Georgia	GE	Present	Alien
150593	Georgia	GE	Present	Alien
150594	Georgia	GE	Present	Alien
150595	Georgia	GE	Present	Alien
150596	Georgia	GE	Present	Alien
150597	Georgia	GE	Present	Alien
150598	Georgia	GE	Present	Alien
150599	Georgia	GE	Present	Alien
150600	Georgia	GE	Present	Alien
150601	Georgia	GE	Present	Alien
150602	Georgia	GE	Present	Alien
150603	Georgia	GE	Present	Alien
150604	Georgia	GE	Present	Alien
150605	Georgia	GE	Present	Alien
150606	Georgia	GE	Present	Alien
150607	Georgia	GE	Present	Alien
150608	Georgia	GE	Present	Alien
150609	Georgia	GE	Present	Alien
150610	Georgia	GE	Present	Alien
150611	Georgia	GE	Present	Alien
150612	Georgia	GE	Present	Alien
150613	Georgia	GE	Present	Alien
150614	Georgia	GE	Present	Alien
150615	Georgia	GE	Present	Alien
150616	Georgia	GE	Present	Alien
150617	Georgia	GE	Present	Alien
150618	Georgia	GE	Present	Alien
150619	Georgia	GE	Present	Alien
150620	Georgia	GE	Present	Alien
150621	Georgia	GE	Present	Alien
150622	Georgia	GE	Present	Alien
150623	Georgia	GE	Present	Alien
150624	Georgia	GE	Present	Alien
150625	Georgia	GE	Present	Alien
150626	Georgia	GE	Present	Alien
150627	Georgia	GE	Present	Alien
150628	Georgia	GE	Present	Alien
150629	Georgia	GE	Present	Alien
150630	Georgia	GE	Present	Alien
150631	Georgia	GE	Present	Alien
150632	Georgia	GE	Present	Alien
150633	Georgia	GE	Present	Alien
150634	Georgia	GE	Present	Alien
150635	Georgia	GE	Present	Alien
150636	Georgia	GE	Present	Alien
150637	Georgia	GE	Present	Alien
150638	Georgia	GE	Present	Alien
150639	Georgia	GE	Present	Alien
150640	Georgia	GE	Present	Alien
150641	Georgia	GE	Present	Alien
150642	Georgia	GE	Present	Alien
150643	Georgia	GE	Present	Alien
150644	Georgia	GE	Present	Alien
150645	Georgia	GE	Present	Alien
150646	Georgia	GE	Present	Alien
150647	Georgia	GE	Present	Alien
150648	Georgia	GE	Present	Alien
150649	Georgia	GE	Present	Alien
150650	Georgia	GE	Present	Alien
150651	Georgia	GE	Present	Alien
150652	Georgia	GE	Present	Alien
150653	Georgia	GE	Present	Alien
150654	Georgia	GE	Present	Alien
150655	Georgia	GE	Present	Alien
150656	Georgia	GE	Present	Alien
150657	Georgia	GE	Present	Alien
150658	Georgia	GE	Present	Alien
150659	Georgia	GE	Present	Alien
150660	Georgia	GE	Present	Alien
150661	Georgia	GE	Present	Alien
150662	Georgia	GE	Present	Alien
150663	Georgia	GE	Present	Alien
150664	Georgia	GE	Present	Alien
150665	Georgia	GE	Present	Alien
150666	Georgia	GE	Present	Alien
150667	Georgia	GE	Present	Alien
