id	locationID	countryCode	occurrenceStatus	establishmentMeans
43652	Canarias- Gran Canaria	IC	Present	Alien
43653	Canarias- Gran Canaria	IC	Present	Alien
43654	Canarias- Gran Canaria	IC	Present	Alien
43655	Canarias- Gran Canaria	IC	Present	Alien
43656	Canarias- Gran Canaria	IC	Present	Alien
43657	Canarias- Gran Canaria	IC	Present	Alien
43658	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43659	Canarias- Gran Canaria	IC	Present	Alien
43660	Canarias- Gran Canaria	IC	Present	Alien
43661	Canarias- Gran Canaria	IC	Present	Alien
43662	Canarias- Gran Canaria	IC	Present	Alien
43663	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43664	Canarias- Gran Canaria	IC	Present	Alien
43665	Canarias- Gran Canaria	IC	Present	Alien
43666	Canarias- Gran Canaria	IC	Present	Alien
43667	Canarias- Gran Canaria	IC	Present	Alien
43668	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43669	Canarias- Gran Canaria	IC	Present	Alien
43670	Canarias- Gran Canaria	IC	Present	Alien
43671	Canarias- Gran Canaria	IC	Present	Alien
43672	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43673	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43674	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43675	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43676	Canarias- Gran Canaria	IC	Present	Alien
43677	Canarias- Gran Canaria	IC	Present	Alien
43678	Canarias- Gran Canaria	IC	Present	Alien
43679	Canarias- Gran Canaria	IC	Present	Alien
43680	Canarias- Gran Canaria	IC	Present	Alien
43681	Canarias- Gran Canaria	IC	Present	Alien
43682	Canarias- Gran Canaria	IC	Present	Alien
43683	Canarias- Gran Canaria	IC	Present	Alien
43684	Canarias- Gran Canaria	IC	Present	Alien
43685	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43686	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43687	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43688	Canarias- Gran Canaria	IC	Present	Alien
43689	Canarias- Gran Canaria	IC	Present	Alien
43690	Canarias- Gran Canaria	IC	Present	Alien
43691	Canarias- Gran Canaria	IC	Present	Alien
43692	Canarias- Gran Canaria	IC	Present	Alien
43693	Canarias- Gran Canaria	IC	Present	Alien
43694	Canarias- Gran Canaria	IC	Present	Alien
43695	Canarias- Gran Canaria	IC	Present	Alien
43696	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43697	Canarias- Gran Canaria	IC	Present	Alien
43698	Canarias- Gran Canaria	IC	Present	Alien
43699	Canarias- Gran Canaria	IC	Present	Alien
43700	Canarias- Gran Canaria	IC	Present	Alien
43701	Canarias- Gran Canaria	IC	Present	Alien
43702	Canarias- Gran Canaria	IC	Present	Alien
43703	Canarias- Gran Canaria	IC	Present	Alien
43704	Canarias- Gran Canaria	IC	Present	Alien
43705	Canarias- Gran Canaria	IC	Present	Alien
43706	Canarias- Gran Canaria	IC	Present	Alien
43707	Canarias- Gran Canaria	IC	Present	Alien
43708	Canarias- Gran Canaria	IC	Present	Alien
43709	Canarias- Gran Canaria	IC	Present	Alien
43710	Canarias- Gran Canaria	IC	Present	Alien
43711	Canarias- Gran Canaria	IC	Present	Alien
43712	Canarias- Gran Canaria	IC	Present	Alien
43713	Canarias- Gran Canaria	IC	Present	Alien
43714	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43715	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43716	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43717	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43718	Canarias- Gran Canaria	IC	Present	Alien
43719	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43720	Canarias- Gran Canaria	IC	Present	Alien
43721	Canarias- Gran Canaria	IC	Present	Alien
43722	Canarias- Gran Canaria	IC	Present	Alien
43723	Canarias- Gran Canaria	IC	Present	Alien
43724	Canarias- Gran Canaria	IC	Present	Alien
43725	Canarias- Gran Canaria	IC	Present	Alien
43726	Canarias- Gran Canaria	IC	Present	Alien
43727	Canarias- Gran Canaria	IC	Present	Alien
43728	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43729	Canarias- Gran Canaria	IC	Present	Alien
43730	Canarias- Gran Canaria	IC	Present	Alien
43731	Canarias- Gran Canaria	IC	Present	Alien
43732	Canarias- Gran Canaria	IC	Present	Alien
43733	Canarias- Gran Canaria	IC	Present	Alien
43734	Canarias- Gran Canaria	IC	Present	Alien
43735	Canarias- Gran Canaria	IC	Present	Alien
43736	Canarias- Gran Canaria	IC	Present	Alien
43737	Canarias- Gran Canaria	IC	Present	Alien
43738	Canarias- Gran Canaria	IC	Present	Alien
43739	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43740	Canarias- Gran Canaria	IC	Present	Alien
43741	Canarias- Gran Canaria	IC	Present	Alien
43742	Canarias- Gran Canaria	IC	Present	Alien
43743	Canarias- Gran Canaria	IC	Present	Alien
43744	Canarias- Gran Canaria	IC	Present	Alien
43745	Canarias- Gran Canaria	IC	Present	Alien
43746	Canarias- Gran Canaria	IC	Present	Alien
43747	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43748	Canarias- Gran Canaria	IC	Present	Alien
43749	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43750	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43751	Canarias- Gran Canaria	IC	Present	Alien
43752	Canarias- Gran Canaria	IC	Present	Alien
43753	Canarias- Gran Canaria	IC	Present	Alien
43754	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43755	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43756	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43757	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43758	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43759	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43760	Canarias- Gran Canaria	IC	Present	Alien
43761	Canarias- Gran Canaria	IC	Present	Alien
43762	Canarias- Gran Canaria	IC	Present	Alien
43763	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43764	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43765	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43766	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43767	Canarias- Gran Canaria	IC	Present	Alien
43768	Canarias- Gran Canaria	IC	Present	Alien
43769	Canarias- Gran Canaria	IC	Present	Alien
43770	Canarias- Gran Canaria	IC	Present	Alien
43771	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43772	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43773	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43774	Canarias- Gran Canaria	IC	Present	Alien
43775	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43776	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43777	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43778	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43779	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43780	Canarias- Gran Canaria	IC	Present	Alien
43781	Canarias- Gran Canaria	IC	Present	Alien
43782	Canarias- Gran Canaria	IC	Present	Alien
43783	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43784	Canarias- Gran Canaria	IC	Present	Alien
43785	Canarias- Gran Canaria	IC	Present	Alien
43786	Canarias- Gran Canaria	IC	Present	Alien
43787	Canarias- Gran Canaria	IC	Present	Alien
43788	Canarias- Gran Canaria	IC	Present	Alien
43789	Canarias- Gran Canaria	IC	Present	Alien
43790	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43791	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43792	Canarias- Gran Canaria	IC	Present	Alien
43793	Canarias- Gran Canaria	IC	Present	Alien
43794	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43795	Canarias- Gran Canaria	IC	Present	Alien
43796	Canarias- Gran Canaria	IC	Present	Alien
43797	Canarias- Gran Canaria	IC	Present	Alien
43798	Canarias- Gran Canaria	IC	Present	Alien
43799	Canarias- Gran Canaria	IC	Present	Alien
43800	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43801	Canarias- Gran Canaria	IC	Present	Alien
43802	Canarias- Gran Canaria	IC	Present	Alien
43803	Canarias- Gran Canaria	IC	Present	Alien
43804	Canarias- Gran Canaria	IC	Present	Alien
43805	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43806	Canarias- Gran Canaria	IC	Present	Alien
43807	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43808	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43809	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43810	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43811	Canarias- Gran Canaria	IC	Present	Alien
43812	Canarias- Gran Canaria	IC	Present	Alien
43813	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43814	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43815	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43816	Canarias- Gran Canaria	IC	Present	Alien
43817	Canarias- Gran Canaria	IC	Present	Alien
43818	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43819	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43820	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43821	Canarias- Gran Canaria	IC	Present	Alien
43822	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43823	Canarias- Gran Canaria	IC	Present	Alien
43824	Canarias- Gran Canaria	IC	Present	Alien
43825	Canarias- Gran Canaria	IC	Present	Alien
43826	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43827	Canarias- Gran Canaria	IC	Present	Alien
43828	Canarias- Gran Canaria	IC	Present	Alien
43829	Canarias- Gran Canaria	IC	Present	Alien
43830	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43831	Canarias- Gran Canaria	IC	Present	Alien
43832	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43833	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43834	Canarias- Gran Canaria	IC	Present	Alien
43835	Canarias- Gran Canaria	IC	Present	Alien
43836	Canarias- Gran Canaria	IC	Present	Alien
43837	Canarias- Gran Canaria	IC	Present	Alien
43838	Canarias- Gran Canaria	IC	Present	Alien
43839	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43840	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43841	Canarias- Gran Canaria	IC	Present	Alien
43842	Canarias- Gran Canaria	IC	Present	Alien
43843	Canarias- Gran Canaria	IC	Present	Alien
43844	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43845	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43846	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43847	Canarias- Gran Canaria	IC	Present	Alien
43848	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43849	Canarias- Gran Canaria	IC	Present	Alien
43850	Canarias- Gran Canaria	IC	Present	Alien
43851	Canarias- Gran Canaria	IC	Present	Alien
43852	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43853	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43854	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43855	Canarias- Gran Canaria	IC	Present	Alien
43856	Canarias- Gran Canaria	IC	Present	Alien
43857	Canarias- Gran Canaria	IC	Present	Alien
43858	Canarias- Gran Canaria	IC	Present	Alien
43859	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43860	Canarias- Gran Canaria	IC	Present	Alien
43861	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43862	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43863	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43864	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43865	Canarias- Gran Canaria	IC	Present	Alien
43866	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43867	Canarias- Gran Canaria	IC	Present	Alien
43868	Canarias- Gran Canaria	IC	Present	Alien
43869	Canarias- Gran Canaria	IC	Present	Cryptogenic|Uncertain
43870	Canarias- Gran Canaria	IC	Present	Alien
