id	locationID	countryCode	occurrenceStatus	establishmentMeans
120000	Greenland	GL	Present	Alien
120001	Greenland	GL	Present	Alien
120002	Greenland	GL	Present	Alien
120003	Greenland	GL	Present	Alien
120004	Greenland	GL	Present	Alien
120005	Greenland	GL	Present	Alien
120006	Greenland	GL	Present	Alien
120007	Greenland	GL	Present	Alien
120008	Greenland	GL	Present	Alien
120009	Greenland	GL	Present	Alien
120010	Greenland	GL	Present	Alien
120011	Greenland	GL	Present	Alien
120012	Greenland	GL	Present	Alien
120013	Greenland	GL	Present	Alien
120014	Greenland	GL	Present	Alien
120015	Greenland	GL	Present	Alien
120016	Greenland	GL	Present	Alien
120017	Greenland	GL	Present	Alien
120018	Greenland	GL	Present	Alien
120019	Greenland	GL	Present	Alien
120020	Greenland	GL	Present	Alien
120021	Greenland	GL	Present	Alien
120022	Greenland	GL	Present	Alien
120023	Greenland	GL	Present	Alien
120024	Greenland	GL	Present	Alien
120025	Greenland	GL	Present	Alien
120026	Greenland	GL	Present	Alien
120027	Greenland	GL	Present	Alien
120028	Greenland	GL	Present	Alien
120029	Greenland	GL	Present	Alien
120030	Greenland	GL	Present	Alien
120031	Greenland	GL	Present	Alien
120032	Greenland	GL	Present	Alien
120033	Greenland	GL	Present	Alien
120034	Greenland	GL	Present	Alien
120035	Greenland	GL	Present	Alien
120036	Greenland	GL	Present	Alien
120037	Greenland	GL	Present	Alien
120038	Greenland	GL	Present	Alien
120039	Greenland	GL	Present	Alien
120040	Greenland	GL	Present	Alien
120041	Greenland	GL	Present	Alien
120042	Greenland	GL	Present	Alien
120043	Greenland	GL	Present	Native|Alien
120044	Greenland	GL	Present	Alien
120045	Greenland	GL	Present	Alien
120046	Greenland	GL	Present	Alien
120047	Greenland	GL	Present	Alien
120048	Greenland	GL	Present	Alien
120049	Greenland	GL	Present	Alien
120050	Greenland	GL	Present	Alien
120051	Greenland	GL	Present	Alien
120052	Greenland	GL	Present	Alien
120053	Greenland	GL	Present	Alien
120054	Greenland	GL	Present	Alien
120055	Greenland	GL	Present	Alien
120056	Greenland	GL	Present	Alien
120057	Greenland	GL	Present	Alien
120058	Greenland	GL	Present	Alien
120059	Greenland	GL	Present	Alien
120060	Greenland	GL	Present	Alien
120061	Greenland	GL	Present	Alien
120062	Greenland	GL	Present	Alien
120063	Greenland	GL	Present	Alien
120064	Greenland	GL	Present	Alien
120065	Greenland	GL	Present	Alien
120066	Greenland	GL	Present	Alien
120067	Greenland	GL	Present	Alien
120068	Greenland	GL	Present	Alien
120069	Greenland	GL	Present	Alien
120070	Greenland	GL	Present	Alien
120071	Greenland	GL	Present	Alien
120072	Greenland	GL	Present	Alien
120073	Greenland	GL	Present	Alien
