id	countryCode	occurrenceStatus	establishmentMeans
162000	GT	Present	Alien
162001	GT	Present	Alien
162002	GT	Present	Alien
162003	GT	Present	Cryptogenic|Uncertain
162004	GT	Present	Alien
162005	GT	Present	Alien
162006	GT	Present	Alien
162007	GT	Present	Alien
162008	GT	Present	Alien
162009	GT	Present	Alien
162010	GT	Present	Alien
162011	GT	Present	Alien
162012	GT	Present	Alien
162013	GT	Present	Alien
162014	GT	Present	Alien
162015	GT	Present	Alien
162016	GT	Present	Alien
162017	GT	Present	Alien
162018	GT	Present	Alien
162019	GT	Present	Alien
162020	GT	Present	Alien
162021	GT	Present	Alien
162022	GT	Present	Alien
162023	GT	Present	Alien
162024	GT	Present	Alien
162025	GT	Present	Alien
162026	GT	Present	Alien
162027	GT	Present	Alien
162028	GT	Present	Alien
162029	GT	Present	Alien
162030	GT	Present	Alien
162031	GT	Present	Alien
162032	GT	Present	Alien
162033	GT	Present	Alien
162034	GT	Present	Alien
162035	GT	Present	Alien
162036	GT	Present	Alien
162037	GT	Present	Alien
162038	GT	Present	Alien
162039	GT	Present	Alien
162040	GT	Present	Alien
162041	GT	Present	Alien
162042	GT	Present	Alien
162043	GT	Present	Alien
162044	GT	Present	Alien
162045	GT	Present	Alien
162046	GT	Present	Alien
162047	GT	Present	Alien
162048	GT	Present	Alien
162049	GT	Present	Alien
162050	GT	Present	Alien
162051	GT	Present	Alien
162052	GT	Present	Alien
162053	GT	Present	Alien
162054	GT	Present	Alien
162055	GT	Present	Alien
162056	GT	Present	Alien
162057	GT	Present	Alien
162058	GT	Present	Alien
162059	GT	Present	Alien
162060	GT	Present	Alien
162061	GT	Present	Alien
162062	GT	Present	Alien
162063	GT	Present	Alien
162064	GT	Present	Alien
162065	GT	Present	Alien
162066	GT	Present	Alien
162067	GT	Present	Alien
162068	GT	Present	Alien
162069	GT	Present	Alien
162070	GT	Present	Alien
162071	GT	Present	Alien
162072	GT	Present	Alien
162073	GT	Present	Alien
162074	GT	Present	Alien
162075	GT	Present	Alien
162076	GT	Present	Alien
162077	GT	Present	Alien
162078	GT	Present	Alien
162079	GT	Present	Alien
162080	GT	Present	Alien
162081	GT	Present	Alien
162082	GT	Present	Alien
162083	GT	Present	Alien
162084	GT	Present	Alien
162085	GT	Present	Alien
162086	GT	Present	Alien
162087	GT	Present	Alien
162088	GT	Present	Alien
162089	GT	Present	Alien
162090	GT	Present	Alien
162091	GT	Present	Alien
162092	GT	Present	Alien
162093	GT	Present	Alien
162094	GT	Present	Alien
162095	GT	Present	Alien
162096	GT	Present	Alien
162097	GT	Present	Alien
162098	GT	Present	Alien
162099	GT	Present	Alien
162100	GT	Present	Alien
162101	GT	Present	Alien
162102	GT	Present	Alien
162103	GT	Present	Alien
162104	GT	Present	Alien
162105	GT	Present	Alien
162106	GT	Present	Alien
162107	GT	Present	Alien
162108	GT	Present	Alien
162109	GT	Present	Alien
162110	GT	Present	Alien
162111	GT	Present	Alien
162112	GT	Present	Alien
162113	GT	Present	Alien
162114	GT	Present	Alien
162115	GT	Present	Alien
162116	GT	Present	Alien
162117	GT	Present	Alien
162118	GT	Present	Alien
162119	GT	Present	Alien
162120	GT	Present	Alien
162121	GT	Present	Alien
162122	GT	Present	Alien
162123	GT	Present	Alien
162124	GT	Present	Alien
162125	GT	Present	Alien
162126	GT	Present	Alien
162127	GT	Present	Alien
162128	GT	Present	Alien
162129	GT	Present	Alien
162130	GT	Present	Alien
162131	GT	Present	Alien
162132	GT	Present	Alien
162133	GT	Present	Alien
162134	GT	Present	Alien
162135	GT	Present	Alien
162136	GT	Present	Alien
162137	GT	Present	Alien
162138	GT	Present	Alien
162139	GT	Present	Alien
162140	GT	Present	Alien
162141	GT	Present	Alien
162142	GT	Present	Alien
162143	GT	Present	Alien
162144	GT	Present	Alien
162145	GT	Present	Alien
162146	GT	Present	Alien
162147	GT	Present	Alien
162148	GT	Present	Alien
162149	GT	Present	Alien
162150	GT	Present	Alien
162151	GT	Present	Alien
162152	GT	Present	Alien
162153	GT	Present	Alien
162154	GT	Present	Alien
162155	GT	Present	Alien
162156	GT	Present	Alien
162157	GT	Present	Alien
162158	GT	Present	Alien
162159	GT	Present	Alien
162160	GT	Present	Alien
162161	GT	Present	Alien
162162	GT	Present	Alien
162163	GT	Present	Alien
162164	GT	Present	Alien
162165	GT	Present	Alien
162166	GT	Present	Alien
162167	GT	Present	Alien
162168	GT	Present	Alien
162169	GT	Present	Alien
162170	GT	Present	Alien
162171	GT	Present	Alien
162172	GT	Present	Alien
162173	GT	Present	Alien
162174	GT	Present	Alien
162175	GT	Present	Alien
162176	GT	Present	Alien
162177	GT	Present	Alien
162178	GT	Present	Alien
162179	GT	Present	Alien
162180	GT	Present	Alien
162181	GT	Present	Alien
162182	GT	Present	Alien
162183	GT	Present	Alien
162184	GT	Present	Alien
162185	GT	Present	Alien
162186	GT	Present	Alien
162187	GT	Present	Alien
162188	GT	Present	Alien
162189	GT	Present	Alien
162190	GT	Present	Alien
162191	GT	Present	Alien
162192	GT	Present	Alien
162193	GT	Present	Alien
162194	GT	Present	Alien
162195	GT	Present	Alien
162196	GT	Present	Alien
162197	GT	Present	Alien
162198	GT	Present	Alien
162199	GT	Present	Alien
162200	GT	Present	Alien
162201	GT	Present	Alien
162202	GT	Present	Alien
162203	GT	Present	Alien
162204	GT	Present	Alien
162205	GT	Present	Alien
162206	GT	Present	Alien
162207	GT	Present	Alien
162208	GT	Present	Alien
162209	GT	Present	Alien
162210	GT	Present	Alien
162211	GT	Present	Alien
162212	GT	Present	Alien
162213	GT	Present	Alien
162214	GT	Present	Alien
162215	GT	Present	Alien
162216	GT	Present	Alien
162217	GT	Present	Alien
162218	GT	Present	Alien
162219	GT	Present	Alien
162220	GT	Present	Alien
162221	GT	Present	Alien
162222	GT	Present	Alien
162223	GT	Present	Alien
162224	GT	Present	Alien
162225	GT	Present	Alien
162226	GT	Present	Alien
162227	GT	Present	Alien
162228	GT	Present	Alien
162229	GT	Present	Alien
162230	GT	Present	Alien
162231	GT	Present	Alien
162232	GT	Present	Alien
162233	GT	Present	Alien
162234	GT	Present	Alien
162235	GT	Present	Alien
162236	GT	Present	Alien
162237	GT	Present	Alien
162238	GT	Present	Alien
162239	GT	Present	Alien
162240	GT	Present	Alien
