id	isInvasive	habitat
162000	Null	Terrestrial
162001	Null	Terrestrial
162002	Null	Terrestrial
162003	Null	Marine
162004	Null	Terrestrial
162005	Null	Terrestrial
162006	Null	Terrestrial
162007	Null	Terrestrial
162008	Null	Terrestrial
162009	Null	Terrestrial
162010	Null	Terrestrial|Freshwater
162011	Invasive	Terrestrial|Freshwater
162012	Null	Terrestrial
162013	Null	Terrestrial
162014	Null	Terrestrial
162015	Null	Terrestrial
162016	Null	Terrestrial
162017	Null	Terrestrial
162018	Null	Terrestrial
162019	Null	Terrestrial
162020	Null	Terrestrial
162021	Null	Terrestrial
162022	Null	Terrestrial
162023	Null	Terrestrial
162024	Null	Terrestrial
162025	Null	Terrestrial
162026	Null	Terrestrial
162027	Null	Terrestrial
162028	Null	Terrestrial
162029	Null	Terrestrial
162030	Null	Terrestrial
162031	Null	Terrestrial
162032	Null	Terrestrial
162033	Null	Terrestrial
162034	Null	Terrestrial
162035	Null	Terrestrial
162036	Null	Terrestrial
162037	Null	Terrestrial
162038	Null	Terrestrial
162039	Null	Terrestrial
162040	Null	Freshwater
162041	Null	Terrestrial
162042	Null	Terrestrial
162043	Null	Terrestrial
162044	Null	Terrestrial
162045	Null	Host
162046	Null	Terrestrial
162047	Null	Terrestrial
162048	Null	Terrestrial
162049	Null	Terrestrial
162050	Null	Terrestrial
162051	Null	Terrestrial
162052	Null	Terrestrial
162053	Null	Terrestrial
162054	Null	Terrestrial
162055	Null	Terrestrial
162056	Null	Terrestrial
162057	Null	Terrestrial
162058	Null	Terrestrial
162059	Null	Terrestrial
162060	Null	Terrestrial|Freshwater
162061	Null	Terrestrial
162062	Null	Terrestrial
162063	Null	Terrestrial
162064	Null	Terrestrial
162065	Null	Terrestrial
162066	Null	Terrestrial
162067	Null	Terrestrial
162068	Null	Terrestrial
162069	Null	Terrestrial
162070	Null	Terrestrial
162071	Null	Terrestrial
162072	Null	Terrestrial
162073	Null	Terrestrial
162074	Null	Terrestrial
162075	Null	Terrestrial
162076	Null	Terrestrial
162077	Null	Terrestrial
162078	Null	Terrestrial
162079	Null	Terrestrial|Freshwater
162080	Null	Terrestrial
162081	Null	Terrestrial
162082	Null	Terrestrial
162083	Null	Terrestrial
162084	Null	Terrestrial
162085	Null	Terrestrial
162086	Null	Terrestrial
162087	Null	Terrestrial
162088	Null	Terrestrial
162089	Null	Terrestrial
162090	Null	Terrestrial
162091	Null	Terrestrial
162092	Null	Terrestrial
162093	Invasive	Terrestrial
162094	Null	Terrestrial
162095	Null	Terrestrial
162096	Null	Terrestrial
162097	Null	Terrestrial
162098	Null	Terrestrial
162099	Null	Terrestrial
162100	Null	Terrestrial
162101	Invasive	Terrestrial
162102	Null	Terrestrial
162103	Null	Terrestrial
162104	Null	Terrestrial
162105	Null	Terrestrial
162106	Null	Terrestrial
162107	Null	Terrestrial
162108	Null	Terrestrial
162109	Null	Terrestrial
162110	Null	Terrestrial
162111	Null	Terrestrial
162112	Null	Terrestrial
162113	Null	Terrestrial
162114	Null	Terrestrial
162115	Null	Terrestrial
162116	Null	Terrestrial
162117	Null	Terrestrial
162118	Null	Terrestrial
162119	Null	Terrestrial
162120	Null	Terrestrial
162121	Null	Terrestrial
162122	Null	Terrestrial
162123	Null	Terrestrial
162124	Null	Terrestrial
162125	Null	Terrestrial
162126	Null	Terrestrial
162127	Null	Terrestrial
162128	Null	Terrestrial
162129	Null	Freshwater|Brackish
162130	Null	Terrestrial
162131	Null	Terrestrial|Freshwater
162132	Null	Terrestrial
162133	Null	Terrestrial
162134	Null	Terrestrial
162135	Null	Terrestrial
162136	Null	Terrestrial
162137	Null	Terrestrial
162138	Null	Terrestrial|Freshwater
162139	Null	Terrestrial|Freshwater
162140	Null	Terrestrial|Freshwater
162141	Null	Terrestrial|Freshwater
162142	Null	Terrestrial|Freshwater
162143	Null	Freshwater|Brackish
162144	Null	Terrestrial
162145	Null	Terrestrial
162146	Null	Terrestrial
162147	Null	Terrestrial
162148	Null	Terrestrial
162149	Null	Terrestrial
162150	Null	Terrestrial
162151	Null	Terrestrial
162152	Null	Terrestrial
162153	Null	Terrestrial
162154	Null	Terrestrial
162155	Null	Terrestrial
162156	Null	Terrestrial
162157	Null	Terrestrial
162158	Null	Terrestrial
162159	Null	Terrestrial
162160	Null	Terrestrial
162161	Null	Terrestrial
162162	Null	Terrestrial
162163	Null	Terrestrial
162164	Null	Terrestrial
162165	Null	Terrestrial
162166	Null	Terrestrial
162167	Null	Terrestrial
162168	Null	Terrestrial
162169	Null	Terrestrial
162170	Null	Terrestrial
162171	Null	Terrestrial|Freshwater
162172	Null	Terrestrial|Freshwater
162173	Null	Terrestrial
162174	Null	Terrestrial
162175	Null	Terrestrial
162176	Null	Terrestrial
162177	Null	Terrestrial
162178	Null	Terrestrial
162179	Null	Terrestrial
162180	Null	Terrestrial
162181	Null	Terrestrial
162182	Null	Terrestrial
162183	Null	Terrestrial
162184	Null	Terrestrial
162185	Null	Terrestrial
162186	Null	Terrestrial
162187	Null	Terrestrial
162188	Null	Terrestrial
162189	Null	Terrestrial
162190	Null	Terrestrial
162191	Null	Terrestrial
162192	Null	Terrestrial
162193	Null	Terrestrial
162194	Null	Terrestrial
162195	Null	Terrestrial
162196	Null	Terrestrial
162197	Null	Terrestrial
162198	Null	Terrestrial
162199	Null	Terrestrial
162200	Null	Terrestrial
162201	Null	Terrestrial|Freshwater
162202	Null	Terrestrial|Freshwater
162203	Null	Terrestrial
162204	Null	Terrestrial
162205	Null	Terrestrial
162206	Null	Terrestrial
162207	Null	Terrestrial
162208	Null	Terrestrial
162209	Null	Terrestrial
162210	Null	Terrestrial|Freshwater
162211	Null	Terrestrial
162212	Null	Terrestrial
162213	Null	Terrestrial
162214	Null	Terrestrial
162215	Null	Terrestrial
162216	Null	Terrestrial
162217	Null	Terrestrial
162218	Null	Terrestrial
162219	Null	Terrestrial
162220	Null	Terrestrial
162221	Null	Terrestrial
162222	Null	Terrestrial
162223	Null	Terrestrial
162224	Null	Terrestrial
162225	Null	Terrestrial
162226	Null	Terrestrial
162227	Null	Terrestrial
162228	Null	Terrestrial
162229	Null	Terrestrial
162230	Null	Terrestrial
162231	Null	Terrestrial
162232	Null	Terrestrial
162233	Null	Terrestrial
162234	Invasive	Freshwater
162235	Null	Terrestrial
162236	Null	Terrestrial
162237	Null	Terrestrial
162238	Null	Terrestrial
162239	Null	Terrestrial
162240	Null	Terrestrial
162241	Null	Terrestrial
162242	Null	Terrestrial
162243	Null	Terrestrial
162244	Null	Terrestrial
162245	Null	Terrestrial
162246	Invasive	Host
162247	Null	Terrestrial
162248	Null	Terrestrial
162249	Null	Terrestrial
162250	Null	Terrestrial
162251	Null	Terrestrial
162252	Null	Terrestrial
162253	Null	Terrestrial
162254	Null	Terrestrial
162255	Null	Terrestrial
162256	Null	Terrestrial
162257	Null	Terrestrial
162258	Null	Terrestrial|Freshwater
162259	Null	Terrestrial|Freshwater
162260	Null	Terrestrial|Freshwater
162261	Null	Terrestrial
162262	Null	Terrestrial
162263	Null	Terrestrial
162264	Null	Terrestrial|Freshwater
162265	Null	Terrestrial
162266	Null	Terrestrial
162267	Null	Terrestrial
162268	Null	Terrestrial
162269	Null	Terrestrial
162270	Null	Terrestrial
162271	Null	Freshwater|Brackish
162272	Null	Terrestrial
162273	Null	Terrestrial
162274	Null	Terrestrial
162275	Null	Terrestrial
162276	Null	Terrestrial
162277	Null	Terrestrial
162278	Null	Terrestrial
162279	Null	Terrestrial
162280	Null	Terrestrial
162281	Null	Terrestrial
162282	Null	Terrestrial
162283	Null	Terrestrial
162284	Null	Terrestrial
162285	Null	Terrestrial
162286	Null	Terrestrial
162287	Null	Terrestrial
162288	Null	Terrestrial
162289	Null	Terrestrial
162290	Null	Terrestrial
162291	Null	Terrestrial
162292	Null	Terrestrial
162293	Null	Terrestrial
162294	Null	Terrestrial
162295	Null	Terrestrial
162296	Null	Terrestrial
162297	Null	Terrestrial
162298	Null	Terrestrial
