id	isInvasive	habitat
110010	Invasive	Terrestrial
110011	Null	Terrestrial
110012	Null	Terrestrial
110013	Null	Terrestrial
110014	Null	Terrestrial
110015	Null	Terrestrial
110016	Null	Terrestrial
110017	Null	Terrestrial
110018	Invasive	Terrestrial
110019	Invasive	Freshwater
110020	Invasive	Terrestrial
110021	Invasive	Terrestrial
110022	Null	Terrestrial
110023	Null	Terrestrial
110024	Null	Terrestrial
110025	Invasive	Terrestrial
110026	Null	Terrestrial
110027	Null	Terrestrial
110028	Null	Terrestrial
110029	Null	Terrestrial
110030	Null	Terrestrial
110031	Invasive	Terrestrial
110032	Null	Terrestrial|Freshwater
110033	Null	Terrestrial
110034	Null	Terrestrial
110035	Null	Terrestrial
110036	Null	Terrestrial
110037	Null	Terrestrial
110038	Null	Terrestrial
110039	Null	Terrestrial
110040	Null	Terrestrial
110041	Null	Terrestrial
110042	Null	Terrestrial
110043	Null	Terrestrial
110044	Invasive	Terrestrial
110045	Null	Terrestrial
110046	Null	Terrestrial
110047	Null	Terrestrial
110048	Null	Terrestrial
110049	Null	Terrestrial
110050	Null	Terrestrial
110051	Null	Terrestrial
110052	Invasive	Terrestrial
110053	Null	Terrestrial
110054	Null	Terrestrial
110055	Null	Brackish|Marine
110056	Null	Terrestrial
110057	Invasive	Terrestrial
110058	Null	Terrestrial
110059	Null	Terrestrial
110060	Null	Terrestrial
110061	Null	Terrestrial
110062	Null	Terrestrial
110063	Null	Terrestrial
110064	Invasive	Marine
110065	Null	Terrestrial
110066	Invasive	Terrestrial
110067	Null	Terrestrial
110068	Null	Terrestrial
110069	Null	Terrestrial
110070	Null	Terrestrial
110071	Null	Terrestrial
110072	Null	Terrestrial
110073	Null	Terrestrial
110074	Null	Terrestrial
110075	Null	Terrestrial
110076	Null	Terrestrial
110077	Invasive	Terrestrial
110078	Null	Terrestrial
110079	Null	Terrestrial
110080	Null	Terrestrial
110081	Null	Terrestrial
110082	Invasive	Terrestrial
110083	Null	Terrestrial
110084	Null	Terrestrial
110085	Null	Terrestrial
110086	Null	Terrestrial
110087	Invasive	Terrestrial|Freshwater
110088	Null	Terrestrial
110089	Null	Terrestrial
110090	Null	Terrestrial
110091	Invasive	Terrestrial
110092	Null	Terrestrial
