id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans
158250	Haiti		HT	Present	Alien
158251	Haiti		HT	Present	Alien
158252	Haiti		HT	Present	Alien
158253	Haiti		HT	Present	Alien
158254	Haiti		HT	Present	Alien
158255	Haiti		HT	Present	Alien
158256	Haiti		HT	Present	Alien
158257	Haiti		HT	Present	Alien
158258	Haiti		HT	Present	Alien
158259	Haiti		HT	Present	Alien
158260	Haiti		HT	Present	Alien
158261	Haiti		HT	Present	Cryptogenic|Uncertain
158262	Haiti		HT	Present	Alien
158263	Haiti		HT	Present	Alien
158264	Haiti		HT	Present	Alien
158265	Haiti		HT	Present	Alien
158266	Haiti		HT	Present	Alien
158267	Haiti		HT	Present	Alien
158268	Haiti		HT	Present	Alien
158269	Haiti		HT	Present	Alien
158270	Haiti		HT	Present	Alien
158271	Haiti		HT	Present	Alien
158272	Haiti		HT	Present	Alien
158273	Haiti		HT	Present	Alien
158274	Haiti		HT	Present	Alien
158275	Haiti		HT	Present	Alien
158276	Haiti		HT	Present	Alien
158277	Haiti		HT	Present	Alien
158278	Haiti		HT	Present	Alien
158279	Haiti		HT	Present	Alien
158280	Haiti		HT	Present	Alien
158281	Haiti		HT	Present	Alien
158282	Haiti		HT	Present	Alien
158283	Haiti		HT	Present	Alien
158284	Haiti		HT	Present	Alien
158285	Haiti		HT	Present	Alien
158286	Haiti		HT	Present	Alien
158287	Haiti		HT	Present	Alien
158288	Haiti		HT	Present	Alien
158289	Haiti		HT	Present	Alien
158290	Haiti		HT	Present	Alien
158291	Haiti		HT	Present	Alien
158292	Haiti		HT	Present	Alien
158293	Haiti		HT	Present	Alien
158294	Haiti		HT	Present	Alien
158295	Haiti		HT	Present	Alien
158296	Haiti		HT	Present	Alien
158297	Haiti		HT	Present	Alien
158298	Haiti		HT	Present	Alien
158299	Haiti		HT	Present	Alien
158300	Haiti		HT	Present	Alien
158301	Haiti		HT	Present	Alien
158302	Haiti		HT	Present	Alien
158303	Haiti		HT	Present	Alien
158304	Haiti		HT	Present	Alien
158305	Haiti		HT	Present	Alien
158306	Haiti		HT	Present	Alien
158307	Haiti		HT	Present	Alien
158308	Haiti		HT	Present	Alien
158309	Haiti		HT	Present	Alien
158310	Haiti		HT	Present	Alien
158311	Haiti		HT	Present	Alien
158312	Haiti		HT	Present	Alien
158313	Haiti		HT	Present	Alien
158314	Haiti		HT	Present	Alien
158315	Haiti		HT	Present	Alien
158316	Haiti		HT	Present	Alien
158317	Haiti		HT	Present	Alien
158318	Haiti		HT	Present	Alien
158319	Haiti		HT	Present	Alien
158320	Haiti		HT	Present	Alien
158321	Haiti		HT	Present	Alien
158322	Haiti		HT	Present	Alien
158323	Haiti		HT	Present	Alien
158324	Haiti		HT	Present	Alien
158325	Haiti		HT	Present	Alien
158326	Haiti		HT	Present	Alien
158327	Haiti		HT	Present	Alien
158328	Haiti		HT	Present	Alien
158329	Haiti		HT	Present	Alien
158330	Haiti		HT	Present	Alien
158331	Haiti		HT	Present	Alien
158332	Haiti		HT	Present	Alien
158333	Haiti		HT	Present	Alien
158334	Haiti		HT	Present	Alien
158335	Haiti		HT	Present	Alien
158336	Haiti		HT	Present	Alien
158337	Haiti		HT	Present	Alien
158338	Haiti		HT	Present	Alien
158339	Haiti		HT	Present	Alien
158340	Haiti		HT	Present	Alien
158341	Haiti		HT	Present	Alien
158342	Haiti		HT	Present	Alien
158343	Haiti		HT	Present	Alien
158344	Haiti		HT	Present	Alien
158345	Haiti		HT	Present	Cryptogenic|Uncertain
158346	Haiti		HT	Present	Alien
158347	Haiti		HT	Present	Alien
158348	Haiti		HT	Present	Alien
158349	Haiti		HT	Present	Alien
158350	Haiti		HT	Present	Alien
158351	Haiti		HT	Present	Alien
158352	Haiti		HT	Present	Alien
158353	Haiti		HT	Present	Alien
158354	Haiti		HT	Present	Alien
158355	Haiti		HT	Present	Alien
158356	Haiti		HT	Present	Alien
158357	Haiti		HT	Present	Alien
158358	Haiti		HT	Present	Alien
158359	Haiti		HT	Present	Alien
158360	Haiti		HT	Present	Alien
158361	Haiti		HT	Present	Alien
158362	Haiti		HT	Present	Alien
158363	Haiti		HT	Present	Alien
158364	Haiti		HT	Present	Alien
158365	Haiti		HT	Present	Alien
158366	Haiti		HT	Present	Alien
158367	Haiti		HT	Present	Alien
158368	Haiti		HT	Present	Alien
158369	Haiti		HT	Present	Alien
158370	Haiti		HT	Present	Alien
158371	Haiti		HT	Present	Alien
158372	Haiti		HT	Present	Alien
158373	Haiti		HT	Present	Alien
158374	Haiti		HT	Present	Alien
158375	Haiti		HT	Present	Alien
158376	Haiti		HT	Present	Alien
158377	Haiti		HT	Present	Alien
158378	Haiti		HT	Present	Alien
158379	Haiti		HT	Present	Alien
158380	Haiti		HT	Present	Alien
158381	Haiti		HT	Present	Alien
158382	Haiti		HT	Present	Alien
158383	Haiti		HT	Present	Alien
158384	Haiti		HT	Present	Alien
158385	Haiti		HT	Present	Alien
158386	Haiti		HT	Present	Alien
158387	Haiti		HT	Present	Alien
158388	Haiti		HT	Present	Alien
158389	Haiti		HT	Present	Alien
158390	Haiti		HT	Present	Alien
158391	Haiti		HT	Present	Alien
