id	isInvasive	habitat
163000	Null	Terrestrial
163001	Null	Terrestrial
163002	Null	Terrestrial
163003	Null	Terrestrial
163004	Null	Terrestrial
163005	Null	Terrestrial
163006	Null	Terrestrial
163007	Null	Terrestrial
163008	Null	Terrestrial
163009	Null	Terrestrial
163010	Null	Terrestrial
163011	Null	Terrestrial
163012	Null	Freshwater
163013	Null	Terrestrial
163014	Null	Terrestrial
163015	Null	Terrestrial
163016	Null	Terrestrial
163017	Null	Terrestrial
163018	Null	Terrestrial
163019	Null	Terrestrial
163020	Null	Terrestrial
163021	Null	Freshwater
163022	Null	Terrestrial
163023	Null	Terrestrial
163024	Null	Terrestrial
163025	Null	Terrestrial
163026	Null	Terrestrial
163027	Null	Terrestrial
163028	Null	Terrestrial
163029	Null	Terrestrial
163030	Null	Terrestrial
163031	Null	Terrestrial
163032	Null	Terrestrial
163033	Null	Terrestrial
163034	Null	Terrestrial
163035	Null	Terrestrial
163036	Null	Terrestrial
163037	Null	Terrestrial
163038	Null	Terrestrial
163039	Null	Terrestrial
163040	Null	Terrestrial
163041	Null	Terrestrial
163042	Null	Terrestrial
163043	Null	Terrestrial
163044	Null	Terrestrial
163045	Null	Terrestrial
163046	Null	Terrestrial
163047	Null	Terrestrial
163048	Null	Terrestrial
163049	Null	Terrestrial
163050	Null	Terrestrial
163051	Null	Terrestrial
163052	Null	Terrestrial
163053	Null	Terrestrial
163054	Null	Terrestrial
163055	Null	Terrestrial
163056	Null	Terrestrial
163057	Null	Terrestrial
163058	Null	Terrestrial
163059	Null	Terrestrial
163060	Null	Terrestrial
163061	Null	Terrestrial
163062	Null	Terrestrial
163063	Null	Terrestrial
163064	Null	Terrestrial
163065	Null	Terrestrial
163066	Null	Terrestrial
163067	Null	Terrestrial
163068	Null	Terrestrial
163069	Null	Terrestrial
163070	Null	Terrestrial
163071	Null	Terrestrial
163072	Null	Terrestrial
163073	Null	Terrestrial
163074	Null	Terrestrial
163075	Null	Terrestrial
163076	Null	Terrestrial
163077	Null	Terrestrial
163078	Null	Terrestrial
163079	Null	Terrestrial
163080	Null	Terrestrial
163081	Null	Terrestrial
163082	Null	Terrestrial
163083	Null	Terrestrial
163084	Null	Terrestrial
163085	Null	Terrestrial
163086	Null	Terrestrial
163087	Null	Terrestrial
163088	Null	Terrestrial
163089	Null	Terrestrial
163090	Null	Terrestrial
163091	Null	Terrestrial
163092	Null	Terrestrial
163093	Null	Terrestrial
163094	Null	Terrestrial
163095	Null	Terrestrial
163096	Null	Terrestrial
163097	Null	Terrestrial
163098	Null	Terrestrial
163099	Null	Terrestrial
163100	Null	Terrestrial
163101	Null	Terrestrial
163102	Null	Terrestrial
163103	Null	Host
163104	Null	Terrestrial
163105	Null	Terrestrial
163106	Null	Terrestrial
163107	Null	Terrestrial
163108	Null	Terrestrial
163109	Null	Terrestrial
163110	Null	Terrestrial
163111	Null	Terrestrial
163112	Null	Terrestrial
163113	Null	Terrestrial
163114	Null	Freshwater
163115	Null	Freshwater
163116	Null	Terrestrial
163117	Null	Freshwater|Brackish
163118	Null	Freshwater|Brackish
163119	Null	Freshwater|Brackish
163120	Null	Freshwater|Brackish
163121	Null	Terrestrial
163122	Null	Terrestrial
163123	Null	Terrestrial
163124	Null	Terrestrial
163125	Null	Terrestrial
163126	Null	Terrestrial
163127	Null	Terrestrial
163128	Null	Terrestrial
163129	Null	Terrestrial
163130	Null	Terrestrial
163131	Null	Terrestrial
163132	Null	Terrestrial
163133	Null	Terrestrial
163134	Null	Terrestrial
163135	Null	Terrestrial
163136	Null	Terrestrial
163137	Null	Terrestrial
163138	Null	Terrestrial
163139	Null	Terrestrial
163140	Null	Terrestrial
163141	Null	Terrestrial
163142	Null	Terrestrial
163143	Null	Terrestrial|Freshwater
163144	Null	Terrestrial|Freshwater
163145	Null	Terrestrial|Freshwater
163146	Null	Terrestrial|Freshwater
163147	Null	Terrestrial|Freshwater
163148	Null	Terrestrial|Freshwater
163149	Null	Terrestrial|Freshwater
163150	Null	Terrestrial|Freshwater
163151	Null	Terrestrial|Freshwater
163152	Null	Terrestrial|Freshwater
163153	Null	Freshwater|Brackish
163154	Null	Freshwater|Brackish
163155	Null	Freshwater|Brackish
163156	Null	Terrestrial
163157	Null	Terrestrial
163158	Null	Terrestrial
163159	Null	Terrestrial
163160	Null	Terrestrial|Freshwater
163161	Null	Terrestrial|Freshwater
163162	Null	Terrestrial
163163	Null	Terrestrial
163164	Null	Terrestrial
163165	Null	Terrestrial
163166	Null	Terrestrial
163167	Null	Terrestrial
163168	Null	Terrestrial
163169	Null	Terrestrial
163170	Null	Terrestrial
163171	Null	Terrestrial
163172	Null	Terrestrial
163173	Null	Terrestrial
163174	Null	Terrestrial
163175	Null	Terrestrial
163176	Null	Terrestrial
163177	Null	Terrestrial
163178	Null	Terrestrial
163179	Null	Terrestrial
163180	Null	Terrestrial
163181	Null	Terrestrial
163182	Null	Terrestrial
163183	Null	Terrestrial
163184	Null	Terrestrial
163185	Null	Terrestrial
163186	Null	Terrestrial
163187	Null	Terrestrial
163188	Null	Terrestrial
163189	Null	Terrestrial
163190	Null	Terrestrial
163191	Null	Terrestrial
163192	Null	Terrestrial
163193	Null	Terrestrial
163194	Null	Terrestrial
163195	Null	Terrestrial
163196	Null	Terrestrial
163197	Null	Terrestrial
163198	Null	Terrestrial
163199	Null	Terrestrial
163200	Null	Terrestrial
163201	Null	Terrestrial
163202	Null	Terrestrial
163203	Null	Terrestrial
163204	Null	Terrestrial
163205	Null	Terrestrial
163206	Null	Terrestrial
163207	Null	Terrestrial
163208	Null	Terrestrial
163209	Null	Terrestrial
163210	Null	Terrestrial
163211	Null	Terrestrial
163212	Null	Terrestrial
