id	isInvasive	habitat
15000	Null	Terrestrial
15001	Null	Terrestrial
15002	Null	Terrestrial
15003	Invasive	Terrestrial
15004	Null	Terrestrial
15005	Null	Terrestrial
15006	Null	Terrestrial
15007	Null	Terrestrial
15008	Null	Terrestrial
15009	Null	Terrestrial
15010	Null	Terrestrial
15011	Null	Terrestrial
15012	Null	Terrestrial
15013	Null	Terrestrial
15014	Null	Terrestrial
15015	Null	Terrestrial
15016	Null	Terrestrial
15017	Null	Terrestrial
15018	Null	Terrestrial
15019	Null	Terrestrial
15020	Null	Terrestrial
15021	Null	Terrestrial
15022	Null	Terrestrial
15023	Null	Terrestrial
15024	Null	Terrestrial
15025	Null	Terrestrial
15026	Null	Terrestrial
15027	Null	Terrestrial
15028	Null	Terrestrial
15029	Null	Terrestrial
15030	Null	Terrestrial
15031	Null	Terrestrial
15032	Null	Terrestrial
15033	Null	Terrestrial
15034	Null	Terrestrial
15035	Null	Terrestrial,|Freshwater|Marine
15036	Null	Terrestrial
15037	Null	Terrestrial
15038	Null	Terrestrial
15039	Null	Terrestrial
15040	Null	Terrestrial
15041	Null	Terrestrial
15042	Null	Terrestrial
15043	Null	Terrestrial
15044	Null	Terrestrial
15045	Null	Terrestrial
15046	Null	Terrestrial
15047	Invasive	Terrestrial
15048	Null	Terrestrial
15049	Null	Terrestrial
15050	Null	Terrestrial
15051	Null	Terrestrial
15052	Null	Terrestrial
15053	Null	Terrestrial|Brackish
15054	Null	Terrestrial
15055	Null	Terrestrial
15056	Null	Terrestrial
15057	Null	Terrestrial
15058	Null	Terrestrial
15059	Null	Terrestrial
15060	Null	Terrestrial
15061	Null	Terrestrial
15062	Invasive	Terrestrial
15063	Null	Terrestrial
15064	Null	Terrestrial
15065	Null	Terrestrial
15066	Null	Terrestrial
15067	Null	Terrestrial
15068	Null	Terrestrial
15069	Null	Terrestrial
15070	Null	Terrestrial
15071	Null	Terrestrial
15072	Null	Terrestrial
15073	Null	Terrestrial
15074	Null	Terrestrial
15075	Null	Terrestrial
15076	Null	Terrestrial
15077	Invasive	Terrestrial
15078	Null	Terrestrial
15079	Invasive	Terrestrial
15080	Null	Terrestrial
15081	Null	Terrestrial
15082	Null	Terrestrial
