id	locationID	countryCode	occurrenceStatus	establishmentMeans
121900	Iran	IR	Present	Alien
121901	Iran	IR	Present	Alien
121902	Iran	IR	Present	Alien
121903	Iran	IR	Present	Alien
121904	Iran	IR	Present	Alien
121905	Iran	IR	Present	Alien
121906	Iran	IR	Present	Alien
121907	Iran	IR	Present	Alien
121908	Iran	IR	Present	Alien
121909	Iran	IR	Present	Alien
121910	Iran	IR	Present	Alien
121911	Iran	IR	Present	Alien
121912	Iran	IR	Present	Alien
121913	Iran	IR	Present	Alien
121914	Iran	IR	Present	Alien
121915	Iran	IR	Present	Alien
121916	Iran	IR	Present	Alien
121917	Iran	IR	Present	Alien
121918	Iran	IR	Present	Alien
121919	Iran	IR	Present	Alien
121920	Iran	IR	Present	Alien
121921	Iran	IR	Present	Alien
121922	Iran	IR	Present	Alien
121923	Iran	IR	Present	Alien
121924	Iran	IR	Present	Alien
121925	Iran	IR	Present	Alien
121926	Iran	IR	Present	Alien
121927	Iran	IR	Present	Alien
121928	Iran	IR	Present	Alien
121929	Iran	IR	Present	Alien
121930	Iran	IR	Present	Alien
121931	Iran	IR	Present	Alien
121932	Iran	IR	Present	Alien
121933	Iran	IR	Present	Alien
121934	Iran	IR	Present	Alien
121935	Iran	IR	Present	Alien
121936	Iran	IR	Present	Alien
121937	Iran	IR	Present	Alien
121938	Iran	IR	Present	Alien
121939	Iran	IR	Present	Alien
121940	Iran	IR	Present	Alien
121941	Iran	IR	Present	Alien
121942	Iran	IR	Present	Alien
121943	Iran	IR	Present	Alien
121944	Iran	IR	Present	Alien
121945	Iran	IR	Present	Alien
121946	Iran	IR	Present	Alien
121947	Iran	IR	Present	Alien
121948	Iran	IR	Present	Alien
121949	Iran	IR	Present	Alien
121950	Iran	IR	Present	Alien
121951	Iran	IR	Present	Alien
121952	Iran	IR	Present	Alien
121953	Iran	IR	Present	Alien
121954	Iran	IR	Present	Alien
121955	Iran	IR	Present	Alien
121956	Iran	IR	Present	Alien
121957	Iran	IR	Present	Alien
121958	Iran	IR	Present	Alien
121959	Iran	IR	Present	Alien
121960	Iran	IR	Present	Alien
121961	Iran	IR	Present	Alien
121962	Iran	IR	Present	Alien
121963	Iran	IR	Present	Alien
121964	Iran	IR	Present	Alien
121965	Iran	IR	Present	Alien
121966	Iran	IR	Present	Alien
121967	Iran	IR	Present	Alien
121968	Iran	IR	Present	Alien
121969	Iran	IR	Present	Alien
121970	Iran	IR	Present	Alien
121971	Iran	IR	Present	Alien
121972	Iran	IR	Present	Alien
121973	Iran	IR	Present	Alien
121974	Iran	IR	Present	Alien
121975	Iran	IR	Present	Alien
121976	Iran	IR	Present	Alien
121977	Iran	IR	Present	Alien
121978	Iran	IR	Present	Alien
121979	Iran	IR	Present	Alien
121980	Iran	IR	Present	Alien
121981	Iran	IR	Present	Alien
121982	Iran	IR	Present	Alien
121983	Iran	IR	Present	Alien
121984	Iran	IR	Present	Alien
121985	Iran	IR	Present	Alien
121986	Iran	IR	Present	Alien
121987	Iran	IR	Present	Alien
121988	Iran	IR	Present	Alien
121989	Iran	IR	Present	Alien
121990	Iran	IR	Present	Alien
121991	Iran	IR	Present	Alien
121992	Iran	IR	Present	Alien
121993	Iran	IR	Present	Alien
121994	Iran	IR	Present	Alien
121995	Iran	IR	Present	Alien
121996	Iran	IR	Present	Alien
121997	Iran	IR	Present	Alien
121998	Iran	IR	Present	Alien
121999	Iran	IR	Present	Alien
122000	Iran	IR	Present	Alien
122001	Iran	IR	Present	Alien
122002	Iran	IR	Present	Alien
122003	Iran	IR	Present	Alien
122004	Iran	IR	Present	Alien
122005	Iran	IR	Present	Alien
122006	Iran	IR	Present	Alien
122007	Iran	IR	Present	Alien
122008	Iran	IR	Present	Alien
122009	Iran	IR	Present	Alien
122010	Iran	IR	Present	Alien
122011	Iran	IR	Present	Alien
122012	Iran	IR	Present	Alien
122013	Iran	IR	Present	Alien
122014	Iran	IR	Present	Alien
122015	Iran	IR	Present	Alien
122016	Iran	IR	Present	Alien
122017	Iran	IR	Present	Alien
122018	Iran	IR	Present	Alien
122019	Iran	IR	Present	Alien
