id	isInvasive	habitat
170001	null	terrestrial
170002	null	terrestrial
170003	null	terrestrial
170004	null	terrestrial
170005	null	terrestrial
170006	null	terrestrial
170007	invasive	marine
170008	null	terrestrial
170009	null	terrestrial|freshwater
170010	null	terrestrial
170011	null	terrestrial|freshwater
170012	null	terrestrial
170013	null	terrestrial
170014	invasive	terrestrial
170015	null	terrestrial
170016	null	terrestrial
170017	null	terrestrial|freshwater
170018	null	terrestrial
170019	null	terrestrial
170020	null	terrestrial
170021	null	terrestrial
170022	null	terrestrial
170023	null	terrestrial
170024	null	terrestrial
170025	null	terrestrial
170026	null	terrestrial
170027	null	terrestrial
170028	null	terrestrial
170029	null	terrestrial
170030	null	terrestrial
170031	null	freshwater
170032	null	terrestrial
170033	invasive	terrestrial
170034	null	freshwater|brackish
170035	null	terrestrial
170036	null	terrestrial
170037	null	terrestrial
170038	null	terrestrial
170039	null	freshwater|brackish|marine
170040	null	terrestrial
170041	invasive	terrestrial
170042	invasive	terrestrial
170043	null	terrestrial
170044	null	terrestrial
170045	null	terrestrial
170046	null	terrestrial
170047	null	terrestrial
170048	null	terrestrial
170049	null	terrestrial
170050	null	terrestrial
170051	null	terrestrial
170052	null	terrestrial
170053	null	terrestrial
170054	null	terrestrial
170055	invasive	freshwater
170056	invasive	brackish|marine
170057	invasive	marine
170058	null	terrestrial
170059	null	terrestrial
170060	null	marine
170061	null	terrestrial
170062	null	terrestrial
170063	null	terrestrial
170064	null	terrestrial
170065	null	terrestrial
170066	null	marine
170067	null	marine
170068	null	terrestrial
170069	null	terrestrial
170070	null	terrestrial
170071	null	terrestrial
170072	null	terrestrial
170073	null	terrestrial
170074	null	terrestrial
170075	null	freshwater
170076	null	freshwater
170077	null	freshwater
170078	null	terrestrial
170079	null	terrestrial
170080	null	terrestrial
170081	null	marine
170082	null	terrestrial
170083	null	terrestrial
170084	null	terrestrial
170085	null	terrestrial
170086	null	terrestrial
170087	null	terrestrial
170088	null	terrestrial
170089	null	terrestrial
170090	null	terrestrial
170091	null	host
170092	null	terrestrial
170093	null	terrestrial
170094	null	terrestrial
170095	null	terrestrial
170096	null	terrestrial
170097	null	terrestrial
170098	null	terrestrial
170099	null	terrestrial
170100	null	terrestrial
170101	null	terrestrial
170102	null	marine
170103	null	terrestrial
170104	null	terrestrial
170105	null	terrestrial
170106	null	terrestrial
170107	null	terrestrial
170108	null	terrestrial
170109	null	terrestrial
170110	null	terrestrial
170111	null	Freshwater|Brackish|Marine
170112	null	terrestrial
170113	null	terrestrial
170114	null	terrestrial
170115	null	terrestrial
170116	null	terrestrial
170117	null	host
170118	null	terrestrial
170119	null	freshwater
170120	null	terrestrial
170121	null	terrestrial
170122	null	terrestrial
170123	invasive	terrestrial
170124	null	terrestrial
170125	null	terrestrial|freshwater
170126	null	terrestrial|freshwater
170127	null	freshwater
170128	null	terrestrial
170129	null	terrestrial
170130	null	terrestrial
170131	null	terrestrial
170132	null	terrestrial
170133	null	terrestrial
170134	null	marine
170135	null	terrestrial
170136	null	terrestrial
170137	null	terrestrial
170138	null	terrestrial
170139	null	terrestrial
170140	null	terrestrial
170141	null	terrestrial
170142	null	terrestrial
170143	null	terrestrial
170144	invasive	freshwater
170145	null	terrestrial
170146	null	terrestrial
170147	null	terrestrial
170148	null	marine
170149	null	terrestrial
170150	null	freshwater|brackish
170151	null	freshwater|brackish
170152	null	freshwater|brackish
170153	null	terrestrial
170154	null	terrestrial
170155	null	terrestrial
170156	null	terrestrial
170157	null	terrestrial
170158	null	terrestrial
170159	null	terrestrial
170160	null	terrestrial
170161	null	terrestrial
170162	null	terrestrial
170163	null	terrestrial
170164	invasive	terrestrial
170165	null	terrestrial
170166	null	terrestrial
170167	null	terrestrial
170168	null	terrestrial
170169	null	terrestrial
170170	null	terrestrial
170171	null	terrestrial
170172	null	terrestrial
170173	null	terrestrial
170174	null	terrestrial|freshwater
170175	null	terrestrial
170176	null	freshwater|brackish
170177	invasive	freshwater|brackish
170178	invasive	freshwater|brackish|marine
170179	null	terrestrial
170180	null	terrestrial
170181	null	terrestrial
170182	null	terrestrial
170183	null	terrestrial
170184	null	terrestrial
170185	invasive	marine
170186	null	terrestrial
170187	null	terrestrial
170188	invasive	freshwater|brackish
170189	null	terrestrial
170190	null	freshwater|brackish
170191	null	terrestrial
170192	null	terrestrial
170193	null	terrestrial
170194	null	terrestrial
170195	null	freshwater
170196	null	freshwater
170197	null	freshwater
170198	null	terrestrial
170199	null	freshwater
170200	null	freshwater
170201	null	terrestrial
170202	invasive	terrestrial
170203	null	terrestrial
170204	null	terrestrial
170205	null	terrestrial
170206	null	terrestrial
170207	invasive	terrestrial
170208	invasive	terrestrial
170209	null	terrestrial
170210	invasive	terrestrial
170211	invasive	terrestrial
170212	null	terrestrial
170213	invasive	terrestrial
170214	null	terrestrial
170215	null	terrestrial
170216	null	terrestrial
170217	null	terrestrial
170218	null	terrestrial
170219	null	terrestrial
170220	null	terrestrial
170221	null	freshwater|brackish|marine
170222	null	terrestrial
170223	null	terrestrial
170224	null	terrestrial
170225	null	terrestrial
170226	null	freshwater
170227	null	terrestrial
170228	null	terrestrial
170229	null	freshwater
170230	null	terrestrial
170231	null	terrestrial
170232	null	terrestrial
170233	null	terrestrial
170234	null	freshwater|brackish|marine
170235	null	brackish|marine
170236	null	terrestrial
170237	null	terrestrial
170238	null	terrestrial
170239	null	terrestrial
170240	null	terrestrial
170241	null	terrestrial
170242	null	terrestrial
170243	null	terrestrial
170244	null	terrestrial
170245	null	terrestrial
170246	null	freshwater
170247	null	freshwater
170248	null	terrestrial
170249	null	terrestrial
170250	null	terrestrial
170251	null	freshwater
170252	null	terrestrial
170253	null	terrestrial
170254	invasive	marine
170255	null	freshwater
170256	null	terrestrial
170257	null	terrestrial
170258	null	freshwater|brackish|marine
170259	null	freshwater|brackish|marine
170260	null	marine
170261	null	freshwater
170262	null	terrestrial|freshwater
170263	null	terrestrial
170264	null	terrestrial
170265	null	terrestrial
170266	null	terrestrial
170267	null	terrestrial
170268	null	terrestrial
170269	null	terrestrial
170270	null	terrestrial
170271	null	freshwater|brackish|marine
170272	null	freshwater|brackish|marine
170273	null	freshwater|brackish|marine
170274	null	freshwater|brackish|marine
170275	null	terrestrial
170276	null	terrestrial
170277	null	freshwater|brackish
170278	null	terrestrial|freshwater
170279	null	terrestrial|freshwater
170280	null	freshwater|brackish
170281	null	terrestrial
170282	null	terrestrial
170283	null	terrestrial
170284	null	terrestrial
170285	null	terrestrial
170286	null	terrestrial|freshwater
170287	null	terrestrial
170288	null	terrestrial
170289	null	terrestrial
170290	null	terrestrial
170291	null	terrestrial
170292	null	terrestrial
170293	null	terrestrial
170294	null	terrestrial
170295	null	terrestrial
170296	null	terrestrial
170297	null	terrestrial
170298	null	terrestrial
170299	null	terrestrial
170300	null	terrestrial|freshwater
170301	null	terrestrial|freshwater
170302	null	terrestrial|freshwater
170303	null	terrestrial|freshwater
170304	null	terrestrial|freshwater
170305	null	marine
170306	null	terrestrial
170307	null	terrestrial
170308	null	terrestrial
170309	null	terrestrial
170310	null	terrestrial
170311	null	terrestrial
170312	null	terrestrial
170313	null	terrestrial
170314	null	terrestrial
170315	null	terrestrial
170316	null	terrestrial
170317	null	freshwater
170318	null	terrestrial
170319	null	terrestrial
170320	null	terrestrial
170321	null	terrestrial
170322	null	terrestrial
170323	null	freshwater
170324	null	terrestrial
170325	null	freshwater|brackish|marine
170326	invasive	brackish|marine
170327	null	freshwater|brackish
170328	invasive	freshwater
170329	null	freshwater
170330	null	terrestrial
170331	null	terrestrial
170332	null	terrestrial
170333	null	terrestrial
170334	null	terrestrial
170335	null	terrestrial|freshwater
170336	invasive	terrestrial
170337	null	freshwater
170338	null	terrestrial
170339	null	terrestrial
170340	null	terrestrial|freshwater
170341	null	terrestrial
170342	null	terrestrial
170343	null	terrestrial
170344	null	terrestrial
170345	null	terrestrial
170346	null	terrestrial
170347	null	terrestrial
170348	invasive	terrestrial
170349	invasive	terrestrial
170350	null	terrestrial
170351	null	terrestrial
170352	null	freshwater
170353	null	terrestrial
170354	null	terrestrial
170355	null	terrestrial
170356	null	terrestrial
170357	invasive	terrestrial
170358	null	terrestrial
170359	null	terrestrial
170360	null	freshwater|brackish
170361	null	terrestrial
170362	null	terrestrial
170363	null	terrestrial
170364	null	freshwater|brackish|marine
170365	null	freshwater|brackish|marine
170366	null	terrestrial
170367	null	terrestrial
170368	null	freshwater|brackish
170369	null	brackish|marine
170370	null	terrestrial
170371	null	terrestrial
170372	null	terrestrial
170373	null	terrestrial
170374	null	terrestrial
170375	null	terrestrial
170376	null	terrestrial
170377	null	terrestrial
170378	null	terrestrial
170379	invasive	terrestrial
170380	null	terrestrial
170381	null	terrestrial
170382	null	terrestrial
170383	null	terrestrial
170384	null	terrestrial
170385	null	terrestrial
170386	null	terrestrial
170387	null	terrestrial
170388	null	terrestrial
170389	null	terrestrial
170390	null	terrestrial
170391	null	terrestrial
170392	null	terrestrial
170393	null	terrestrial
170394	null	terrestrial
170395	null	terrestrial
170396	null	terrestrial
170397	null	terrestrial
170398	null	terrestrial
170399	null	terrestrial
170400	null	terrestrial
170401	null	terrestrial
170402	null	terrestrial
170403	null	terrestrial
170404	null	terrestrial
170405	invasive	freshwater|brackish
170406	invasive	terrestrial|freshwater
170407	invasive	terrestrial|freshwater
170408	invasive	terrestrial|freshwater
170409	invasive	terrestrial|freshwater
170410	invasive	terrestrial|freshwater
170411	invasive	terrestrial|freshwater
170412	invasive	terrestrial|freshwater
170413	invasive	terrestrial|freshwater
170414	invasive	terrestrial|freshwater
170415	invasive	terrestrial|freshwater
170416	invasive	terrestrial|freshwater
170417	invasive	terrestrial|freshwater
170418	invasive	terrestrial|freshwater
170419	invasive	terrestrial|freshwater
170420	invasive	terrestrial|freshwater
170421	invasive	terrestrial|freshwater
170422	invasive	terrestrial|freshwater
170423	invasive	terrestrial|freshwater
170424	null	terrestrial
170425	null	terrestrial
170426	invasive	terrestrial
170427	null	terrestrial
170428	null	terrestrial
170429	null	terrestrial
170430	null	terrestrial
170431	null	terrestrial
170432	null	terrestrial
170433	null	terrestrial
170434	null	terrestrial
170435	null	terrestrial
170436	null	terrestrial
170437	null	terrestrial
170438	null	terrestrial
170439	null	terrestrial
170440	null	freshwater|brackish
170441	null	terrestrial
170442	null	terrestrial
170443	null	terrestrial
