id	isInvasive	habitat
34070	Null	Terrestrial
34071	Null	Terrestrial
34072	Null	Terrestrial
34073	Null	Terrestrial
34074	Null	Terrestrial
34075	Null	Freshwater
34076	Null	Terrestrial
34077	Null	Terrestrial
34078	Null	Terrestrial
34079	Null	Host
34080	Null	Terrestrial
34081	Null	Terrestrial
34082	Invasive	Terrestrial
34083	Null	Terrestrial
34084	Invasive	Freshwater
34085	Null	Terrestrial
34086	Null	Terrestrial
34087	Null	Terrestrial
34088	Null	Terrestrial
34089	Null	Terrestrial
34090	Null	Terrestrial
34091	Null	Terrestrial
34092	Null	Terrestrial
34093	Null	Terrestrial
34094	Invasive	Freshwater
34095	Null	Freshwater|Brackish
34096	Null	Terrestrial
34097	Null	Terrestrial
34098	Null	Terrestrial
34099	Null	Terrestrial
34100	Null	Terrestrial
34101	Null	Terrestrial
34102	Null	Terrestrial
34103	Null	Freshwater
34104	Null	Terrestrial
34105	Null	Terrestrial
34106	Null	Terrestrial
34107	Null	Terrestrial
34108	Null	Freshwater
34109	Null	Terrestrial
34110	Null	Terrestrial
34111	Null	Terrestrial
34112	Null	Terrestrial|Freshwater
34113	Null	Terrestrial
34114	Null	Terrestrial
34115	Null	Host
34116	Null	Terrestrial
34117	Invasive	Freshwater|Brackish
34118	Null	Terrestrial
34119	Null	Terrestrial
34120	Null	Terrestrial
34121	Invasive	Freshwater
34122	Null	Terrestrial
34123	Null	Freshwater
34124	Null	Terrestrial
34125	Null	Terrestrial
34126	Null	Brackish
34127	Invasive	Marine
34128	Null	Terrestrial
34129	Null	Terrestrial
34130	Null	Terrestrial
34131	Null	Terrestrial
34132	Null	Terrestrial
34133	Null	Terrestrial
34134	Null	Terrestrial
34135	Null	Terrestrial
34136	Null	Freshwater|Brackish
34137	Null	Freshwater|Brackish
34138	Null	Terrestrial
34139	Null	Terrestrial
34140	Null	Terrestrial
34141	Null	Terrestrial
34142	Null	Freshwater|Brackish
34143	Null	Freshwater|Brackish
34144	Null	Terrestrial
34145	Null	Terrestrial
34146	Null	Terrestrial
34147	Null	Terrestrial
34148	Invasive	Freshwater
34149	Invasive	Freshwater
34150	Invasive	Freshwater
34151	Null	Terrestrial
34152	Null	Terrestrial
34153	Null	Terrestrial
34154	Null	Terrestrial
34155	Null	Terrestrial
34156	Null	Terrestrial
34157	Null	Terrestrial
34158	Null	Terrestrial
34159	Null	Terrestrial
34160	Null	Terrestrial
34161	Null	Terrestrial
34162	Null	Terrestrial
34163	Null	Terrestrial
34164	Null	Freshwater|Brackish|Marine
34165	Null	Terrestrial
34166	Null	Terrestrial
34167	Null	Terrestrial
34168	Null	Terrestrial
34169	Null	Terrestrial
34170	Null	Terrestrial
34171	Null	Terrestrial
34172	Null	Terrestrial
34173	Null	Freshwater
34174	Null	Terrestrial
34175	Null	Terrestrial
34176	Null	Freshwater|Brackish|Marine
34177	Null	Freshwater|Brackish
34178	Null	Freshwater|Brackish
34179	Null	Terrestrial
34180	Null	Terrestrial
34181	Null	Freshwater
34182	Null	Terrestrial
34183	Null	Terrestrial
34184	Null	Terrestrial
34185	Null	Terrestrial
34186	Null	Terrestrial
34187	Null	Terrestrial
34188	Null	Terrestrial
34189	Null	Terrestrial
34190	Null	Terrestrial
34191	Null	Terrestrial
34192	Null	Terrestrial
34193	Null	Freshwater|Brackish|Marine
34194	Null	Freshwater|Brackish
34195	Null	Marine
34196	Invasive	Freshwater
34197	Invasive	Terrestrial
34198	Invasive	Terrestrial
34199	Invasive	Terrestrial
34200	Null	Terrestrial
34201	Null	Terrestrial
34202	Null	Marine
34203	Null	Terrestrial|Freshwater
34204	Null	Terrestrial
34205	Null	Terrestrial
34206	Invasive	Terrestrial
34207	Null	Terrestrial
34208	Null	Terrestrial
34209	Null	Terrestrial
34210	Null	Freshwater|Brackish
34211	Null	Terrestrial
34212	Null	Terrestrial
34213	Null	Terrestrial
34214	Null	Terrestrial
34215	Null	Terrestrial
34216	Null	Terrestrial
34217	Null	Terrestrial
34218	Null	Terrestrial
34219	Null	Terrestrial
34220	Invasive	Terrestrial
34221	Null	Terrestrial
34222	Null	Terrestrial
34223	Null	Terrestrial
34224	Null	Terrestrial
34225	Invasive	Terrestrial
34226	Null	Terrestrial
34227	Null	Terrestrial
34228	Null	Terrestrial
34229	Null	Terrestrial
34230	Null	Freshwater|Brackish
34231	Null	Terrestrial
34232	Null	Terrestrial
34233	Null	Terrestrial
34234	Null	Terrestrial
34235	Null	Terrestrial
34236	Null	Terrestrial
34237	Null	Terrestrial
34238	Invasive	Freshwater|Marine
34239	Null	Terrestrial
34240	Null	Terrestrial
34241	Null	Terrestrial
34242	Null	Terrestrial
34243	Null	Terrestrial
34244	Null	Terrestrial
34245	Null	Terrestrial
