id	locationID	countryCode	occurrenceStatus	establishmentMeans
51156		JM	Alien	Present
51157		JM	Alien	Present
51158		JM	Alien	Present
51159		JM	Alien	Present
51160		JM	Alien	Present
51161		JM	Alien	Present
51162		JM	Alien	Present
51163		JM	Alien	Present
51164		JM	Alien	Present
51165		JM	Alien	Present
51166		JM	Alien	Present
51167		JM	Alien	Present
51168		JM	Alien	Present
51169		JM	Alien	Present
51170		JM	Alien	Present
51171		JM	Alien	Present
51172		JM	Alien	Present
51173		JM	Alien	Present
51174		JM	Alien	Present
51175		JM	Alien	Present
51176		JM	Alien	Present
51177		JM	Alien	Present
51178		JM	Alien	Present
51179		JM	Alien	Present
51180		JM	Alien	Present
51181		JM	Alien	Present
51182		JM	Alien	Present
51183		JM	Alien	Present
51184		JM	Alien	Present
51185		JM	Alien	Present
51186		JM	Alien	Present
51187		JM	Alien	Present
51188		JM	Alien	Present
51189		JM	Alien	Present
51190		JM	Alien	Present
51191		JM	Alien	Present
51192		JM	Alien	Present
51193		JM	Alien	Present
51194		JM	Alien	Present
51195		JM	Alien	Present
51196		JM	Alien	Present
51197		JM	Alien	Present
51198		JM	Alien	Present
51199		JM	Alien	Present
51200		JM	Alien	Present
51201		JM	Alien	Present
51202		JM	Alien	Present
51203		JM	Alien	Present
51204		JM	Alien	Present
51205		JM	Alien	Present
51206		JM	Alien	Present
51207		JM	Alien	Present
51208		JM	Alien	Present
51209		JM	Alien	Present
51210		JM	Alien	Present
51211		JM	Alien	Present
51212		JM	Alien	Present
51213		JM	Alien	Present
51214		JM	Alien	Present
51215		JM	Alien	Present
51216		JM	Alien	Present
51217		JM	Alien	Present
51218		JM	Alien	Present
51219		JM	Alien	Present
51220		JM	Alien	Present
51221		JM	Alien	Present
51222		JM	Alien	Present
51223		JM	Alien	Present
51224		JM	Alien	Present
51225		JM	Alien	Present
51226		JM	Alien	Present
51227		JM	Alien	Present
51228		JM	Alien	Present
51229		JM	Alien	Present
51230		JM	Alien	Present
51231		JM	Alien	Present
51232		JM	Alien	Present
51233		JM	Alien	Present
51234		JM	Alien	Present
51235		JM	Alien	Present
51236		JM	Alien	Present
51237		JM	Alien	Present
51238		JM	Alien	Present
51239		JM	Alien	Present
51240		JM	Alien	Present
51241		JM	Alien	Present
51242		JM	Alien	Present
51243		JM	Alien	Present
51244		JM	Alien	Present
51245		JM	Alien	Present
51246		JM	Alien	Present
51247		JM	Alien	Present
51248		JM	Alien	Present
51249		JM	Alien	Present
51250		JM	Alien	Present
51251		JM	Alien	Present
51252		JM	Alien	Present
51253		JM	Alien	Present
51254		JM	Alien	Present
51255		JM	Alien	Present
51256		JM	Alien	Present
51257		JM	Alien	Present
51258		JM	Alien	Present
51259		JM	Alien	Present
51260		JM	Alien	Present
51261		JM	Alien	Present
51262		JM	Alien	Present
51263		JM	Alien	Present
51264		JM	Alien	Present
51265		JM	Alien	Present
51266		JM	Alien	Present
51267		JM	Alien	Present
51268		JM	Alien	Present
51269		JM	Alien	Present
51270		JM	Alien	Present
51271		JM	Alien	Present
51272		JM	Alien	Present
51273		JM	Alien	Present
51274		JM	Alien	Present
51275		JM	Alien	Present
51276		JM	Alien	Present
51277		JM	Alien	Present
51278		JM	Alien	Present
51279		JM	Alien	Present
51280		JM	Alien	Present
51281		JM	Alien	Present
51282		JM	Alien	Present
51283		JM	Alien	Present
51284		JM	Alien	Present
51285		JM	Alien	Present
51286		JM	Alien	Present
51287		JM	Alien	Present
51288		JM	Alien	Present
51289		JM	Alien	Present
51290		JM	Alien	Present
51291		JM	Alien	Present
51292		JM	Alien	Present
51293		JM	Alien	Present
51294		JM	Alien	Present
51295		JM	Alien	Present
51296		JM	Alien	Present
51297		JM	Alien	Present
51298		JM	Alien	Present
51299		JM	Alien	Present
51300		JM	Alien	Present
51301		JM	Alien	Present
51302		JM	Alien	Present
51303		JM	Alien	Present
51304		JM	Alien	Present
