id	locationID	countryCode	occurrenceStatus	establishmentMeans
51466		JO	Alien	Present
51467		JO	Alien	Present
51468		JO	Alien	Present
51469		JO	Alien	Present
51470		JO	Alien	Present
51471		JO	Alien	Present
51472		JO	Alien	Present
51473		JO	Alien	Present
51474		JO	Alien	Present
51475		JO	Alien	Present
51476		JO	Alien	Present
51477		JO	Alien	Present
51478		JO	Alien	Present
51479		JO	Alien	Present
51480		JO	Alien	Present
51481		JO	Alien	Present
51482		JO	Alien	Present
51483		JO	Alien	Present
51484		JO	Alien	Present
51485		JO	Alien	Present
51486		JO	Alien	Present
51487		JO	Alien	Present
51488		JO	Alien	Present
51489		JO	Alien	Present
51490		JO	Alien	Present
51491		JO	Alien	Present
51492		JO	Alien	Present
51493		JO	Alien	Present
51494		JO	Alien	Present
51495		JO	Alien	Present
51496		JO	Alien	Present
51497		JO	Alien	Present
51498		JO	Alien	Present
51499		JO	Alien	Present
51500		JO	Alien	Present
51501		JO	Alien	Present
51502		JO	Alien	Present
51503		JO	Alien	Present
51504		JO	Alien	Present
51505		JO	Alien	Present
51506		JO	Alien	Present
51507		JO	Alien	Present
51508		JO	Alien	Present
51509		JO	Alien	Present
51510		JO	Alien	Present
51511		JO	Alien	Present
51512		JO	Alien	Present
51513		JO	Alien	Present
51514		JO	Alien	Present
51515		JO	Alien	Present
51516		JO	Alien	Present
51517		JO	Alien	Present
51518		JO	Alien	Present
51519		JO	Alien	Present
51520		JO	Alien	Present
51521		JO	Alien	Present
