id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	eventDate
121100	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121101	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121102	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121103	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121104	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121105	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121106	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121107	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121108	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121109	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121110	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121111	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121112	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121113	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121114	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121115	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121116	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121117	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121118	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121119	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121120	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121121	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121122	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121123	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121124	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121125	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121126	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121127	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121128	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121129	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121130	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121131	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121132	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121133	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121134	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121135	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121136	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121137	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121138	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121139	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121140	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121141	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121142	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121143	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121144	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121145	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121146	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121147	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121148	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121149	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121150	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121151	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121152	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121153	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121154	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121155	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121156	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121157	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121158	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121159	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121160	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121161	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121162	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121163	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121164	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121165	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121166	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121167	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121168	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121169	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
121170	Ralik	Kwajalein Atoll	MH	Present	Alien	2022
