id	locationID	countryCode	occurrenceStatus	establishmentMeans
44466	Canarias- La Gomera	IC	Present	Alien
44467	Canarias- La Gomera	IC	Present	Alien
44468	Canarias- La Gomera	IC	Present	Alien
44469	Canarias- La Gomera	IC	Present	Alien
44470	Canarias- La Gomera	IC	Present	Alien
44471	Canarias- La Gomera	IC	Present	Alien
44472	Canarias- La Gomera	IC	Present	Alien
44473	Canarias- La Gomera	IC	Present	Alien
44474	Canarias- La Gomera	IC	Present	Alien
44475	Canarias- La Gomera	IC	Present	Alien
44476	Canarias- La Gomera	IC	Present	Alien
44477	Canarias- La Gomera	IC	Present	Alien
44478	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44479	Canarias- La Gomera	IC	Present	Alien
44480	Canarias- La Gomera	IC	Present	Alien
44481	Canarias- La Gomera	IC	Present	Alien
44482	Canarias- La Gomera	IC	Present	Alien
44483	Canarias- La Gomera	IC	Present	Alien
44484	Canarias- La Gomera	IC	Present	Alien
44485	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44486	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44487	Canarias- La Gomera	IC	Present	Alien
44488	Canarias- La Gomera	IC	Present	Alien
44489	Canarias- La Gomera	IC	Present	Alien
44490	Canarias- La Gomera	IC	Present	Alien
44491	Canarias- La Gomera	IC	Present	Alien
44492	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44493	Canarias- La Gomera	IC	Present	Alien
44494	Canarias- La Gomera	IC	Present	Alien
44495	Canarias- La Gomera	IC	Present	Alien
44496	Canarias- La Gomera	IC	Present	Alien
44497	Canarias- La Gomera	IC	Present	Alien
44498	Canarias- La Gomera	IC	Present	Alien
44499	Canarias- La Gomera	IC	Present	Alien
44500	Canarias- La Gomera	IC	Present	Alien
44501	Canarias- La Gomera	IC	Present	Alien
44502	Canarias- La Gomera	IC	Present	Alien
44503	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44504	Canarias- La Gomera	IC	Present	Alien
44505	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44506	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44507	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44508	Canarias- La Gomera	IC	Present	Alien
44509	Canarias- La Gomera	IC	Present	Alien
44510	Canarias- La Gomera	IC	Present	Alien
44511	Canarias- La Gomera	IC	Present	Alien
44512	Canarias- La Gomera	IC	Present	Alien
44513	Canarias- La Gomera	IC	Present	Alien
44514	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44515	Canarias- La Gomera	IC	Present	Alien
44516	Canarias- La Gomera	IC	Present	Alien
44517	Canarias- La Gomera	IC	Present	Alien
44518	Canarias- La Gomera	IC	Present	Alien
44519	Canarias- La Gomera	IC	Present	Alien
44520	Canarias- La Gomera	IC	Present	Alien
44521	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44522	Canarias- La Gomera	IC	Present	Alien
44523	Canarias- La Gomera	IC	Present	Alien
44524	Canarias- La Gomera	IC	Present	Alien
44525	Canarias- La Gomera	IC	Present	Alien
44526	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44527	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44528	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44529	Canarias- La Gomera	IC	Present	Alien
44530	Canarias- La Gomera	IC	Present	Alien
44531	Canarias- La Gomera	IC	Present	Alien
44532	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44533	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44534	Canarias- La Gomera	IC	Present	Alien
44535	Canarias- La Gomera	IC	Present	Alien
44536	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44537	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44538	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44539	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44540	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44541	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44542	Canarias- La Gomera	IC	Present	Alien
44543	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44544	Canarias- La Gomera	IC	Present	Alien
44545	Canarias- La Gomera	IC	Present	Alien
44546	Canarias- La Gomera	IC	Present	Alien
44547	Canarias- La Gomera	IC	Present	Alien
44548	Canarias- La Gomera	IC	Present	Alien
44549	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
44550	Canarias- La Gomera	IC	Present	Cryptogenic|Uncertain
