id	isInvasive	habitat
77500	Null	Freshwater
77501	Null	Terrestrial
77502	Null	Terrestrial
77503	Null	Terrestrial
77504	Null	Terrestrial
77505	Null	Terrestrial
77506	Null	Terrestrial
77507	Null	Terrestrial
77508	Null	Terrestrial|Freshwater
77509	Null	Terrestrial
77510	Null	Terrestrial
77511	Null	Terrestrial
77512	Null	Terrestrial
77513	Null	Terrestrial
77514	Null	Terrestrial
77515	Invasive	Terrestrial
77516	Null	Terrestrial
77517	Null	Terrestrial
77518	Null	Terrestrial
77519	Null	Terrestrial
77520	Null	Terrestrial
77521	Null	Terrestrial
77522	Null	Terrestrial
77523	Null	Terrestrial|Freshwater
77524	Invasive	Terrestrial|Freshwater
77525	Invasive	Terrestrial
77526	Null	Terrestrial
77527	Null	Terrestrial
77528	Null	Terrestrial
77529	Null	Terrestrial
77530	Null	Terrestrial
77531	Null	Terrestrial
77532	Null	Terrestrial
77533	Null	Terrestrial
77534	Null	Terrestrial
77535	Null	Freshwater
77536	Null	Terrestrial
77537	Null	Terrestrial
77538	Null	Terrestrial
77539	Null	Terrestrial
77540	Null	Terrestrial
77541	Null	Terrestrial
77542	Null	Terrestrial
77543	Null	Terrestrial
77544	Null	Terrestrial
77545	Null	Terrestrial
77546	Null	Terrestrial
77547	Null	Terrestrial
77548	Null	Terrestrial
77549	Null	Terrestrial
77550	Null	Terrestrial
77551	Null	Terrestrial
77552	Invasive	Terrestrial
77553	Null	Terrestrial
77554	Null	Terrestrial
77555	Null	Terrestrial
77556	Null	Terrestrial
77557	Null	Terrestrial
77558	Null	Terrestrial
77559	Null	Terrestrial
77560	Null	Terrestrial
77561	Null	Terrestrial
77562	Null	Terrestrial
77563	Null	Terrestrial
77564	Null	Terrestrial
77565	Null	Terrestrial
77566	Null	Terrestrial
77567	Null	Terrestrial
77568	Null	Terrestrial
77569	Null	Terrestrial
77570	Null	Terrestrial
77571	Null	Terrestrial
77572	Null	Terrestrial
77573	Null	Terrestrial
77574	Null	Terrestrial
77575	Null	Terrestrial
77576	Null	Terrestrial
77577	Null	Terrestrial
77578	Null	Freshwater
77579	Null	Terrestrial
77580	Null	Terrestrial
77581	Invasive	Terrestrial
77582	Null	Terrestrial
77583	Null	Terrestrial
77584	Null	Terrestrial
77585	Null	Terrestrial
77586	Null	Terrestrial
77587	Invasive	Terrestrial
77588	Null	Terrestrial
77589	Null	Terrestrial
77590	Null	Freshwater|Brackish
77591	Invasive	Freshwater|Brackish
77592	Null	Terrestrial
77593	Null	Terrestrial
77594	Null	Terrestrial
77595	Null	Terrestrial
77596	Null	Terrestrial
77597	Null	Terrestrial
77598	Null	Terrestrial
77599	Invasive	Freshwater
77600	Null	Terrestrial
77601	Null	Terrestrial
77602	Null	Terrestrial
77603	Null	Terrestrial
77604	Null	Terrestrial
77605	Null	Terrestrial
77606	Null	Terrestrial
77607	Null	Terrestrial
77608	Null	Terrestrial
77609	Null	Terrestrial
77610	Invasive	Freshwater
77611	Null	Terrestrial
77612	Null	Terrestrial
77613	Null	Terrestrial
77614	Null	Terrestrial|Freshwater
77615	Null	Terrestrial
77616	Null	Terrestrial
77617	Null	Terrestrial
77618	Null	Terrestrial
77619	Null	Terrestrial|Freshwater
77620	Invasive	Terrestrial|Freshwater
77621	Null	Terrestrial|Freshwater
77622	Invasive	Terrestrial|Freshwater
77623	Null	Freshwater
77624	Invasive	Freshwater
77625	Null	Terrestrial
77626	Null	Terrestrial
77627	Null	Terrestrial
77628	Null	Terrestrial
77629	Null	Terrestrial
77630	Null	Terrestrial
77631	Null	Terrestrial
77632	Null	Terrestrial
77633	Null	Terrestrial
77634	Null	Terrestrial
77635	Null	Terrestrial
77636	Null	Terrestrial
77637	Null	Terrestrial
77638	Null	Terrestrial
77639	Null	Terrestrial
77640	Invasive	Terrestrial
77641	Invasive	Terrestrial
77642	Invasive	Freshwater
77643	Null	Terrestrial
77644	Null	Terrestrial
77645	Null	Terrestrial
77646	Null	Terrestrial
77647	Null	Terrestrial
77648	Null	Terrestrial
77649	Null	Terrestrial
77650	Null	Terrestrial
77651	Null	Terrestrial
77652	Null	Terrestrial
77653	Null	Terrestrial
77654	Null	Terrestrial
77655	Invasive	Freshwater|Brackish
77656	Invasive	Freshwater|Brackish
77657	Null	Terrestrial
77658	Null	Terrestrial
77659	Null	Terrestrial
77660	Null	Terrestrial
77661	Null	Terrestrial
77662	Null	Terrestrial
77663	Null	Terrestrial
77664	Null	Terrestrial
77665	Null	Freshwater
77666	Null	Freshwater
77667	Null	Terrestrial
77668	Null	Terrestrial
77669	Null	Terrestrial
77670	Null	Freshwater
77671	Invasive	Freshwater
77672	Invasive	Freshwater
77673	Null	Terrestrial
77674	Null	Terrestrial
77675	Null	Terrestrial
77676	Null	Terrestrial
77677	Null	Terrestrial|Freshwater|Brackish
77678	Null	Terrestrial
77679	Null	Terrestrial
77680	Null	Terrestrial
77681	Null	Terrestrial
77682	Null	Terrestrial
77683	Null	Terrestrial
77684	Null	Terrestrial
77685	Null	Terrestrial
77686	Invasive	Freshwater
77687	Null	Terrestrial
77688	Null	Terrestrial
77689	Null	Terrestrial
77690	Null	Terrestrial
77691	Null	Terrestrial
77692	Null	Terrestrial
77693	Null	Terrestrial
77694	Null	Terrestrial
77695	Null	Terrestrial
77696	Null	Terrestrial
77697	Null	Terrestrial
